ASN,Name
AS10137,PT Telkom Satelit Indonesia
AS10208,PT. Millenium Internetindo
AS10217,PT. NTT Indonesia
AS10220,PT. Kreasi Sejahtera Teknologi
AS131075,PT Molindo Media Persada
AS131111,PT Mora Telematika Indonesia
AS131112,"Sekolah Tinggi Multi Media ""MMTC"" Yogyakarta"
AS131117,MPLS Network Provider
AS131118,Network Access Provider
AS131454,PT MWK TELEMATIKA SOLUSI
AS131691,PT Berca Hardayaperkasa
AS131693,Kementerian Agama (KEMENAG)
AS131694,PT Jabikha Teknologi Indonesia
AS131697,PT Samudera Indonesia Tbk.
AS131699,PT Maxindo Mitra Solusi
AS131702,Moratelindo Internet Exchange Point
AS131703,Universitas Negeri Jakarta
AS131704,"PT Bank Central Asia, Tbk"
AS131705,PT Aneka Teguh Jaya
AS131706,PT SELARAS CITRA TERABIT
AS131709,PENGGUNA DIKS PTH UNSOED
AS131710,PT Aero Systems Indonesia
AS131711,PT Global Teknologi Teraindo
AS131713,PT Sano Komunikasi
AS131715,PT. Bank Tabungan Negara (Persero) Tbk
AS131716,PT Equnix Business Solutions
AS131717,PT Citra Jelajah Informatika
AS131718,PT Aplikanusa Lintasarta
AS131719,Dinas Perhubungan Kominfo Provinsi Sumatera Selatan
AS131720,BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH KOTA MAKASSAR
AS131721,PT.KALBE FARMA Tbk
AS131722,Kementerian Pekerjaan Umum
AS131723,Kementerian Keuangan Ditjen Bea Cukai
AS131724,DISKOMINFO PROV. JAWA TENGAH
AS131726,Diskominfo Kota Tegal
AS131728,PT Aneka Signal
AS131732,PT. COGINDO DAYABERSAMA
AS131734,Universitas Islam Negeri Syarif Hidayatullah Jakarta
AS131735,PT Telemedia Network Cakrawala
AS131736,PT. BIS DATA INDONESIA
AS131737,PT Jakarta International Container Terminal
AS131739,Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi
AS131740,PT Smart Media Pratama
AS131743,PT GNET BIARO AKSES
AS131744,PT. MEDIA NUSANTARA GLOBAL DATA
AS131745,PT. Cybertechtonic Pratama
AS131746,PT. Medianusa Permana
AS131749,PT. Arthatama Adhiprima Persada
AS131756,PT. Indo Web Media
AS131758,PT. Bali Ning
AS131759,PT. Web Data Solusindo
AS131760,Premier oil Indonesia
AS131761,PT Pelabuhan Indonesia II
AS131762,PT. VOLTRAS International
AS131763,Universitas Tadulako
AS131765,Kementerian Dalam Negeri Republik Indonesia
AS131767,PT. SOLO JALA BUANA
AS131769,PT Mayatama Solusindo
AS131772,PT Mitra Persada Lentera Sejahtera
AS131773,PT WISUANDHA NETWORK GLOBALINDO
AS131775,PT. Jupiter Jala Arta
AS131778,PT Dian Nuswantoro Teknologi
AS131779,Bidang Data dan Sarana Informasi (BDSI) Sekjen DPR RI
AS131780,PT Orion Cyber Internet
AS131781,Universitas Islam Negeri Maulana Malik Ibrahin (UIN Maliki)
AS131782,Kementerian Badan Usaha Milik Negara
AS131783,PT. Indomarco Prismatama
AS131784,Sumber Daya Dan Perangkat Pos Dan Informatika SIMS
AS131785,Mahkamah Agung RI
AS131786,PT Sprint Asia Technology
AS132164,PT Darta Media Indonesia
AS132634,Direktorat E-Goverment Kementerian KOMINFO
AS132637,PT BINA INFORMATIKA SOLUSI
AS132638,IAIN Walisongo Semarang
AS132639,PT Integrasi Logistik Cipta Solusi
AS132641,PT Netciti Persada
AS132642,Universitas Ahmad Dahlan
AS132643,Komisi Pemilihan Umum
AS132644,PT. Cyberindo Mega Persada
AS132645,Politeknik Perkapalan Negeri Surabaya
AS132647,Pengelola Nama Domain Internet Indonesia
AS132649,PT Adau Putra Network
AS132652,PT. Cahaya Buana Raksa
AS132653,PT Transdata Sejahtera
AS132655,Sekretariat Jenderal Dewan Perwakilan Daerah Republik Indonesia
AS132658,Dinas Komunikasi dan Informatika Provinsi Sumatera Utara
AS132660,Universitas Negeri Gorontalo
AS132661,Indonesia Network Information Center
AS132662,PT. Lotte Data Communication Indonesia (LDCI)
AS132663,PT Indonesia Media Komunikasi Masyarakat
AS132667,Universitas Jambi
AS132668,PT Bali Towerindo Sentra
AS132669,PT Globalnet Multi Data
AS132670,PT Aseli Dagadu Djokdja
AS132673,PT Arana Teknologi Indonesia
AS132676,Universitas Sriwijaya
AS132678,Universitas Jember
AS133062,Telekomunikasi Indonesia (PT)
AS133166,PT Pertamina (Persero)
AS133335,Politeknik Negeri Padang
AS133337,PT Menara Sinar Semesta
AS133339,DEWATA TELEMATIKA PT.
AS133343,BADAN PERENCANAAN PEMBANGUNAN NASIONAL
AS133345,KEMENKO POLHUKAM RI
AS133347,PT Indo Premier Securities
AS133349,PT Jasa Utama Capital
AS133352,PT. Berdikari Prima Mandiri
AS133354,PT Anugerah Karunia Perkasa Abadi
AS133355,Politeknik Negeri Bandung
AS133357,TELKOM UNIVERSITY
AS133360,PT Awinet Global Mandiri
AS133361,Universitas Katolik Parahyangan
AS133364,Politeknik Negeri Jakarta
AS133579,Dinas Komunikasi dan Informatika Provinsi Kalimantan Barat
AS133637,PT Nusantara Multimedia Solution Gorontalo
AS133796,Subbid Sistem Jaringan dan Infrastruktur
AS133797,PT Rekajasa Akses
AS133798,"PT. Smartfren Telecom, Tbk"
AS133799,PT. GOMEDS NETWORK
AS133800,PT Biznet Gio Nusantara
AS133802,Universitas Pasundan Bandung
AS133803,PT Semesta Teknologi Informatika
AS133805,Politeknik Manufaktur Negeri Bandung
AS133807,Badan Pertanahan Nasional
AS133809,PT. Artorius Telemetri Sentosa
AS133811,"PT Inti Bangun Sejahtera, tbk"
AS133815,PT Primacom Interbuana
AS133816,Kementerian Lingkungan Hidup dan Kehutanan
AS133817,PT Inti Data Telematika
AS133818,Universitas Bangka Belitung
AS133819,PT CITRA INFOMEDIA
AS133821,PT Maxindo Content Solution
AS133822,PT Kereta Api Indonesia (Persero)
AS133823,PT Infokom Elektrindo
AS133824,Universitas Islam Negeri Alauddin Makasar
AS133825,Universitas Pattimura
AS133826,Direktorat Jenderal Pendidikan Tinggi
AS133827,UNIVERSITAS ISLAM INDONESIA
AS133830,PT Pika Media Komunika
AS133831,PT Irama Media FlashNet
AS133832,Universitas Mercu Buana Yogyakarta
AS133833,Bank UOB Indonesia
AS133834,Bank ICBC Indonesia
AS133835,CV Xtra Prosolusindo
AS133838,PT Infotek Global Network
AS133839,Dinas Komunikasi dan Informatika Tangerang Kota
AS133840,PT Jala Lintas Media
AS133841,INDONESIA BROADBAND ACCESS - ANYWHERE
AS133842,PT BNI Life Insurance
AS133843,PT Bank Rakyat Indonesia
AS133844,Universitas Islam Negeri Suska Riau
AS134077,PT Telkom Infrastruktur Indonesia
AS134127,PT Zona Sejahtera Mandiri
AS134129,PT IDN NUSANTARA NETWORK
AS134412,PT Lintas Ardihen Borneo
AS134451,NewMedia Express Pte Ltd
AS134462,JOB TOMORI
AS134493,PT FWD Insurance Indonesia
AS134612,PT Atria Teknologi Indonesia
AS134614,Universitas Hasanuddin
AS134620,Pusinfolahta TNI
AS134621,PT Jurnalindo Aksara Grafika
AS134623,PT. DIGITAL NETWORK ANTANUSA
AS134625,PT. Maxindo Mitra Solusi
AS134626,PT. Aristi Jasadata
AS134627,Universitas Kristen Satya Wacana
AS134630,PT Palapa Global Nusantara
AS134632,PT Lippo Malls Indonesia
AS134633,Direktorat Jenderal Administrasi Hukum Umum
AS134634,Sekretariat Daerah Kota Salatiga
AS134635,"Dinas Komunikasi, Informatika dan Persandian Kabupaten Banyuwangi"
AS134636,PT Bank DBS Indonesia
AS134637,PT.VELTRATEL
AS134639,Pemerintah Provinsi Kepulauan Bangka Belitung
AS134640,PT DCI Indonesia
AS134641,PEMERINTAH KABUPATEN MAGETAN
AS134642,Bank Shinhan Indonesia
AS134643,PT Jaya Kartha Solusindo
AS134644,PT Cakrawala Lintas Kepri
AS134648,PT Tidar Lintas Nusa
AS134650,Politeknik Negeri Batam
AS134651,PT Yetoya Solusi Indonesia
AS134652,PPM Manajemen
AS134653,Universitas Muhammadiyah Prof. DR. HAMKA
AS134654,PT Datautama Dinamika - NAP
AS134655,PT. DUMAI MANDIRI NET
AS134656,PT Cheil Jedang Indonesia
AS134658,PT JULIA MULTIMEDIA NUSANTARA
AS134659,Diskominfo DKI Jakarta
AS134660,Badan Pengelola Keuangan dan Aset Daerah Kota Batu
AS134661,SHINHAN INDO FINANCE
AS134728,PT SANET MEDIA TEKNOLOGI
AS135062,PT Indotech Mitra Digital
AS135072,PT Indonesia Digital Identity
AS135167,Politeknik Kesehatan Padang
AS135360,Argon Data Network
AS135438,PT Graha Prima Telekomunikasi
AS135439,PT ADNET MEDIA INDONESIA
AS135440,PELABUHAN INDONESIA IV
AS135441,PT. FASA CENTRA ARTAJAYA
AS135442,PT. ASDP INDONESIAFERRY (PERSERO)
AS135443,"Dinas Komunikasi, Informatika dan Persandian Kabupaten Teluk Wondama"
AS135444,PT Ikubaru Indonesia
AS135445,PT. Airpay International Indonesia
AS135446,PT Sumber Cipta Multiniaga
AS135447,PT. Bank Mega Tbk
AS135448,PT Bukalapak.com
AS135449,PT. Broadband Indonesia Pratama
AS135450,PT Berkah Solusi Teknologi Informasi
AS135451,PT Media Alvina Sejati
AS135454,AXA Tech Indonesia
AS135456,Kementerian Koperasi dan Usaha Kecil dan Menengah RI
AS135457,BADAN SIBER DAN SANDI NEGARA (BSSN)
AS135459,PT.GLOBALRIAU DATA SOLUSI
AS135460,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED
AS135461,PT Pelabuhan Indonesia I (Persero)
AS135462,PT Shopee International Indonesia
AS135463,PDE Setda Kabupaten Sukoharjo
AS135464,Winet Media Persada
AS135465,PT BINA TECHINDO SOLUTION
AS135467,"PT. Bank Bukopin, Tbk"
AS135468,BNET
AS135469,"Dinas Komunikasi, Informatika dan Statistik Provinsi Gorontalo"
AS135471,PEMERINTAH KABUPATEN BOYOLALI
AS135472,Dinas Kominfo SLEMAN
AS135473,BPJS Ketenagakerjaan
AS135474,PT Hafiz Jaya Infotama
AS135475,Pemerintah Kabupaten Banyuasin
AS135476,PT. Bank Tabungan Pensiunan Nasional Tbk
AS135477,PT. Java Digital Nusantara
AS135478,PT. Cyberindo Aditama
AS135479,PT. XIRKA DAMA PERSADA
AS135480,PT. Arjuna Global Teknologi Indonesia
AS135481,Universitas Negeri Makassar
AS135482,Yayasan Pendidikan Universitas Presiden
AS135483,PT. WISESA CONSULTING INDONESIA
AS135485,PEMERINTAH KOTA KEDIRI
AS135487,UNTAR - YAYASAN TARUMANAGARA
AS135488,PT OTHMAR MATRA MEDIA
AS135636,PT. RACKH LINTAS ASIA
AS135649,PT Apci Network Solutions
AS135659,PT Detroit Network Indonesia
AS136052,PT Cloud Hosting Indonesia
AS136053,PT. INFINETWORKS GLOBAL
AS136054,PT.COMTELINDO
AS136055,PT Queen Network Nusantara
AS136056,PT. Sanghiang Perkasa
AS136058,UNIVERSITAS TRUNOJOYO MADURA
AS136059,Universitas Nusa Cendana
AS136060,Dinas Informasi dan Pengolahan Data TNI AL (DISINFOLAHTAL)
AS136061,Badan Pengusahaan Batam
AS136063,PDAM SURYA SEMBADA KOTA SURABAYA
AS136064,PT. WINUSA CIPTA TELEMATIKA
AS136065,PT SOLUSI TRIMEGAH PERSADA
AS136067,Dinas Komunikasi dan Informatika
AS136068,PT Sqiva Sistem
AS136070,UNIVERSITAS SAM RATULANGI
AS136073,Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah
AS136074,PT. Sarana Cipta Komunikasi
AS136075,PT Cinoxmedia Network Indonesia
AS136076,PT Hesta Media Sinergi
AS136077,Universitas Islam Negeri Mataram
AS136078,PT. FOXLINE MEDIADATA INDONUSA
AS136079,STMIK Amikom Yogyakarta
AS136080,PT Biznet Gio Nusantara
AS136081,PEMERINTAH KABUPATEN KEBUMEN
AS136082,PT. Frozbit Multimedia Indonesia
AS136083,"Dinas Komunikasi, Informatika dan Statistika Kota Magelang"
AS136084,PT. MAKMUR SUPRA NUSANTARA
AS136085,Pemerintah Kabupaten Bojonegoro
AS136087,Kementerian Ketenagakerjaan RI
AS136088,PT. Araz Inti Line
AS136089,PT Mitra Mandiri Network
AS136090,Universitas Islam Negeri Raden Intan Lampung
AS136091,"Dinas Komunikasi, Informatika, Statistik dan Persandian Provinsi Banten"
AS136092,PT DAYA AKSES NUSANTARA
AS136093,PT Mitra Lintas Multimedia
AS136094,Markas Besar TNI Angkatan Darat
AS136095,PT. Timerindo Perkasa International
AS136096,PT. Terminal Teluk Lamong
AS136098,Badan Kepegawaian Negara
AS136099,Pusat Jantung Nasional Harapan Kita
AS136100,PT. BKVNET TELEMEDIA
AS136101,Pemerintah Kota Bandung
AS136102,PT. Arupa Cloud Nusantara
AS136103,Universitas Semarang
AS136104,IAIN Imam Bonjol Padang
AS136105,CV. ANINDISA KOMPUTINDO PRATAMA
AS136106,PT. Mega Akses Persada
AS136107,PT. Tujuh Ion Indonesia
AS136108,PT. Cyberindo Aditama
AS136110,UNIVERSITAS 17 AGUSTUS 1945 BANYUWANGI
AS136111,Kementerian Sosial Republik Indonesia
AS136112,Universitas Teknologi Yogyakarta
AS136116,PT. ALIANSI TEKNOLOGI INDONESIA
AS136117,PT Bank Pembangunan Daerah Jawa Barat & Banten
AS136118,Universitas Mercubuana
AS136119,"PT Bali Towerindo Sentra, Tbk"
AS136120,PT INTEGRA INDOLESTARI
AS136121,PT Digital Media Telematika
AS136123,PT Telemarketing Indonesia
AS136125,PT. ASTRA SEDAYA FINANCE
AS136126,PT. BLUE BIRD Tbk
AS136127,PT. Tujuh Akses Mentari Prima
AS136128,PT CITRA AKSES INDONUSA
AS136129,Kementerian Koordinator Bidang Kemaritiman RI
AS136130,Pemerintah Kabupaten Tegal
AS136131,PT Tiga Satu Cyber Network
AS136159,PT Trira Inti Utama
AS136170,PT. EXABYTES NETWORK INDONESIA
AS136221,Telekomunikasi Indonesia International PT
AS136381,PT Megadata Inovasi Solusindo
AS136445,CV AGUNG CAHYADI TRIGUNA
AS136446,PT Wonomulyo Digital Network
AS136453,PT Kala Hotama Technology
AS136516,KEPOLISIAN DAERAH JAWA TIMUR
AS136783,PT SULSEL LAYANAN INTERNET
AS136816,PT Genz Media Utama
AS136820,PT. LISAR INTERNATIONAL NETWORKING
AS136821,PT TRIMEDIA SETIYA DATA
AS136822,Politeknik Pertanian Negeri Payakumbuh
AS136823,PT. Arka Data Primatama
AS136824,PT RACKH LINTAS ASIA
AS136826,Indonesia Network Information Center
AS136827,Universitas PGRI Semarang
AS136828,Universitas Bina Darma Palembang
AS136829,Dinas Kominfo Kota Pekalongan
AS136830,PT ASURANSI JIWA MANULIFE INDONESIA
AS136831,DINAS KOMUNIKASI DAN INFORMATIKA KUTAI KARTANEGARA
AS136833,UNIVERSITAS MUHAMMADIYAH SEMARANG
AS136834,POLITANI Pangkep
AS136835,PT. GLobal Intermedia Nusantara
AS136837,Universitas Muhammadiyah Palembang
AS136838,PT BIT TEKNOLOGI NUSANTARA
AS136839,STMIK AKAKOM
AS136840,PT. Graha Lintas Nusantara
AS136841,PT MITRA TELEMEDIA MANUNGGAL
AS136842,PEMERINTAH PROVINSI PAPUA
AS136843,Dinas Komunikasi dan Informatika Pemerintah Kota Semarang
AS136844,PT. VERBIND INTERNET SOLUSINDO
AS136847,PT. Alif Investama Teknologi Indonesia
AS136849,Kantor Dispenda Kota Batam
AS136851,PT ARDETAMEDIA GLOBAL KOMPUTINDO
AS136852,PT Diginet Media
AS136853,Universitas Muhammadiyah Magelang
AS136854,PT. PALAPA RING BARAT
AS136856,PT. Tower Bersama
AS136857,PT. ASURANSI JIWA INHEALTH INDONESIA
AS136861,PT. ARTAMEDIA CITRA TELEMATIKA INDONESIA
AS136862,DINAS KOMUNIKASI DAN INFORMATIKA KOTA SERANG
AS136863,PT Era Global Nusindo
AS136864,PT Kalla Inti Karsa
AS136865,PT Foura Inti Sinergi
AS136866,Institut Seni Indonesia Surakarta
AS136867,PT. Teltranet Aplikasi Solusi (Telkomtelstra)
AS136868,PT. Terasys Virtual
AS136869,PT. LIMA MENARA BINTANG
AS136870,PT Global Mediacom Tbk
AS136871,Institut Teknologi Nasional
AS136872,PT Global Digital Niaga
AS136873,MEGADATA-ISP
AS136874,PT. Garuda Media Telematika
AS136876,PEMERINTAH KABUPATEN BANYUMAS
AS136877,PT Visionet Data Internasional
AS136879,PT. Media Jaringan Indonesia
AS136880,PT. Sumatra Multimedia Solusi
AS136881,PT Permodalan Nasional Madani
AS136882,Dinas Komunikasi Informatika dan Statistik Kota Cirebon
AS136883,Universitas Nahdlatul Ulama Surabaya
AS136885,PT BINTANG MATARAM TEKNOLOGI
AS136886,INSTITUT AGAMA ISLAM NEGERI TULUNGAGUNG
AS136887,PT Telkom Satelit Indonesia
AS136888,PT Petro One Indonesia
AS136889,DINAS KOMUNIKASI DAN INFORMATIKA KABUPATEN SIDOARJO
AS136938,PT Yoan Corp Indonesian
AS137002,PT. FWD Life Indonesia
AS137019,Indonesia NeuCentrIX
AS137245,Dinas Komunikasi dan Informasi Kabupaten Siak
AS137286,PT. Arupa Cloud Nusantara
AS137287,DINAS KOMUNIKASI DAN INFORMATIKA KAB. BEKASI
AS137288,PT UNGARAN SARI GARMENTS
AS137289,PT. SIGMA CIPTA CARAKA
AS137291,Diskominfo Kabupaten Trenggalek
AS137292,PT. Intranusa Core Teknologi
AS137294,Pusat Hidrografi dan Oseanografi TNI Angkatan Laut
AS137295,PT. NTT Indonesia
AS137296,PT. IMAN TEKNOLOGI INFORMASI
AS137297,Universitas Muhammadiyah Kalimantan Timur
AS137298,PT Pelangi Nusantara Multimedia
AS137299,Universitas Malikussaleh
AS137300,UIN AR-RANIRY
AS137301,POLTEKKES KEMENKES YOGYAKARTA
AS137302,DINAS KOMUNIKASI INFORMATIKA DAN STATISTIK PROVINSI RIAU
AS137303,PT Jala Lintas Media - NAP
AS137305,PT. INTI DUNIA SUKSES
AS137308,DISKOMINFO KLATEN
AS137309,PT ALTO Network
AS137310,PT Shangkuriang Telekomunikasi Indonesia
AS137311,PT. KINEZ CREATIVE SOLUTIONS
AS137312,UNIVERSITAS TIDAR
AS137313,Kementerian Koordinator Bidang Perekonomian
AS137314,Politeknik Negeri Jember
AS137315,Politeknik Negeri Banyuwangi
AS137316,PT. PANCA DUTA UTAMA
AS137318,DISKOMINFO KABUPATEN PATI
AS137323,DINAS KOMINFO PEMDA PAPUA BARAT
AS137324,PT Metrocom Indonesia
AS137325,PT Sanbe Farma
AS137327,Universitas Hang Tuah
AS137329,PT. ARTHA LINTAS DATA MANDIRI
AS137330,PT Pisangmas Rayatama Perkasa
AS137331,PT Cloud Teknologi Nusantara
AS137332,Universitas Komputer Indonesia
AS137335,Dinas Komunikasi dan Informatika Banjarnegara
AS137338,PT Sentinel Sinergi Sukses
AS137339,Dinas Komunikasi dan Informatika Kabupaten Pinrang
AS137340,Dinas Komunikasi dan Informatika Pemerintah Kota Depok
AS137341,WHEEHOST
AS137342,DISKOMINFO TANGERANG SELATAN
AS137343,PT. KHAZANAH MEDIA NETWORK NUSANTARA
AS137344,PT. TRANS NASIONAL TEKNOLOGI
AS137346,PT Cyber Network Indonesia
AS137347,Politeknik Ilmu Pelayaran Semarang
AS137349,PT. GEMILANG SARANA MANDIRI
AS137351,PT. Djaya Sampoerna Net
AS137352,PT. Cloudata Indonesia
AS137353,DINAS KOMINFO KABUPATEN PAKPAK BHARAT
AS137354,PT. Data Sinergitama Jaya
AS137356,Universitas PGRI Yogyakarta
AS137357,PT BUKIT MAKMUR MANDIRI UTAMA
AS137359,PT. SKYREACH
AS137360,Universitas Muhammadiyah Surabaya
AS137361,DISKOMINFO Kab. Magelang
AS137362,Pemerintah Kota Surakarta
