ASN,Name
AS12660,Sharif University Of Technology
AS12697,Tose Masiryabi Shabake Aria PJSC
AS12880,Iran Information Technology Company PJSC
AS13231,Baharan PLC
AS15402,Pishgaman Tejarat Sayar Company (Private Joint Stock)
AS15611,Iranian Research Organization for Science & Technology
AS15907,Imam Khomeini International University of Qazvin
AS16018,Public JSC Bank Sepah
AS16235,Pouya Nazm Najafabad Computer Co(PJS)
AS16286,University of Kashan
AS16292,Kermanshah University of Medical Science and Health Service
AS16320,Fanavaran Eniac Rayaneh PJSC
AS16322,Parsan Lin Co. PJS
AS1756,Shiraz Hamyar Co.
AS197207,Mobile Communication Company of Iran PLC
AS197343,Toloe Rayaneh Loghman Educational and Cultural Co. LTD
AS197787,Mehran Heidari
AS197937,Mizban Dadeh Roham Co
AS197946,Amnpardaz Soft Corporation
AS198154,Pars Abr Toseeh Ertebatat LTD
AS198341,Consumers Cooperative Company of Employees of Esfahan Zobahan Company
AS198357,Padidar Technology PJSC
AS198569,Rahanet Zanjan Co. (Private Joint-Stock)
AS199467,Hosein Zangoei
AS199633,Faradast Energy Falat Co. (Private Joint-Stock)
AS199849,"""Gostaresh Etrtebatate Apadana"" Ltd."
AS200116,
AS200252,Chakavak Pardazesh Hooshmand Alborz
AS200296,Dadeh Gostar Sina Shiraz PJSC
AS200312,Golrang System Co. P.J.S
AS200324,"Mizban Abri Iman Iranian, LLC"
AS200370,Farzanegan Pars Communications Company PJS
AS200376,Tehran Electric Energy Distribution
AS200406,Javid Berbid Mamasani Information Technology Company PJS
AS200436,Patron Technology Persia Ltd
AS200554,Dade Pardaz Kimia Pouyesh PJS.
AS200645,Gilass Rayaneh Sirjan Co (PJS)
AS200796,Data Pardaz Afraz Private Joint Stock Company
AS200816,Pishgaman Kavir Asia Private Joint Stock
AS201015,Pishgaman Toseeh Fanavari Etelaat Va Ertebatat Jonoub (Joint Stock Company)
AS201150,Didehban Net Company PJS
AS201194,"Nahor Hadish Design and Architecture Co., Ltd"
AS201227,Mizban Dade Pasargad LLC
AS201259,Pardakht Electronic Pasargad (P.J.S)
AS201295,Shabakeh Ertebatat Artak Towseeh PJSC
AS201309,Morteza Imani Bidgoli
AS201442,IR IRAN Civil Aviation Authority
AS201540,Pishgaman Toseeh Fanavari Etelaat Va Ertebatat Jonoub (Joint Stock Company)
AS201634,Mizban Dade Shetaban Co. (Ltd)
AS201691,Fannavari Etelaate Samane Kavoshgar Ide Ltd.
AS201703,Andisheh Sabz Mahan Co. Ltd
AS201810,AmirHosein Karimi
AS201871,Tehran Internet Co.
AS201999,Fanavari Serverpars Argham Gostar Company Ltd.
AS202029,Taknet Afzar Aftab PJSC
AS202251,Padiz-Daderesan-Company
AS202319,Hezardastan Unit Cloud Computing PJSC
AS202391,Cooperative Afra ertebatat-e-sabet-e Rasa Co
AS202468,Noyan Abr Arvan Co. ( Private Joint Stock)
AS202571,Kharazmi University
AS202601,Pardis Etelaresan Sepehr Employee's Cooperative Co.
AS202735,Communication Regulatory Authority
AS202788,Khuzestan Water and Power Authority Co. PJS
AS202798,Andisheh Yavaran Tamadon Emrooz LLC
AS202807,Navid Bakzadegan Tabrizi
AS203000,Asiatech Data Transmission company
AS203014,"IRAN CHAMBER OF COMMERCE, INDUSTRIES, MINES and AGRICULTURE"
AS203026,Ports And Martime Organization
AS203100,Iman Samaneh Sepehr LLC
AS203102,Kerman University of Medical Sciences
AS203162,Charisma Financial Information Processing PJSC
AS203247,Islamic Azad University
AS203558,Tose'h Fanavari Ertebabat Pasargad Arian Co. PJS
AS203616,Paya Kian Parham Co. (PJS)
AS203684,Imen Sanat Novin Alighapoo Private Joint Stock Company
AS203694,Beh Pardakht Melat Co PJS
AS203798,Mashhad University of Medical Sciences
AS203895,Pardazeshgaran Etelat Zaban Layeha Co Ltd
AS203900,Fara Ertebat Mabna PJS
AS203916,Hamed Manavi Haghighi
AS203951,Toseh Samanehay-e Narmafzari-e Negin (Tosan) PJSC
AS204001,Yazd University
AS204104,Giti Secure Cloud LLC
AS204105,Paya Bastar Arina Co. Private J.S.
AS204203,Atrin Information & Communications Technology Company PJS
AS204213,Netmihan Communication Company Ltd
