ASN,Name
AS1197,Network Ability Limited
AS1213,ASIERA TECHNOLOGY SERVICES CLG
AS12372,Cubic Telecom Limited
AS12388,Virgin Media Ireland Limited
AS13280,Three Ireland (Hutchison) limited
AS15405,East Cork Broadband Limited
AS15502,Vodafone Ireland Limited
AS15612,ServeCentric Ltd.
AS15751,Eircom Limited
AS15806,Irish Government
AS16171,Fulnett Limited
AS16282,Allied Irish Banks PLC
AS196737,Airwave Internet
AS197957,Ker Broadband Communications Ltd
AS198046,DIDWW Ireland Limited
AS198260,Identity Digital Limited
AS198301,Workday Limited
AS198812,Whitelake Communications Limited
AS199030,Alex Lee Whelton
AS199170,DIDWW Ireland Limited
AS199200,Bauer Audio Ireland Limited trading as Bauer Media Audio Ireland LP
AS199326,Voice Engineer Ireland Limited
AS199346,Kerry Broadband Ltd
AS199559,Bloomberg Data Management Services Limited
AS199588,Digital Hub Development Agency
AS199873,Ezetop Unlimited Company ULC
AS200046,Smyths Audio and Video Systems Ltd.
AS200186,SEITH IT CONSULTING LIMITED
AS200363,Blacknight Internet Solutions Limited
AS200451,Workday Limited
AS200500,Vesta Payment Solutions Limited
AS200562,Welltel (Ireland) Ltd
AS200565,Ivertec Ltd
AS200807,Sleepless Server Solutions Ltd.
AS200824,Susquehanna International Group Ltd
AS200946,EMC Information Systems International PUC
AS200947,Royal Dublin Society
AS201000,Js Whizzy Internet Limited
AS201111,Planet Payment Group Holdings Limited
AS201310,Interlink Ireland Ltd
AS201607,Celtic Broadband Limited
AS201783,DIDWW Ireland Limited
AS202148,BoyleSports 2 Unlimited Company
AS202823,Office IT Ltd.
AS202899,Guidewire Software (Ireland) Limited
AS203262,Innovate Business Technology Ltd
AS203366,BMC Software Ireland Limited
AS203754,Phone Pulse Ltd
AS204210,Zeus Packaging Limited
AS204458,Hispeed Wireless Broadband Ltd
AS204536,TSFY Ltd
AS204597,Wayfair Stores Ltd
AS204882,DENIS NOLAN
AS204990,Dirk Webbeler Enterprises Limited trading as Blue Technologies Ltd. & Co. KG
AS205088,XIAOKANG WANG
AS205189,BANK OF IRELAND GROUP PUBLIC LIMITED COMPANY
AS205437,Dawn Meats Group Unlimited Company
AS205481,Clare Wifi Networks Limited
AS205494,Thomas John Bolger
