ASN,Name
AS13122,Manx Telecom Trading Ltd
AS15766,Domicilium (IOM) Limited
AS197385,Stacuity Limited
AS200348,SC IP Limited
AS201898,BlueWave Communications Limited
AS207092,SC IP Limited
AS208770,Greacon Limited
AS212873,Hobarton Limited
AS24851,Netcetera Ltd.
AS35691,Plan Communications Ltd
AS42455,ELITE GROUP.IM LIMITED
AS43338,TSG Interactive Services Limited
AS44481,Professional Data Management Services Limited
AS48536,TSG Interactive Services Limited
AS50763,Robert McKay
AS57198,OV Limited
AS57567,North South West Limited
