ASN,Name
AS12400,Partner Communications Ltd.
AS12491,Gilat Telecom Ltd.
AS12517,LAN-WAN I.T LTD
AS12619,Yediot Information Technologies ltd
AS12736,Israel Airports Authority
AS12753,Teva Pharmaceutical Industries Limited
AS12802,Migdal Insurance Company Ltd.
AS12849,Hot-Net internet services Ltd.
AS12988,The Phoenix Insurance Company Ltd
AS13035,IP Telecom ltd.
AS13073,IFAT - Media Information Center LTD
AS13074,Walla Communication LTD
AS13093,Haaretz Daily Newspaper Ltd.
AS13150,CATO NETWORKS LTD
AS13240,GUIDELINE GROUP INFORMATION TECHNOLOGIES LTD
AS15526,INTERWISE Ltd
AS15643,IT Online LTD
AS15823,Radware Ltd.
AS15976,Ordernet Ltd
AS16061,Isracard Ltd
AS16116,Pelephone Communications Ltd.
AS16158,Mavenir Ltd
AS16370,Random Logic Ltd.
AS1680,Cellcom Fixed Line Communication L.P
AS197012,Israel Brokerage & Investments I.B.I Ltd.
AS197538,Egged Transportation Company Ltd.
AS197797,The Health Corporation - Rambam
AS197819,Strauss Group LTD
AS197850,Excellence Nessuah services LTD
AS198114,Bank Leumi le-Israel B.M.
AS198256,Mishkei Shita Communication LTD
AS198425,SOLAREDGE TECHNOLOGIES LTD.
AS198492,Israel Sport betting board
AS198521,ZIM INTEGRATED SHIPPING SERVICES LTD
AS198748,198 Holdings Ltd
AS198773,Brightsource Industries (Israel) Ltd.
AS198949,Radware Ltd
AS198986,KESHET BROADCASTING LTD
AS199270,HASHIKMA NGN International Communications 015LTD
AS199391,One System Integration LTD
AS199393,MAKEAPP CLOUD Ltd
AS199701,Eldar Perez trading as SeedVPS
AS199836,Bank Clearing Center LTD
AS199989,Swiftness Ltd
AS200309,"The Kibbutzim Seminar - College of Education, Technology and Arts (AR)"
AS200343,BMC Software Israel Ltd.
AS200433,Pontis Ltd
AS200478,Taboola.com ltd
AS200495,Free Telecom Communication Services LTD
AS200742,Isam Awadallah trading as 3samnet
AS200835,Bryan Ariel Castronovo trading as FuturelL
AS201025,Meitar Law Office
AS201073,YES TV AND COMMUNICATIONS SERVICES LTD
AS201076,Paycall Technologies Ltd
AS201156,offek h&o ltd
AS201397,Lanir communication LTD
AS201415,Expim Ltd
AS201418,Kibbutz Hatzerim Ltd
AS201796,VENUS YARKA LTD
AS201833,Cellact Communication Ltd.
AS201857,LiveDns Ltd
AS202102,LEVERATE TECHNOLOGICAL TRADING LTD
AS202122,Ceragon Networks LTD
AS202226,Emil Vitukhnovskii trading as Great Flower
AS202301,
AS202320,HILAN LTD
AS202356,MATRIX IT CLOUDZONE LTD
AS202369,Yael Software & Systems LTD.
AS202447,DISCOUNT LEASING LTD
AS202530,Integrade T.G. Limited
AS202597,NAYAX LTD
AS202905,Lior Avraham Slakman
AS202940,ITC NG ltd
AS203009,ORIAN SH.M LTD.
AS203077,Voicenter LTD
AS203110,Voicenter LTD
AS203124,Eagle Trading Systems (R&D) LTD
AS203859,Voye Global Connectivity Ltd
AS204029,MAYER'S CARS & TRUCKS CO. LTD
AS204160,Mohammed Zahika trading as Bee Fiber.
AS204257,Med-1 IC-1 (1999) LTD
AS204395,Elcam Medical Agricultural Cooperative Association Ltd
AS204528,Space-Communication ltd.
AS204763,ZADARA TECHNOLOGIES LTD
AS204814,LB Annatel LTD
AS204831,FISHMAN CHAINS LTD
AS204935,Flo Live LTD.
AS205209,BINAT BUSINESS LTD
AS205303,SOLAREDGE TECHNOLOGIES LTD.
AS205564,Infinidat Ltd
AS205577,TNUVA CENTRAL CO-OPERATIVE FOR THE MARKETING OF AGRICULTURAL PRODUCE IN ISRAEL LTD
AS205650,David Shield - Life Insurance Agency (2000) Ltd
AS205870,Elbit Systems LTD.
AS20598,"Autonomous System number for Cyber Space,"
AS206020,VAST Data Ltd
AS206106,TADIRAN CONSUMER AND TECHNOLOGY PRODUCTS LTD
AS20623,Safelines Ltd.
AS206446,CLOUD LEASE Ltd
