ASN,Name
AS12309,Nouvelle S.r.l
AS12340,Wispone S.R.L.
AS12363,REGISTER S.P.A.
AS12428,UniCredit S.p.A.
AS12445,A2A Smart City S.P.A
AS12468,Abaco Informatica S.r.l.
AS12481,Trivenet S.R.L.
AS12498,FinecoBank S.p.A.
AS12505,Banco BPM S.P.A
AS12515,RS Advanced Systems S.R.L.
AS12533,RMnet S.R.L.
AS12551,ENEL S.p.A
AS12559,BCC SISTEMI INFORMATICI S.P.A.
AS12637,SEEWEB s.r.l.
AS12650,Il Sole 24 Ore SpA
AS12663,Fastweb SpA
AS1267,WIND TRE S.P.A.
AS12779,IT.Gate S.p.A.
AS12797,BT Italia S.p.A.
AS12835,Trentino Digitale SPA
AS12850,Retelit Digital Services S.p.A.
AS12874,Fastweb SpA
AS12906,Deltatre S.p.A.
AS12922,CEDACRI S.P.A.
AS12954,Nexi Payments S.P.A.
AS13018,Banca Monte Dei Paschi Di Siena S.P.A.
AS13060,Basic Net SpA
AS13097,Axera SpA
AS13113,ISI Line srl
AS13160,EMMELIBRI S.R.L.
AS13180,CEDACRI S.P.A.
AS13182,Made Network Srl
AS13183,Intesa Sanpaolo S.p.A.
AS13253,Intesa Sanpaolo S.p.A.
AS13254,ARNOLDO MONDADORI EDITORE SPA
AS13284,Playnet S.R.L.
AS137,Consortium GARR
AS15472,TERRALINK S.R.L.
AS15515,UniCredit S.p.A.
AS15529,Banco BPM S.P.A
AS15553,CERVED GROUP S.p.A.
AS15584,Informatica Alto Adige Spa
AS15589,Retelit Digital Services S.p.A.
AS15605,Connesi s.p.a.
AS15607,BPER Banca SPA
AS15660,Findomestic Banca S.p.A.
AS15663,Umbrianet S.R.L.
AS15691,UAN COMPANY S.R.L.
AS15720,Poste Italiane S.p.A.
AS15746,IL SENTIERO SERVIZI SOC.COOP. A R.L.
AS15779,Reply S.p.A.
AS15831,Security Reply s.r.l.
AS15887,ENGINEERING INGEGNERIA INFORMATICA SPA
AS15923,Logos S.P.A.
AS15981,C.S.E. Consorzio Servizi Bancari Soc. Cons. a r.l.
AS16004,MIX S.r.L. - Milan Internet eXchange
AS16027,Allitude S.p.A.
AS16052,SELECTA INDUSTRIAL OPERATIONS S.P.A
AS16076,Infotech S.r.l
AS16122,Prada S.p.A.
AS16141,Net Bull S.r.l.
AS16232,Telecom Italia S.p.A.
AS16297,WIIT S.p.A.
AS16379,UniCredit S.p.A.
AS196654,Deda Tech SRL
AS196708,ANTEA S.R.L.
AS196749,BBANDA S.R.L.
AS196784,Reale Mutua di Assicurazioni
AS196865,Aircomm S.r.L.
AS196880,Leonardo S.p.A.
AS196892,TD Group Italia S.r.l.
AS196956,Net-spring s.r.l.
AS196959,NAMEX CONSORZIO
AS196966,DIGINETICA S.R.L.
AS196983,Elsynet S.r.l.
AS197022,Poste Italiane S.p.A.
AS197075,Active Network S.p.A.
AS197290,@Works Srl
AS197293,PROGETTO EVO S.R.L.
AS197440,Consiglio Nazionale delle Ricerche
AS197506,Level7 s.r.l.
AS197589,Alfanews S.r.l.
AS197636,UniCredit S.p.A.
AS197644,
AS197650,AirMax S.r.l.
AS197736,RIPE NCC ASN block
AS197807,Eos sistemi s.r.l.
AS197825,EMAXY SRL
AS197835,Fusolab onlus
AS197845,Cegeka S.P.A.
AS197859,E.S.I. S.n.c di Teofili Elisabetta e C.
AS197891,CONGREGAZIONE CRISTIANA DEI TESTIMONI DI GEOVA
AS197947,Recordati Industria Chimica e Farmaceutica S.p.A.
AS197948,Poste Italiane S.p.A.
AS197954,Ambrogio s.r.l.
AS198013,Ipkom Srl
AS198045,Provincia di Pesaro e Urbino
AS198049,ELICA - S.P.A.
AS198059,Gianluca Della Bona trading as Radio Data Net
AS198079,Giorgio Maria Brullo
AS198090,LIBRA S.R.L.
AS198102,XSTREAM SRL
AS198128,Connecting Project s.r.l.
AS198166,Borsa Italiana S.P.A.
AS198180,Gabriele Sabatino
AS198240,Piccolo Andrea trading as Digisat
AS198257,Easy Tech Solution SRL
AS198291,Next Data S.r.l
AS198292,GO Internet S.p.A
AS198316,Neoflux SRLS
AS198319,ARIA S.p.A.
AS198320,Telnet Systems s.r.l.
AS198349,Baleno S.r.l.
AS198363,LINK S.R.L.
AS198380,BLUNOVA S.R.L.
AS198387,Uniplan Software S.r.l.
AS198399,FASTCON srl
AS198434,NETALIA S.R.L.
AS198462,NEW SRL
AS198471,Opnet Srl
AS198721,Progetto8 Srl
AS198747,Daniil Gentili
AS198772,Costa Crociere S.p.a.
AS198800,Packet Loss s.r.l.
AS198830,Nordcom S.p.a.
AS198843,LIBRA S.R.L.
AS198898,SETA S.R.L.
AS198916,Inweb Adriatico S.r.l.
AS198919,NEXSUS SRL
AS199017,GBsoftware S.p.A.
AS199039,CAMPANIACOM SPA
AS199042,Numeria Srl
AS199162,Wifinetcom srl
AS199181,Orakom S.r.l.
AS199202,Moviement srl
AS199237,EuroReti S.r.l.
AS199288,Sistematica Spa
AS199309,"CONSORZIO ELETTRICO DI STORO, SOCIETA COOPERATIVA"
AS199321,Intesys Networking Srl
AS199324,DODONET S.R.L.
AS199342,Universita Cattolica del Sacro Cuore
AS199348,Fibraweb S.p.A
AS199352,Societa' Autostrade Alto Adriatico S.p.A.
AS199362,Wish Networks s.r.l.
AS199477,Diesel-s.P.A.
AS199504,RIPE NCC ASN block
AS199509,Protezione Civile Regione Autonoma Friuli Venezia Giulia
AS199532,Tecnolife S.r.l.
AS199536,Angelastri Giuseppe trading as TechDigital
AS199606,Nim Wave srl
AS199617,ARIANNA 2001 S.P.A.
AS199653,Aruba S.p.A.
AS199666,Hynet S.R.L.
AS199699,GAMGROUP SRLS
AS199744,itesys srl
AS199837,Planetel Nordest SRL
AS199864,Interporto di Trieste S.p.A.
AS199883,Aruba S.p.A.
AS199920,Vincenzo Di Salvo
AS199947,Nexusway srl
AS200034,CDA SYSTEM S.R.L.
AS200036,Niccolo Pietrobon
AS200043,CESENA NET S.R.L.
AS200073,LUTECH S.P.A.
AS200100,T&T Tecnologie e Telecomunicazioni Srl
AS200108,Nemo S.r.l.
AS200148,FIDOKA srl SB
AS200156,CONAD NORD OVEST SOCIETA' COOPERATIVA
AS200182,PRIMA ERA S.R.L.
AS200185,Aruba S.p.A.
AS200254,TELDATA s.r.l.
AS200311,PRE WIFI SRL
AS200345,SAMTEL NETWORK SRL
AS200409,Tecnodata Trentina Srl
AS200424,Alessandro Coratelli trading as CODEMA
AS200448,PCS GROUP SPA
AS200480,PASUBIO TECNOLOGIA SRL
AS200497,WAVECOM SRL
AS200547,MTK S.R.L.
AS200553,Interfibra S.R.L.
AS200583,TINEXTA INFOCERT S.p.A
AS200604,RUBELLO LINO trading as RUBELLO IMPIANTI
AS200616,Acciaierie Bertoli Safau S.p.A
AS200689,TELEIMPIANTI SRL
AS200760,Dinova Srl
AS200761,Real Comm srl
AS200767,Esselunga S.p.A.
AS200786,Azimut Holding S.P.A.
AS200794,NAVIGO srl
AS200799,SILTEL TELECOMUNICAZIONI SRL
AS200813,Gruppo Lercari Srl
AS200818,CONNEXTRA S.R.L
AS200858,Rackone Srl
AS200873,Retelit Digital Services S.p.A.
AS200887,Velcom Srl
AS200901,Perolini Sebastiano
AS200944,Eurobet Italia SRL
AS200984,NUOVAFIBER S.R.L.
AS201045,BASE DIGITALE PLATFORM S.P.A.
AS201058,Spaziotempo s.r.l.
AS201095,DIMAR
AS201102,AVELIA SRL
AS201127,Fastfone s.r.l.
AS201175,BANGO ITALY S.R.L.
AS201183,VoipTel Italia S.r.l.
AS201198,Airgrid S.R.L.
AS201220,Gruppo EURIS Spa
AS201333,Naquadria S.R.L.
AS201362,BASE DIGITALE PLATFORM S.P.A.
AS201367,Energente S.r.l.
AS201474,Aircom Service srl
AS201483,B.L.S. Consulting S.r.l.
AS201502,JCOM Telecomunicazioni s.c.a r.l.
AS201509,FIBRA SALENTO S.R.L. S.B.
AS201565,ETRURIA WI-FI S.R.L.
AS201602,NEWTEC S.R.L.
AS201722,NEXT SRL
AS201747,Evolink srl
AS201795,Webethical S.r.l.
AS201806,SI.EL.CO. SRL
AS201847,Elektronica Sistemi Di Muro Mauro E Turcinovic Walter S.n.c.
AS201877,NETandWORK s.r.l.
AS201919,BonPrix S.r.l.
AS201935,Skylogic Mediterraneo s.r.l
AS201937,HOLAFIBRA SRL
AS201946,CORPO VIGILI GIURATI - S.P.A.
AS201947,HWG Sababa srl
AS202017,ASM VIGEVANO E LOMELLINA SPA
AS202074,Link Telecomunicazioni SRL
AS202094,FINDER SpA
AS202095,RCS MediaGroup S.p.a.
AS202098,ENEL S.p.A
AS202132,Sysman Progetti & Servizi srl
AS202146,A.R.C. Rete 101 S.r.l.
AS202152,Mediacare Spa
AS202193,FreeCom S.r.l.
AS202339,SINET SRL
AS202346,"Executive Service S.R.L., Societa Benefit"
AS202347,Europsys S.p.A.
AS202371,ZAL Network S.r.l.
AS202382,HYTEL S.R.L.
AS202460,webfi srl
AS202485,Mathias Giovanni Spadaro trading as NubiSystem
AS202500,"Cassa Depositi e Prestiti, S.P.A."
AS202507,BARBIERI PASQUALE & C. trading as GROUPMEDIA SAS
AS202514,KME srl
AS202523,Nehos S.R.L.
AS202552,PROTEC di Rinaldo Silvano & C. Snc
AS202613,Aruba S.p.A.
AS202617,Kering Eyewear S.p.A.
AS202675,Keliweb S.R.L
AS202704,Digitalia ICT srl
AS202709,NetoIP.com srl
AS202761,Linguanti Claudia trading as Micro Servizi
AS202803,MVA S.r.l.
AS202870,Dimensione S.r.l.
AS202889,ST WI-net Srl
AS202896,NIBBLE S.R.L.
AS202950,Telecom Italia S.p.A.
AS202975,Teknonet s.r.l.
AS203059,Consorzio Energetico Val Venosta Soc. Coop.
AS203073,G.T. SRL
AS203089,Link Space SRL
AS203150,E.G. Servizi Industriali Srl
AS203180,NEWMEDIAWEB S.R.L.
AS203201,INFRASTRUCTURE ITALIA COLO S.R.L.
AS203223,Unica Telecomunicazioni s.r.l.
AS203294,Copernico s.r.l.
AS203336,VALUE TRANSFORMATION SERVICES S.P.A.
AS203367,SAILWEB SRL
AS203419,SONICATEL S.R.L.
AS203462,NOVACONN SRL
AS203469,Puntozero S.c.a.r.l.
AS203485,Noinet Societa Cooperativa
AS203489,WiMore S.r.l.
AS203525,ASM Terni SpA
AS203528,Fabrizzio Jose Petrucci
AS203540,Witel Srl
AS203591,TECNO GENERAL S.R.L
AS203594,Numia S.p.A.
AS203601,VALUE TRANSFORMATION SERVICES S.P.A.
AS203612,IDS & UNITELM SRL
AS203672,Telefonica Servizi srl
AS203713,Sicilcom Societa' Cooperativa
AS203726,Wirlab srl
AS203847,Marconi Solutions Srls
AS203848,Wireless Group Communications S.r.l.
AS204085,Adam Grazioli
AS204096,Manutenzione ed Assistenza Computers S.r.l.
AS204107,Norma S.r.l.
AS204118,Centro Agroalimentare Roma C.A.R. S.c.p.A.
AS204121,ADAL NETWORK SRL
AS204158,ASTRA ELETTRONICA S.R.L.
AS204176,FIREWALL DI ONORATO GIOVANNI MARIA
AS204180,INNET SRL
AS204235,Nicolo Invernizzi
AS204280,SIELTE S.P.A.
AS204309,C. Company S.r.l.
AS204326,GATE T1 SRL
AS204358,OPEN Dot Com S.p.a.
AS204366,MU NETWORK SRL
AS204379,"INNOVIA, SICUREZZA, INFORMATICA E TELECOMUNICAZIONI SRL"
AS204386,NABIRI S.R.L.
AS204389,ReteStar s.r.l.
AS204431,OPEN SOLUTION S.R.L.
AS204471,2S Computers SRL
AS204482,Epiclink SRL
AS204504,Coding SRL
AS204508,Gatterer Manuel trading as MLGT
AS204545,LEO TELECOMUNICAZIONI SRL
AS204546,Comune di Padova
AS204578,Aerius Network SRL
AS204593,OVS Spa
AS204605,S.A.C.B.O. s.p.a
AS204611,Giuseppe Augiero
AS204614,CHIESI Farmaceutici SpA
AS204622,Nebula Fiber s.r.l.
AS204651,Sorint Lab Spa
AS204664,DBLC S.r.l.
AS204689,Jakala S.P.A. S.B.
AS204694,ISCHIA TELECOMUNICAZIONI S.R.L.
AS204739,GOOD SERVICE S.R.L
AS204760,MOMIT SRL
AS204761,Prysmian S.p.A.
AS204795,Marco Accardo
AS204809,Telecomunicazioni e Impianti Srls
AS204903,FLASHSTART GROUP SRL
AS204923,WISPI SRL
AS204926,Fabio Zaffaroni trading as A.F. Network S.n.c. di Fabio Zaffaroni e Alberto Puppi
AS204940,ACQUIRENTE UNICO SPA
AS204947,SPEED-NET S.R.L
AS204958,KT Solutions S.r.l.s
AS205005,Micso Information Technology Srl
AS205032,Smartline srls
AS205051,Connetta Srl
AS205099,DOLOMITES NETWORK S.R.L.
AS205139,Lepida S.c.p.A.
AS205195,EFSA - European Food Safety Authority
AS205219,WISP.ONE S.R.L.
AS205260,Wolnet SRL
AS205274,Ivan Milivinti trading as Teckman
AS205276,Sicula System Srl
AS205284,AirLink Srls
AS205330,Ari@net SRL
AS205350,CLT GROUP S.R.L.
AS205358,NEOFIBER SRLS
AS205385,SPEEDNETWEB S.R.L.
AS205451,UNITED NATIONS SYSTEM STAFF COLLEGE (UNSSC)
AS205493,TRASNA CELLULAR S.P.A.
AS205498,Farecom S.R.L.
AS205525,YottaNet Srl
AS205636,NewniX S.r.l.
AS205704,Amap SPA
AS205716,Applico Digital Lab S.r.l.
AS205727,Aruba S.p.A.
AS205729,AGSM AIM S.p.A.
AS205732,A.M.1 S.r.l.
AS20580,Telecom Italia S.p.A.
AS205891,WeNetwork SRL
AS205925,Italiana Petroli SpA
AS205926,AUXILIUM S.R.L.
AS205985,Halley Informatica srl
AS206004,Dolomitinet srl
AS206022,Airnetwork S.R.L
AS206035,ITALGAS RETI SPA
AS206103,PROGETTO ARCHIVIO S.R.L.
AS206135,Nethive SpA
AS206173,SIOPLUS S.R.L.
AS206182,Global Com Basilicata s.r.l.
AS206191,REGISTER S.P.A.
AS206205,LOGICA S.R.L.
AS206207,"Giuliano Claudio Peritore trading as ""Panservice s.a.s. di Cuseo Fabrizio & C."""
AS206222,2000net srl
AS206227,Deepstone S.R.L
AS206267,Seek & Partners Spa
AS206299,Nada Sinopoli trading as Valcom Calabria
AS206302,Xanten S.R.L.
AS206343,Miano Carmelo Salvatore trading as ASSO PC TECH
AS206355,Speednet srl
AS206380,SILTEL TELECOMUNICAZIONI SRL
AS206459,Texa S.p.A.
AS206460,SIM INFORMATICA SRL
AS206476,Neten S.p.A.
AS206498,Diginet SRL
AS206539,HelloTel Telecomunicazioni srl
AS20658,Computer Design Srl
AS206588,CIRILLO MATTEO trading as ITALIA NET-COM
AS206598,LEVIAHUB S.P.A.
AS206615,COOPSERVICE S. COOP P.A.
AS206617,Neomedia S.r.l.
AS206655,WI-GO Srl
AS206658,Arya S.r.l.
AS206693,TEAMSYSTEM S.P.A.
AS206701,Power & Telco SRL
AS206732,Lo Conte WiFi s.r.l.
AS206737,MEDIATELCO SRL
