ASN,Name
AS10000,Nagasaki Cable Media Inc.
AS10001,Mics Network Corporation
AS10002,"IGAUENO CABLE TELEVISION CO.,LTD"
AS10003,"Ogaki Cable Television Co.,Inc."
AS10004,Phoenix Communications Inc.
AS10006,"SECOM Trust Systems Co.,Ltd."
AS10010,TOKAI Communications Corporation
AS10011,advanscope inc.
AS10012,"Rakuten Mobile, Inc."
AS10013,"FreeBit Co.,Ltd."
AS10014,Nihon University
AS10015,"Cyber Wave Japan Co., Ltd."
AS10016,Minaminihon Information Processing Center Co Ltd
AS10019,Matsusaka Cable-TV Station Inc.
AS10021,"KVH Co.,Ltd"
AS10026,Telstra Global Internet Services Network Blocks
AS10209,Japan HUB and Data Center
AS131077,Deloitte Tohmatsu Group LLC
AS131079,INTERNET MULTIFEED CO.
AS131156,"LAC Co., Ltd."
AS131158,"Nara Institute of Science and Technology, National University Corporation"
AS131159,Yamagata University
AS131160,"Wire and Wireless Co.,Ltd."
AS131161,NEC Corporation
AS131893,"RICOH Company, Ltd."
AS131894,"UNIADEX, LTD."
AS131895,Okinawa Institute of science and technology
AS131896,SSI Lab Inc.
AS131897,"National University Corporation ,Ehime University"
AS131899,DIG Inc.
AS131900,"Directorz Co.,Ltd."
AS131901,FIDESSA KK
AS131902,"LogicLinks, Inc."
AS131903,"Nomura Research Institute,Ltd."
AS131904,Cyber Feel Inc.
AS131905,"Japan Registry Services Co., Ltd."
AS131907,"Iwami Cablevision Co.,Ltd."
AS131909,"OCC Co., Ltd."
AS131910,SORACOM. INC.
AS131911,"HONJYO CABLE VISION CO., LTD."
AS131912,"Cybozu,Inc."
AS131914,"Rakuten Group, Inc."
AS131915,Hamamatsu Cable Television .Inc
AS131916,"Tokyo Bay Network Co.,Ltd."
AS131917,Toshiba I.S. corp
AS131918,SHONAN CABLE NETWORK
AS131919,Meiji University
AS131921,GMO GlobalSign Holdings K.K.
AS131923,MCAT Ltd.
AS131924,Kansai Airports
AS131925,FAMILY NET JAPAN INCORPORATED
AS131926,"Cable Television Saiki Co. , Ltd."
AS131927,TV Matsumoto Cablevision
AS131928,"Tottori Teletopia Co., Ltd."
AS131929,"Yamanashi CATV Co,. ltd"
AS131930,"Tokyo Broadcasting System Television, Inc."
AS131931,"Aomori Cable TV Co., Ltd."
AS131932,JR East Information Systems Company
AS131933,"TAMA Television Co., Ltd"
AS131934,ICC Corporation
AS131937,Joetsu Cable Vision
AS131938,"NISSAN MOTOR CO.,LTD."
AS131939,IPS INC
AS131940,Nissho Electronics Corp.
AS131941,"Entsu Co.,Ltd."
AS131942,"Gurunavi, Inc."
AS131943,Goto tv
AS131944,KADOKAWA DWANGO CORPORATION
AS131945,Sanntuu Corporation
AS131946,MUSASHINO UNIVERSITY E.F.
AS131948,FORNEXT Inc.
AS131949,General Incorporated Foundation Aso Telework Center
AS131950,EnjoyVC Japan Corporation
AS131951,Suzuyo Shinwart Corporation
AS131952,"Asahikawa Cable Television Co., Ltd."
AS131953,NPO Yutopianet
AS131954,Kawaguchiko cable television Inc
AS131955,Kyoutou Cable Net Co Ltd
AS131957,"MicroAd, Inc."
AS131958,"Tama Cable Network Co.,Ltd."
AS131960,MBO holdings Inc.
AS131961,Dokkyo University
AS131963,"MC Digital Realty, Inc."
AS131964,FAMILYNET JAPAN CORPORATION
AS131965,Xserver Inc.
AS131966,I-NET CORP.
AS131969,Suzuyo Shinwart Corporation
AS131970,Hikarinet Inc.
AS131971,Japan Network Information Center
AS131976,INTERNET MULTIFEED CO.
AS131977,Japan Photo Finish Corporation
AS131981,Takushoku University
AS131982,Uenohara Broadband Communications Inc.
AS131983,suo cablenet corporation
AS131984,JOCDN Inc.
AS131986,ITOCHU Cable Systems Corp.
AS131987,"MC Digital Realty, Inc."
AS131988,"Takehara Cable Network Co,Ltd"
AS131989,PFU LIMITED
AS132119,TECPRESSO Inc.
AS132211,FX Corporate LLC
AS132504,"QUALITIA Co.,Ltd"
AS132827,GATEWAY INC
AS133180,Starbow Ltd.
AS133203,"SBI BITS Co., Ltd."
AS133405,"RETN Co., Ltd."
AS133458,"FPT Smart Cloud Japan Co., Ltd"
AS133476,First Innovation K.K.
AS133782,Elsevier Ltd
AS133900,"Gilead Sciences, Inc."
AS134351,Leaseweb Japan K.K.
AS134827,"EY Japan Co., Ltd."
AS135161,"GMO-Z com NetDesign Holdings Co., Ltd."
AS135372,Columbia Sportswear Japan Inc
AS136178,FIL Japan Holdings K.K.
AS136506,LEON CO.LTD
AS136586,InComm Japan K.K.
AS136779,Schneider Electric Japan Ltd
AS136796,CORELINK JAPAN
AS137008,1120 Shimokuzawa Chuo-ku Sagamihara-shi Kanagawa-ken
AS137445,PF LINK SYSTEMS
AS137508,rainbow network limited
AS137819,Beeks Financial Cloud (Japan)
AS138033,"BBIX, Inc"
AS138181,Hu's Tech LLC
AS138384,"Rakuten Mobile Network, Inc."
AS138652,Super Godzilla Communications GK
AS138968,rainbow network limited
AS138986,INAP Japan Tokyo Shiohama DC
AS139076,EnjoyVC Japan Corporation
AS139255,"U-NEXT Co.,Ltd."
AS139345,Hyve Managed Hosting Corp Inc
AS139358,"Kansuiun Co., Ltd"
AS139468,DC Communications Inc.
AS139472,Catalina Marketing Japan K.K.
AS140501,Itiviti Japan K.K.
AS140868,TakataSDCC Net
AS141694,Ermis Ltd.
AS141757,Zoho Japan Corporation
AS142052,Mempool Space K.K.
AS142165,Bosch Corporation
AS142622,Dream Information Laboratory
AS146969,SB Technology Corp.
AS146972,TOYO Engineering Corporation
AS146974,"Woven by Toyota, Inc."
AS146976,"Kvision Co.,Ltd."
AS146979,University of Nagasaki
AS146980,Tokyo Metropolitan College of Industrial Technology Infomation System Engineering Course
AS146981,Nekojarashi Inc.
AS146982,Shinnyo-en
AS146984,INTERNET MULTIFEED CO.
AS146985,"KISSEI COMTEC Co.,Ltd"
AS146986,SUZUYO SHINWART CORPORATION
AS146987,GMO GlobalSign Holdings K.K.
AS147035,Ching Kuo
