ASN,Name
AS197921,Housing Bank for Trade and Finance PLC.
AS200666,Palestine National Fund
AS201982,Middle East Payment Services Ltd.
AS203357,Emkanat Co for Software Development
AS203931,Applied Science University (ASU)
AS204327,Network International Services Limited Jordan Company LLC
AS204719,Capital Bank of Jordan (Limited public shareholding)
AS206060,Bank al Etihad Ltd
AS206553,Hikma Pharmaceuticals LLC
AS206608,Islamic International Arab Bank PLC
AS207332,Airport International Group
AS208148,Jordanian Experts for Information Security LLC
AS208212,Smart Platform for Programming and Education LLC trading as 'Virtual Data IT'
AS208336,BANK OF JORDAN CO. LTD.
AS209029,Specialized Technical Services (STS) Co.Ltd
AS209560,Capital Bank of Jordan (Limited public shareholding)
AS210084,Jordan Commercial Bank
AS210432,Al Mousanada Lckhadamat Al Isnad Wa Marakez Al Itisal Co LPS
AS210844,Credit Card Service Company LPS
AS21088,Network Exchange Technology Co. Ltd.
AS211260,"""Petra for education"" Limited Public Shareholding"
AS211826,Istqrar for Servers Services Ltd
AS211842,Cairo Amman Bank PLC
AS212042,Istqrar for Servers Services Ltd
AS212507,Royal Hashemite Court
AS214244,Arab Jordan investment bank PLC
AS215270,Madfoo3atkom for electronic payment co PJSL
AS28730,Broadband Communications LPS
AS33831,Royal Hashemite Court
AS35282,"ARAMEX International Ltd., GSO"
AS35656,Jordanian Universities Network L.L.C.
AS38968,Abu-Ghazaleh Intellectual Property Ltd.
AS39526,Mohammad Ali Obeidat
AS396076,Jordan Petroleum Refinery PLC
AS42912,Al mouakhah lil khadamat al logesteih wa al itisalat
AS44702,JORDANIAN EUROPEAN INTERNET SERVICES CO LLC
AS47887,AL-HADATHEH LIL-ITISALAT WA AL-TECHNOLOGIA CO.
AS48701,Cairo Amman Bank PLC
AS48832,Jordanian mobile phone services Ltd
AS50670,VTEL HOLDINGS LIMITED/JORDAN CO.
AS51958,The Royal Jordanian Airlines PLC
AS59451,Al-Bank Al-Arabi PLC. CO.
AS60302,AL-BANK AL-AHLI AL-URDONI PLC
AS60838,Jordan Islamic Bank Plc. Co.
AS8376,Jordan Data Communications Company LLC
AS8697,Jordan Telecommunications PSC
AS8934,National Information Technology Center
AS9038,Al Bahrainia al Urdunia Liltaknia Wa Alitisalat Plc. Co
