ASN,Name
AS15549,National Information Technologies Joint-Stock Company
AS15736,"""Mobile Business Solutions"" MBS LLP"
AS197079,Digital System Servis
AS197487,JSC Microfinance Organization KMF
AS197556,Kar-Tel LLC
AS197686,JSC Kazteleport - subsidiary of Halyk Bank of Kazakhstan
AS197968,Comfortel Ltd.
AS198084,Orbicom LLP
AS198138,RIPE NCC ASN block
AS198483,CloudTek TOO
AS198803,Alonstelefonstroy LLP
AS199037,Pavel Mikhailovin
AS200067,JSC Freedom Finance
AS200218,Tvoy Novy Telecom LLP
AS200349,Bereke Bank JSC
AS200431,Inno Group LLP
AS200532,"LLP ""Kompaniya Hoster.KZ"""
AS200590,NLS Kazakhstan LLC
AS200688,Gologramma LLP
AS200730,ISAEV Igor
AS200962,LLC Citicom Systems
AS201153,KONNEKTEAM LLP
AS201179,Teraline Telecom LLP
AS201242,Zagorodnikov Aleksei
AS201817,VK Tech Kazakhstan LLP
AS201993,Tilda Publishing Kaz LLC
AS202293,D-Cloud LLC
AS202461,NAT Kazakhstan JSC
AS202527,Aktau Spec Montazh TOO
AS202831,Ablaykhan Akylbekovich Sharimov
AS202958,"LLP ""Kompaniya Hoster.KZ"""
AS202995,Zhetisu-M-Telecom LLP
AS203044,Telepatiya Ltd
AS203087,PE Fedinyak Sergey Vyacheslavovich
AS203167,FOODMASTER-TRADE COMPANY LLP
AS203481,AstanaMegatel Ltd.
AS203530,7sat LLP
AS203534,Erik Omarov
AS203886,TOO Davion
AS204427,"Timeweb, LLP"
AS204514,Eurasia Insurance JSC
AS204706,JSC Kolesa
AS205231,"LLP ""Kompaniya Hoster.KZ"""
AS205431,HostLab LLC
AS205516,NLS ASTANA LLP
AS205559,Cloud Master LLP
AS205667,JSC Narxoz University
AS20578,JSC Kazteleradio
AS206026,Kar-Tel LLC
AS206329,Pro Data Tech (Pro Data Tech) LLP
AS206528,LLP Kaztehnosvyaz
AS206768,Association of IT Companies of Kazakhstan
AS207304,Y. Izdeu men Jarnama LLP
AS207333,"LLP ""Kompaniya Hoster.KZ"""
AS207383,AbziCom LLP
AS207446,JSC Kazteleport - subsidiary of Halyk Bank of Kazakhstan
AS207507,"Non-profit joint-stock company ""Karaganda technical University"""
AS207966,"AO ""State Technical Service"""
AS208077,COMPASTELECOM LLP
AS208167,PRK Fermata
AS208295,LLP Aitu - Payment solutions
AS208356,Smart Cities Limited Liability Partnership
AS208448,TTK LLP
AS208450,Megahost Kazakhstan TOO
AS208602,Solidcore Eurasia LLP
AS208664,JSC Eurasian Bank
AS208795,"""Cloud Services Kazakhstan"" LLP"
AS208946,Sirius-2014 LLC
AS209120,Bank Freedom Finance Kazakhstan JSC
AS209416,"""Kazzinc"" LLP"
AS209702,SOLDATOV ALEXEY VALEREVICH
AS209851,Hyper Cloud Solutions LLP
AS210006,Shereverov Marat Ahmedovich
AS210195,AST Group Capital TOO
AS210273,Montazh Stroj Servis TOO
AS210435,STELS Networks LLP
AS210459,First Credit Bureau LLP
AS210512,IT-Comm LLP
AS210663,Nomapay LLP
AS210686,JanaNet LLP
AS210976,"Timeweb, LLP"
AS211028,Spetsavtomatikaservice LLP
AS211160,Dalsvyaz Ltd.
AS211553,BI Innovations LLC
AS211644,QazCloud LLP
AS211806,JSC Altyn Bank (SB of China Citic Bank Corporation Ltd)
AS211971,Goodhost.KZ LLP
AS212013,TOO Telco Construction
AS212086,Bazovaya Set LLP
AS212189,IT-GRAD TOO
AS212314,toCloud LLP
AS212735,Islamic Bank Zaman-Bank JSC
AS21282,KazNIC Organization
AS212835,Shesternin Vladimir Anatolievich
AS212940,TOO Connect-S
AS21299,Kar-Tel LLC
AS212999,TOO Kainar-Media
AS213048,Air Astana JSC
AS213114,Zamolotskikh Kirill Alexandrovich
AS213127,STATE CREDIT BUREAU JSC
AS213146,JSC First Heartland Jysan Bank
AS213217,"""DC P10"" LLP"
AS213662,TOO Oblachnye Resheniya
AS213841,Network Telecom Systems LLP
AS214200,FastLine LLP
AS214461,Cloudpard LLC
AS214500,CLOUD PLATFORM LLP
AS214706,KazTransNet LLP
AS214748,LanCloud TOO
AS214750,"JSC ""Home Credit Bank"""
AS214789,Nova Cloud LLP
AS214830,TOO Zebra Telecom
AS215040,National Bank of the Republic of Kazakhstan
AS215094,Kazakhstan Stock Exchange JSC
AS215360,Lifestream Kazakhstan LLP
AS215670,LLP Internet company First Page
AS215802,i-LinkNet LLP
AS215947,Qosyl.kz LLP
AS216136,Sportmaster Kazakhstan LLP
AS216202,Subsidiary VTB Bank JSC Kazakhstan
AS216384,K-TELCO LLP
AS216473,Bashinskii Vadim Ruslanovich
AS25349,Academset Ltd
AS25534,10G.KZ LLC
AS25548,SCS - Telecom LLP
AS29046,Radiobaylanys LLP
AS29355,Kcell JSC
AS29555,Mobile Telecom-Service LLP
AS31253,Jusan Mobile JSC
AS31465,PS Internet Company LLP
AS31525,Satti Telecom LLC
AS33878,JSC First Heartland Jysan Bank
AS35104,Jusan Mobile JSC
AS35168,TNS-Plus LLP
AS35566,Kar-Tel LLC
AS35673,JSC Kaspi Bank
AS39188,ICON LTD
AS39221,Cloud PBX Solutions TOO
AS39318,PS Internet Company LLP
AS39433,Kazakhstan Halyk Bank JSC
AS39510,Bank RBK JSC
AS39824,JSC Alma Telecommunications
AS41007,CTC ASTANA LTD
AS41124,BTcom Infocommunications Ltd.
AS41284,Limited Liability Company Vostok On-Line
AS41371,BiKaDa TOO
AS41413,Nurbank JSC
AS41419,KazRENA
AS41798,JSC Transtelecom
AS41800,Tropynin Oleg
AS42447,EQU Technologies LLP
AS42770,Kar-Tel LLC
AS43215,Business & Technology Services LLP
AS43370,"OBIT-telecommunications, LLC"
AS43601,JSC BankCenterCredit
AS43606,Freedom Data Centers LLP
AS43873,Bazovaya Set LLP
AS43934,Republic Governmental Enterprise Kazakhstan Interbank Settlement Centre of National Bank of Kazakhst
AS43994,SMARTNET TOO
AS43999,Association Internet Traffic Exchange Centre
AS44173,National Innovation Center LLC
AS44653,JSC People's Savings Bank Kazakhstan
AS44877,RETN KZ Ltd
AS48007,National Information Technologies Joint-Stock Company
AS48450,Buzachi Operating Ltd.
AS48502,ForteBank JSC.
AS48503,Mobile Telecom-Service LLP
AS48716,PS Internet Company LLP
AS48988,Modern Server Solutions LLP
AS49089,Otbasy Bank JSC
AS49393,Solutions Factory Ltd.
AS50107,Vista Technology LLP
AS50386,"KOMBINAT SVYAZI, TOO"
AS50482,JSC Kazakhtelecom
AS50756,Mikrofinansovaya organizaciya Robocash.kz LLP
AS51162,JSC Kazteleport - subsidiary of Halyk Bank of Kazakhstan
AS51192,TOO Platinum Telecom
AS51340,Transport Holding of Almaty City LLP
AS51833,Association of IT Companies of Kazakhstan
AS51878,"TOO ""IK-Broker"""
AS51979,AKSYCOM LTD
AS51997,LLP Asket
AS56447,Kong Lok Consultant Limited
AS56568,X-COMMUNICATION LLP
AS57008,ITGLOBAL.COM KZ LLP
AS57013,Eurasia-Star LLP
AS57466,Eurasian Trade System Commodity Exchange OJSC
AS57784,TelService LTD LLP
AS57826,Svyaz-INKOM-Servis i telekommunikatsii Ltd.
AS58033,TOO Internet Resheniya
AS58172,Freedom Data Centers LLP
AS58289,Kazakhstan Network Communication LLP
AS59443,Baynur and P Ltd.
AS59583,Network Kazakhstan LLC
AS59937,Bonami LLP
AS60186,Eurasian Development Bank
AS60286,Agency-KA Ltd.
AS60411,Network Kazakhstan LLC
AS60708,KazNIC Organization
AS60757,Optinet LLP
AS60930,Signal Telecom LLP
AS61185,10G.KZ LLC
AS61367,"TOO ""B-TEL"""
AS61392,"TOO ""K-net"""
AS62062,Open Media Group LLC
AS62394,Technodom Operator JSC
AS8200,Uplink LLC
AS8393,"""ASTEL"" JSC"
AS8430,Irina Gaida
AS8720,Aspan telecom
AS9198,JSC Kazakhtelecom
