ASN,Name
AS12455,Kenyan Post & Telecommunications Company / Telkom Kenya Ltd
AS12556,Internet Solutions (Kenya)
AS15399,Wananchi Group (Kenya) Limited
AS15808,ACCESSKENYA GROUP LTD is an ISP serving
AS16907,Wananchi Group (Kenya) Limited
AS203905,GEWAPE CLOUD (K) LIMITED
AS207113,Cyrus Mbitao trading as Wofbit Networks
AS30896,Afsat Communications Ltd
AS327689,WebRunner Limited
AS327713,Equity Bank Ltd
AS327748,Co-operative Bank of Kenya
AS327753,SBM BANK (KENYA) LIMITED
AS327766,TECH PITCH LTD
AS327884,I&M Bank Limited
AS327906,Embarq Limited
AS327927,LABOREX KENYA LTD
AS327945,International Livestock Research Institute
AS327963,Geonet Communications Ltd
AS327972,Mawingu Networks Ltd
AS327977,Family Bank Ltd
AS327994,Britam Holdings Limited
AS328087,Unga Holdings Limited
AS328089,Kenya Revenue Authority
AS328090,Gulf African Bank
AS328093,Kenya Commercial Bank Limited
AS328103,BRADLEY LIMITED
AS328132,Bank Of Africa Kenya Limited
AS328142,Eclectics International Ltd
AS328162,Icolo Ltd
AS328192,Kenya Post Office Savings Bank
AS328201,Elige Communications Limited
AS328225,Strathmore University
AS328271,Syokinet Solutions Limited
AS328296,Atlancis Technologies Limited
AS328301,MESSAGE LABS AFRICA LTD
AS328302,Cloud One Ltd
AS328331,POA INTERNET KENYA LIMITED
AS328354,CABLE ONE LIMITED
AS328380,PRIME BANK LIMITED
AS328392,Unaitas Savings and Credit Co-operative Society Limited
AS328465,INTEGRATED PAYMENT SERVICES LIMITED
AS328466,The International School of Kenya Limited
AS328475,AFRIQ NETWORK SOLUTIONS LIMITED
AS328477,African Banking Corporation Limited
AS328479,BULSHO FIBER LINK LIMITED
AS328482,SKY TREND NETWORKS LIMITED
AS328490,Unwired Communications Limited
AS328578,KEMNET TECHNOLOGIES LIMITED
AS328592,Central Bank of kenya
AS328606,Iristel Kenya Limited
AS328636,Jambo telecoms limited
AS328637,Travelport Services (Kenya) Limited
AS328652,Hirani Telecommunication ltd
AS328705,Victoria Commercial Bank Limited
AS328724,ISAT AFRICA KENYA LTD
AS328734,Blue Streak Horizons Net Limited
AS328739,KENYA PORTS AUTHORITY
