ASN,Name
AS10034,SEOUL AGRICULTURAL   MARINE PRODUCTS CORP.
AS10035,"Hyundai Department Store Co., Ltd."
AS10036,DLIVE
AS10037,"EUGENE INVESTMENT FUTURES Co.,Ltd."
AS10038,NHNCLOUD
AS10039,Korea Health Industry Development Institute
AS10040,"NICE Information   Telecommunication, Inc"
AS10042,SUSEONG COLLEGE
AS10043,Ministry of Science and ICT
AS10044,Rural Development Administration (RDA)
AS10045,Hanbat National University
AS10046,HOWON UNIVERSITY
AS10049,"SK Co.,"
AS10050,The National Library of Korea
AS10051,Korea Post Information Center
AS10052,Kyungpook National University
AS10053,yeonsung University
AS10054,CMB Kwangju Broadcasting
AS10055,Korean National Railroad Administration
AS10056,Hyundai Marin   Fire Insurance
AS10058,NACUFOK
AS10059,LG DACOM KIDC
AS10060,YONSEI UNIVERSITY HEALTH SYSTEM
AS10062,Branksome Hall Asia
AS10063,Korea Meteorological Administration
AS10065,NICE TCM
AS10066,LG HelloVision Corp.
AS10069,Seoul Metro
AS10070,KRISS SubDAEJONnetworks connected to backbone
AS10071,anyang University
AS10072,Shinhan Bank
AS10073,Korea National Open University
AS10088,KWANGWOON UNIVERSITY
AS10155,KOSME
AS10156,Seoul National University of Education
AS10157,NHN Bugs
AS10158,Kakao Corp
AS10159,Korea Aerospace University
AS10160,KDDI KOREA
AS10161,QIA
AS10162,SNUH
AS10164,SK Broadband Co Ltd
AS10165,KOREA CUSTOMS SERVICE
AS10166,Korea Water Resources Corporation
AS10167,HANVIT BANK
AS10168,Standard Chartered
AS10170,The Bank of Korea
AS10171,SKTelink
AS10172,KYOBO BOOK CENTER
AS10173,KSNET.Inc
AS10174,Munhwa Broadcasting Corporation
AS10175,Kumho Cable
AS10176,Daejon Metropolitan Office of Education
AS10177,"FUBON HYUNDAI LIFE INSURANCE CO.,LTD"
AS10178,Kakaopay Corp
AS10179,Daehan Investment Trust Securities
AS10180,Duksung Womens University
AS10181,Korea Register of Shipping
AS10183,Korea Culture Information Service Agency
AS10184,Korean Federation of Community Credit Cooperatives
AS10185,Hana Bank Co.
AS10186,Korean Red Cross
AS10187,Korea Information Society Developement Institute
AS10188,Songdo Chadwick international School
AS10189,Hyundai Movex
AS10190,Joongbu University
AS10191,SEEGENE MEDICAL FOUNDATION
AS10192,"kiwoom Securities.co.,Ltd"
AS10193,BUSANBANK
AS10194,"Doosan Enerbility co., LTD."
AS10195,HAIonNet
AS10196,KOOKMIN BANK
AS10197,Chonnam National University
AS10198,Catholic University of Pusan
AS1237,KISTI
AS131093,viva republica
AS131094,HYUNDAI MOTOR CO
AS131095,HanwhalifeFinancialService
AS131096,Master Motors Management
AS131097,KEAD
AS131098,Korea Internet Security Agency
AS131099,Korea Internet Security Agency
AS131100,Korea Internet Security Agency
AS131101,BNK SYSTEM
AS131791,Korea Asset Pricing
AS131792,"The Daegu Bank, Ltd"
AS131794,"KYOBO AXA INVESTMENT MANAGERS Co., Ltd."
AS131795,KOREA INSTITUTE OF ENERGY RESEARCH
AS131798,"Sangsang Networks Co., Ltd."
AS131799,korea workers compensation welfare service
AS131802,NongHyup Life Insurance
AS131804,Seoul Regional Correction Headquarters
AS131805,NHSAVINGSBANK
AS131808,KOREA WESTERN POWER
AS131809,Korea Credit Information Services
AS131810,KOOKMIN BANK
