ASN,Name
AS16060,Kuwait Ministry of Finance
AS196659,NATIONAL BANK OF KUWAIT S.A.K.P
AS196921,Wireless Mobile Data Company KSCC
AS197456,Ministry Of Communication
AS198019,Warba Bank (KSC)
AS198392,Petrochemical Industries Co. /Shareholding Public
AS199526,Mohammed Hamoud Alshaya Co. W.L.L
AS199616,PWC Technology for Computers Co. WLL
AS199729,Ministry of Education
AS199869,Diyar United Trading & Contracting Company LLC / Mohammed Marouf & Co.
AS201378,Zajil International Telecom Company KSCC
AS201756,American University of Middle East
AS202414,Communications and Information Technology Regulatory Authority
AS203147,Ministry Of Interior - Kuwait
AS204367,Commercial Bank of kuwait
AS204638,Gulf Insurance and Reinsurance Company Shareholding Closed
AS205554,Kuwait Airways KSC
AS205780,EQUATE PETROCHEMICAL COMPANY K.S.C.C.
AS206879,Ministry of Electricity and Water
AS208233,Al Ahli Bank of Kuwait K.S.C.P
AS208710,Ministry of Foreign Affairs
AS208899,Kuwait Integrated Petroleum Industries Company (KIPIC) C.S.C
AS209068,Bukhamseen Group Holding Co
AS210245,Kuwait National Guard
AS210270,Yousef Ahmed Alghanim & Sons LTD
AS21050,Fast Communication Company Ltd
AS211372,Quality Net General Trading & Contracting Company
AS211394,Kuwait Credit Bank - KCB
AS213397,AL MULLA GROUP HOLDING CO. KSCC
AS213749,Burgan Bank K.P.S.C
AS215053,Diwan of H.H. the Crown Prince
AS215713,"United Education Company, CJSC"
AS24627,GULFSATCOMMUNICATIONS COMPANY K.S.C.
AS25122,GULFSATCOMMUNICATIONS COMPANY K.S.C.
AS25242,KUWAIT UNIVERSITY
AS25370,Zajil International Telecom Company KSCC
AS29029,Kuwait National Petroleum Company
AS29237,Kuwait Foreign Petroleum Exploration Co. K.S.C.C.
AS29357,Ooredoo Kuwait
AS3225,GULFNET COMMUNICATIONS CO. WLL
AS35181,Agility Public Warehousing Company K.S.C.P.
AS39504,KEO International Consultants
AS39682,Kuwait and Middle-East Financial Investment Co.
AS41576,KFIC invest Company KSC
AS41669,Kalaam Telecom Kuwait Closed Joint Stock Company
AS41890,Public Authority for Civil Information
AS42606,"Al-Jarida Company for Press, Publishing and Distribution LLC"
AS42642,Gulf Investment Corporation
AS42781,Zajil International Telecom Company KSCC
AS42961,Mobile Telecommunications Company K.S.C.P.
AS43080,Kuwait Oil Company (K.S.C.)
AS43158,Kuwait Industrial Bank KSC
AS43184,National Investment Company KSC Closed
AS43216,Zajil International Telecom Company KSCC
AS43852,Fast Communication Company Ltd
AS47442,Mada Communications CJSC
AS47589,Kuwait Telecommunications Company K.S.C.C.
AS49104,Boursa Kuwait Stock Exchange
AS49205,Kuwait Petroleum Corporation
AS50475,Point of Trade Co. General Trading LLC
AS50774,NCM Investment Company KSCC
AS51914,Kuwait Investment Authority
AS52081,The Commercial Real Estate Co. K.S.C.C
AS56680,The Shared Electronic Banking Services Company (Knet) LLC
AS56753,Zakat-House
AS57278,Global Investment House K.S.C.C
AS57714,Gulf Bank Public Shareholding
AS57719,Kuwait Oil Tanker Company S.A.K.
AS60661,Kuwait Awqaf Public Foundation
AS60992,Kuwait Gulf Oil Company
AS61089,Kuwait Finance House KSCP
AS6412,Zajil International Telecom Company
AS9155,Quality Net General Trading & Contracting Company
