ASN,Name
AS12764,AKNET Ltd.
AS12997,OJSC Kyrgyztelecom
AS197119,KRENA - Kyrgyz research and education network association
AS198629,Elmoney LLC
AS199011,CSI CJSC
AS201591,Aiyl Bank JSC
AS202773,BM Technologies Ltd.
AS204416,Lukashkin Evgenii
AS204532,Kompanion Bank CJSC
AS204674,CJSC Bank of Asia
AS205204,NT Lab Ltd
AS206351,Institution American University of Central Asia
AS207192,Anfeya LLC
AS207250,The National Bank of the Kyrgyz Republic
AS207369,"Skynet Telecom, LLC"
AS209918,Pay 24 Ltd.
AS212409,BAKAI BANK Open Joint Stock Company
AS213173,NSP LLC
AS215326,O! Bank OJSC
AS215490,"Microcredit Company ""M Bulak"" LLC"
AS216007,Ahead Co LLC
AS216287,BAKAI BANK Open Joint Stock Company
AS216358,KSB CB CJSC
AS25035,Transfer Ltd
AS29061,CJSC SAIMA TELECOM
AS39036,SHORO CJSC
AS39214,Kyrgys Russian Slavic University named after First President of Russia B.N. Yeltsin
AS39659,"State institution ""Kyzmat"" under the Office of the President of the Kyrgyz Republic"
AS39819,Optima Telecom Ltd.
AS41271,Eldik Bank OJSC
AS41329,"""Sky Mobile"" LLC"
AS41409,Interbank Processing centre CJSC
AS41750,Mega-Line Ltd.
AS42581,Inform Communications Ltd.
AS42837,Extra Line LLC
AS43680,CJSC Finca Bank
AS44343,Optima Bank OJSC
AS44359,Kyrgyzkommertsbank OJSC
AS44536,"OJSC ""Dos-Credobank"""
AS44836,"Institution ""State Tax Service under the Cabinet of Ministers of the Kyrgyz Republic"""
AS45001,Mbank OJSC
AS47237,NUR Telecom LLC
AS48271,"CJSC ""TELECOMMUNICATIONS COMPANY ""DUN"""
AS50053,Anton Levin
AS50223,Alfa Telecom CJSC
AS50251,NUR Telecom LLC
AS51787,Gallery LLC
AS51898,Ak Bulut Soft LLC
AS56464,OJSC BANK BAI-TUSHUM
AS56988,Regional payment sistems LLC.
AS59430,Kyrgyz Investment and Credit Bank CJSC
AS59684,"Hoster kg, Ltd."
AS60515,"OJSC ""Keremet Bank"""
AS61010,IPNET OOO
AS61196,Demir Kyrgyz International Bank CJSC
AS61399,KG-IX LLC
AS8449,"""ElCat"" Ltd."
AS8511,ASIAINFO TE
