ASN,Name
AS10104,BV K Computer
AS10226,ETL Company Limited
AS131267,Star Telecom
AS131297,"Lao-Viet Bank, CO.,LTD"
AS132513,Sky Telecom State Company
AS133500,"Lao Gateway Co., Ltd"
AS134989,"Kongtavanh Keodouangsinh t/a LAO NET COMMUNICATION SOLE CO., LTD"
AS135059,"Lao Asia Pacific Satellite Co., Ltd."
AS136486,"Datacom Sole Co., Ltd"
AS136748,"Etern Laos Communication Technology Sole Co .,Ltd"
AS137838,"CHALERNSUB PROFESSIONAL NETWORK CO.,LTD."
AS137905,Mangkone Technology Co. Ltd.
AS138668,Department of Digital Technology
AS138934,"SLT Network Co.,LTD"
AS139011,Banque pour le Commerce Exterieur Lao Public
AS140631,Global Digital Management Solutions Co Ltd
AS140635,"3C Link Technology Sole Co., Ltd."
AS150716,AP Network Communication
AS151953,Electricite Du Laos
AS153347,"Lao Communication Technology Sole Co., Ltd"
AS153526,01-00027433
AS153966,Joint Development Bank
AS17804,Lao Data Center (LaoDC)
AS18385,"Laos Mobile Communications Sole Co., Ltd"
AS23900,"Planet Online Laos, Internet Service Provider in LAO PDR"
AS24337,"Skytelecom , Transit provider and ISP in Vientiene."
AS45906,LERNET at LAOs
AS55508,Lao National Internet Center (LANIC)
AS9873,"Lao Telecom Communication, LTC"
