ASN,Name
AS12443,Finance Department of Riga State City Municipality
AS12509,LATVIJAS BANKA
AS12525,INTERNET Ltd.
AS12578,SIA Tet
AS12847,Latvijas Mobilais Telefons SIA
AS12965,"AS ""SEB banka"""
AS12993,Sabiedriba ar ierobezotu atbildibu DELSKA Latvia
AS13070,SIA Electronic Solutions
AS13242,Latvijas Biozinatnu un tehnologiju universitaete
AS13244,Rietumu banka AS
AS15392,Elvim SIA
AS15483,"SIA ""NESS"""
AS15684,OPTICOM SIA
AS15721,C.T.CO. Ltd.
AS15818,GASO AS
AS15827,"SIA ""Biznesa augstskola Turiba"""
AS15899,ERNIS SIA
AS16062,"Latvijas tikli, SIA"
AS16279,"AS ""Citadele banka"""
AS196948,Ventspils Augstskola
AS197325,SIA Immobilarium
AS197411,Aleksejs Trufans
AS197446,SIA Vitol Terminal Latvia
AS197466,SIA 3ENITH
AS197616,Optrix SIA
AS197870,"S.I.A.""IBANPAY"""
AS198285,SIA Datakom
AS198343,Telenet SIA
AS198620,Bralu Jurjanu biedriba
AS198924,Sugailo Raitis
AS199029,World Registry of Internet Domains LTD
AS199031,SIA Amberbit
AS199034,"SIA ""Baltic project group"""
AS199103,SIA Maklaut
AS199277,Maksims Doronkins
AS199300,The State Agency of Medicines of Latvia
AS199529,Vitalijs Jurkevics
AS199558,MEDIA PARTNERS SIA
AS199577,Digimoney-SIA
AS199663,Valsts Kase
AS200676,Svens Jansons
AS201269,Ivans Lavrentjevs
AS201315,SIA BFA
AS201504,Alberts Saulitis
AS201547,National Library of Latvia
AS201574,LATVIJAS LOTO VAS
AS201673,"""Verifone Baltic"" SIA"
AS201716,RIPE NCC ASN block
AS201861,Aleksejs Pinajevs
AS201897,Freeport of Riga Authority
AS202071,xDaemon SIA
AS202221,Lailio Solutions SIA
AS202280,NBI SIA
AS202555,SIA Tamro
AS202589,TestDevLab-SIA
AS202863,OPTIBET LTD
AS202920,SIA RixHost
AS203142,SIA GOOD
AS203199,UNUM SIA
AS203339,SIA Network Operations Center
AS203355,Balcia Insurance SE
AS203557,SIA RixHost
AS203866,Versija SIA
AS204130,"DLV, sia"
AS204380,SIA Starbridge
AS204391,NBI SIA
AS205045,NBI SIA
AS20509,Elko Grupa as
AS205370,Telenet SIA
AS20548,Latvijas Republikas Saeima
AS205568,NBI SIA
