ASN,Name
AS12590,THE DOT SPOT NET SARL
AS12812,AMERICAN UNIVERSITY of BEIRUT
AS13044,Aoun.net s.a.r.l
AS15511,iconnect sarl
AS15739,Berytech SCAL
AS198065,CSCBank SAL
AS198867,Computel SAL
AS199239,Khodor Kanso trading as Access Lebanon
AS199643,Lebanese American University
AS201107,GIACOM S.A.R.L
AS201120,Chadi Kannir trading as Lebex First International Trading
AS201544,Cimenterie Nationale SAL
AS202772,AXA Middle East SAL
AS202987,Fiber Networks Services S.A.R.L
AS203586,Holy Spirit University of Kaslik
AS203615,DATA CONSULT SAL
AS203637,BSL BANK SAL
AS203827,Professional Network Corporation
AS204122,American Community School
AS204352,FAST MEGA NETWORKS SARL
AS204356,HI SPEED NET WORK S.A.R.L
AS204429,Smart City SARL
AS204565,RobioNet S.A.R.L
AS204566,Web Lite S.A.L
AS205015,Northern Telecom SARL
AS205348,Lebanese Swiss Bank s.a.l
AS205410,Antoine Melhem trading as LIBAN-COM
AS205423,CONNEXIONS SAL-HOLDING
AS205578,Directorate General of General Security
AS206169,Societe Generale De Banque Au Liban SAL
AS206197,BLOM BANK S.A.L.
AS206360,Pesco Telecom s.a.l.
AS206406,C BEYOND s.a.l
AS206472,Saint-Joseph University of Beirut
AS206485,SONIC INC SAL
AS206519,ZINA sarl
AS206550,CTC SAL
AS206911,Creditbank S.A.L.
AS207445,Vincent Maroun
AS207493,GE-net sarl
AS208007,Libanpost S.A.L
AS208122,TRACTUM FOR CONTRACTING LLC
AS208326,Capital Outsourcing Consulting Services (Off-shore) SAL
AS208403,TediNet S.A.R.L
AS208669,Safawi Net S.A.L.
AS20874,Information Systems Company
AS208815,Prevision S.A.R.L
AS209354,MA Global Company S.A.R.L.
AS209685,INDEVCO SAL
AS209948,Power Vision ISP S.a.r.l.
AS209969,CSCBank SAL
AS210264,Gega Telecom SAL
AS210292,Data Plus SARL
AS210318,CAPITAL OUTSOURCING SAL
AS212435,High Net ISP S.A.R.L
AS212851,CT VISION Sarl
AS212946,Fiber-X S.A.R.L.
AS213962,Middle East Services LLC
AS214728,Coin.net SAL
AS215868,Atria Solutions SAL
AS24634,Transmog Inc S.A.L
AS24892,Libalink SARL
AS24982,BankMed sal
AS25281,MTM s.a.r.l
AS25471,B_SMART.NET S.A.R.L
AS25491,Basic ISP s.a.r.l.
AS29027,CHAWICH GROUP LTD
AS29070,GIGABIT S.A.L
AS29099,Matrix International SARL
AS31037,Wave Net LLC
AS31126,SODETEL S.A.L.
AS31390,BRAVENET S.A.R.L
AS31587,AHN s.a.r.l
AS3176,Banque Du Liban
AS3290,WIFAST SARL
AS34032,SPIDER NET & CO. SARL
AS34062,GCGROUP S.A.R.L
AS34113,Real-ISP SARL
AS34370,CSCBank SAL
AS34447,My ISP SARL
AS34458,Smart Networks S.a.r.l
AS34741,Bank of Beirut s.a.l.
AS34763,X.O.L Broadband sal
AS35197,Virtual ISP s.a.l.
AS35732,EarthLinks S.A.R.L
AS38999,Mobile Interim Company no.2 sal
AS39010,TerraNet sal
AS39190,Ahmad Mahmoud Hassan trading as Nour El Houda Trading & Telecommunications
AS39275,Byblos Bank S.A.L.
AS39402,Ferrari-Networks SARL
AS39868,FRANSABANK SAL
AS39918,Azadea Group Holding SAL
AS41068,SPEEDBIT s.a.r.l
AS41211,La Banque Libano-Francaise S.A.L.
AS41833,Moscanet SAL
AS41956,M Nets SAL
AS42003,OGERO
AS42020,Liban Teleco
AS42183,NET 360 S.A.R.L
AS42334,Broadband Plus S.a.l.
AS42828,Top Net SARL
AS42852,Societe Libanaise pour le developpement et la reconstruction du centre ville de de Beyrouth (Solider
AS43004,Smart Secure Solutions S.A.R.L.
AS43019,Farah Net S.a.r.l.
AS43056,iShack SAL
AS43791,"STN, SARL"
AS43824,Masco Group LLC
AS44189,Middle East Airlines AirLiban S.A.L. (M.E.A)
AS44979,ADMINS LEBANON S.A.R.L
AS47701,BEIRUT ARAB UNIVERSITY(BAU)
AS47719,Switch Telecom s.a.r.l
AS47760,CSCBank SAL
AS48206,Net Pro sarl
AS48253,SAADWNET SARL
AS48418,SKYNET S.A.R.L
AS48629,ICLIK SARL
AS48740,Online Money Transfer S.A.L.
AS48847,WAVES S.A.L
AS49020,Elie Achkar trading as FiberSkynet
AS50500,BITAR NET SARL
AS50770,FIBER FAST SARL
AS51104,VIP GROUP (S.A.R.L)
AS51938,GlobeMed Solutions SAL
AS56337,Wave Net LLC
AS56530,PROTEL SAL OFFSHORE
AS56902,Energy Bridge Sarl
AS57256,Pros-Services S.A.R.L.
AS57513,Mobile interim company 1 S.A.L.
AS57778,Elie Achkar trading as Micro Smart System
AS57852,CLOUD S P SARL
AS57914,Bank Audi SAL - Audi Saradar Group
AS57937,Sama S.A.L. Offshore
AS59931,Lebanon Online SARL
AS59989,T.H. Global Vision SARL
AS60372,EagleNet s.a.r.l.
AS60406,ALJADEED S.A.L
AS60524,Lebanese Armed Forces
AS60972,iShack SAL
AS60999,Libatech SAL
AS61172,SME S.A.R.L
AS62144,BBAC S.A.L.
AS64443,Sky Waves SARL
AS8699,Fiberwaves S.A.L
AS9051,IncoNet Data Management sal
