ASN,Name
AS21003,General Post and Telecommunication Company (GPTC)
AS327752,RAWAFED LIBYA
AS327921,Bait Ashames for Data Communication
AS328073,Ion Telecom and Technology
AS328200,Al Madar Al Jadeed Joint Stock Company
AS328286,Libyana Mobile Phone Company JSC
AS328539,Giga for Telecommunication and Technology Limited
AS328611,Libyan Elite Company for Technical Solutions
AS328619,Abraj Libya Co For Communications & information Technology
AS328733,AWAL TELECOM & TECHNOLOGY
AS328743,SmartLink Co for Information Technology and Networking
AS329027,Ozone aljadid for telecom and technology  LLC
AS329090,Alhadatha Alalamiya for telecommunications and information technology L.L.C
AS329129,Libyan International Company for Technology
AS329130,TAQNYAT ALJEEL COMPANY FOR COMMUNICATION AND INFORMATION TECHNOLOGY LTD
AS329160,Serverlibya
AS329252,Cubic Information Systems Company Limited
AS329263,Libyan Spider for IT LTD.
AS329435,Aljuman Aljadeed Limited Liability company
AS329472,"Sharart Altaqanaya Co, for Telecom & Technology"
AS329678,High Speed Access Company for Telecommunication and Technology
AS37284,Aljeel Aljadeed For Technology
AS37558,LIBYAN INTERNATIONAL TELECOMMUNICATION COMPANY
AS37566,ICONA for IT and Telecom. LTD Co
