ASN,Name
AS12539,UAB Penki kontinentai
AS13194,"UAB ""Bite Lietuva"""
AS13260,"SKUBA, UAB"
AS133944,"trafficforce, UAB"
AS150445,Getechbrothers
AS15419,"SC ""Lithuanian Radio and TV Center"""
AS15440,"UAB ""Baltnetos komunikacijos"""
AS15908,"UAB ""Medicinos bankas"""
AS15995,AB SEB bankas
AS16125,UAB Cherry Servers
AS196852,Valstybine ligoniu kasa prie Sveikatos apsaugos ministerijos
AS197225,"UAB ""Airnet TV"""
AS198009,Ashburn International Ltd.
AS198345,"Viesoji istaiga ""Vilniaus universiteto bustas"""
AS198651,"HOSTLINE, UAB"
AS199527,"UAB ""Bite Lietuva"""
AS199737,Nerijus Kriauciunas
AS200017,Elisteka UAB
AS200216,"Honeygain, UAB"
AS201096,UAB Eltida
AS201182,IT Uoga MB
AS201201,UAB Delska Lithuania
AS201207,"Getechbrothers, MB"
AS201341,"trafficforce, UAB"
AS201541,Nedas Dozorec
AS201959,Data Bank Group UAB
AS202044,"Getechbrothers, MB"
AS202085,UAB Kvartalo Tinklas
AS202496,"trafficforce, UAB"
AS202725,"ZetaNetas, UAB"
AS203061,UAB code200
AS203098,"trafficforce, UAB"
AS203783,UAB Gurtam
AS204057,Duomenu apdorojimo centras LTD
AS204315,Game Insight UAB
AS204390,"UAB ""Magnetukas"""
AS204746,"UAB ""Bite Lietuva"""
AS204770,UAB Cherry Servers
AS204967,"Advokatu kontora ""Ellex Valiunas ir partneriai"""
AS205659,UAB code200
AS205686,UAB DPD Lietuva
AS205688,UAB SERVERA
AS205964,UAB code200
AS206029,"UAB ""Attrel"""
AS206633,Mantas Mikulenas
AS207186,Kauno Technologijos Universitetas
AS207291,UAB Sender.lt
AS207785,"HOSTLINE, UAB"
AS208084,PAVLOV DMITRIY
AS208119,UAB Ruptela
AS20846,"UAB ""Parabole"""
AS209605,UAB Host Baltic
AS209709,UAB code200
AS209989,"UAB ""Baltnetos komunikacijos"""
AS210000,TwentyWAN MB
AS210126,DELFI UAB
AS210162,UAB Cherry Servers
AS210175,Lietuvos Interneto Paslaugu Teikeju Asociacija
AS21031,UAB Elneta
AS210647,"Light Conversion, UAB"
AS210906,"UAB ""Bite Lietuva"""
AS210948,SPV-48 UAB
AS211336,UAB Penki kontinentai
AS211350,UAB Data Business
AS211373,Simoresta UAB
AS211415,"Karolio IT paslaugos, UAB"
AS211432,"""Improvizus"" MB"
AS211440,"Karolio IT paslaugos, UAB"
AS211614,"UAB ""Bite Lietuva"""
AS211743,Astijus Griguola
AS211832,"AB ""Artea bankas"""
AS212046,UAB Mezon
AS212062,"UAB ""Worldline Lietuva"""
AS212102,Litgrid AB
AS21211,"Penkiu kontinentu komunikaciju centras, Ltd."
AS212144,"trafficforce, UAB"
AS212335,Simoresta UAB
AS212384,Simoresta UAB
AS212531,"UAB ""Interneto vizija"""
AS212609,"Karolio IT paslaugos, UAB"
AS212669,"Karolio IT paslaugos, UAB"
AS212822,"UAB ""EUROAPOTHECA"""
AS212853,MB Redfox Cloud
AS212872,Serverio technologijos MB
AS212980,"UAB ""Atlantis Capital"""
AS213365,SBA COMPETENCE AND SERVICE CENTER UAB
AS213476,Litlink UAB
AS213586,"SM Consulting Services, MB"
AS213772,"UAB ""Baltnetos komunikacijos"""
AS213896,UAB Cherry Servers
AS21412,"UAB ""Cgates"""
AS214159,UAB Cherry Servers
AS21420,"Swedbank, AB"
AS214208,Elisteka UAB
AS214690,
AS214794,"PAYAPP DIGITAL, UAB"
AS215294,Lumina broadband UAB
AS215426,MB Eisina
AS215427,UAB Revonia
AS215434,Xantho UAB
AS215568,MB Manding Data Venture
AS215899,Justas Gudynas
AS215975,Cloud Acropolis UAB
AS216050,Lietparkas UAB
AS216349,"Getechbrothers, MB"
AS216444,UAB Cherry Servers
AS24607,"UAB ""Ignitis grupes paslaugu centras"""
AS24645,"CSC Telecom, UAB"
AS24852,UAB INIT
AS24877,UAB INIT
AS25190,"UAB ""Kauno interneto sistemos"""
AS25406,"SPLIUS, UAB"
AS2847,Kauno Technologijos Universitetas
AS28917,"Fiord Networks, UAB"
AS30775,"UAB ""Worldline Lietuva"""
AS31114,"Unifiedpost, UAB"
AS3266,UAB Porenta
AS33922,UAB Nacionalinis Telekomunikaciju Tinklas
AS34037,"VARDAS.LT, UAB"
AS34120,Verslo Tiltas UAB
AS34842,"Mano Busto prieziura, UAB"
AS34857,"Telekomunikaciju vartai, UAB"
AS34961,"UAB ""ALSO Lietuva"""
AS35135,Bank of Lithuania
AS35384,Lambda Creative MB
AS35441,A. Judicko individuali imone
AS35500,Western Union Processing Lithuania UAB
AS39007,"UAB ""Balticum TV"""
AS39067,ETANETAS UAB
AS41228,UAB Barbamia kirgudu
AS42181,"Sintagma, UAB"
AS42549,"UAB ""Baltnetos komunikacijos"""
AS42774,"Blue Bridge MSP, UAB"
AS42887,ACC Distribution UAB
AS43151,"UAB ""STARNITA"""
AS43482,Mediafon UAB
AS43586,UAB Porenta
AS43627,"UAB ""Besmegeniai"""
AS43700,UAB Consilium Optimum
AS43811,"Telia Lietuva, AB"
AS44246,"UAB ""Bitosis"""
AS44358,Kauno Technologijos Universitetas
AS44571,Melbikomas UAB
AS44613,"UAB ""Ogmios Centras"""
AS44771,"SC ""Lithuanian Radio and TV Center"""
AS47205,"Telia Lietuva, AB"
AS47341,"Torena, II"
AS47609,"UAB ""LTMD Networks"""
AS47929,"UAB ""Baltnetos komunikacijos"""
AS49287,Melbikomas UAB
AS49550,UAB Nacionalinis Telekomunikaciju Tinklas
AS49602,"Private Limited Liability Company ""KRENA"""
AS49912,UAB Moletu radijas ir televizija
AS50065,"UAB ""Saulenet"""
AS50098,Melbikomas UAB
AS50256,State Enterprise Agriculture Information and Rural Business Center
AS50297,"Infium, UAB"
AS50320,"Laisvas ir nepriklausomas kanalas, UAB"
AS50610,"AB ""Lietuvos gelezinkeliai"""
AS50962,UAB Roventa
AS51107,UAB Bartus pro
AS51172,Kauno Technologijos Universitetas
AS51247,Serverio technologijos MB
AS51259,Arcus Novus UAB
AS51388,UAB Marsatas
AS51719,UAB GF bankas
AS51802,"EPS LT, UAB"
AS5479,Kauno Technologijos Universitetas
AS5522,"Telia Lietuva, AB"
AS56413,UAB Proservis
AS56630,Melbikomas UAB
AS56847,"V.Ivanciko individuali imone ""Zaibas"""
AS59642,UAB Cherry Servers
AS59821,HyperOps UAB
AS59874,"Vinted, UAB"
AS59939,WIBO Baltic UAB
AS60099,UAB Radijo elektronines sistemos
AS61053,UAB ESNET
