ASN,Name
AS12684,SES ASTRA S.A.
AS13088,Proximus Luxembourg S.A.
AS15780,"Luxembourg Amateur Radio Union, A.s.b.l."
AS15814,Clearstream Services S.A.
AS15965,CEGECOM S.A.
AS197415,CROSSCOMM R SARL
AS197692,Conostix S.A.
AS197869,Luxembourg House of Cybersecurity
AS198095,POST Telecom S.A.
AS198290,Global IT Services PSF SA
AS199245,PricewaterhouseCoopers Societe cooperative
AS199524,G-Core Labs S.A.
AS199839,MikeNetworks S.a r.l.-S.
AS200126,Epic Games International S.a r.l.
AS200129,LHISP S.A.
AS200331,IQ EQ (Luxembourg) S.A.
AS200617,CEBI International SA
AS200949,European Public Prosecutor's Office
AS201043,Emma Technologies Sarl
AS201187,TELEDISTRIBUTION WALFERDANGE ASBL
AS201441,European Investment Bank
AS201554,SES ASTRA S.A.
AS201740,SODRU S.A.
AS201973,European Court of Justice
AS202422,G-Core Labs S.A.
AS202438,Encevo S.A
AS203055,Datacenter Luxembourg S.A.
AS203143,Banque et Caisse d'Epargne de l'Etat Luxembourg
AS203398,Rotarex S.A.
AS203793,OPG Online Personals Group AG
AS203944,NTT Luxembourg PSF S.A.
AS204025,Centre de Telecommunications et Teleinformatiques Luxembourgeois s.a.
AS204279,Eltrona Interdiffusion S.A.
AS204299,KPMG Audit S.a r.l.
AS204403,HOTCITY SA
AS204803,Societe Generale Luxembourg S.A.
AS20501,BANQUE DE LUXEMBOURG SA
AS206504,RCARRE S.A.
AS206610,Mixvoip S.A.
AS207845,Epic Games International S.a r.l.
AS207870,Epic Games International S.a r.l.
AS208374,LU-CIX Management G.I.E.
AS209333,Osy Technologies S.a r.l.
AS210103,Cedric Dasnois
AS210145,Societe de la Bourse de Luxembourg S.A.
AS210559,G-Core Labs S.A.
AS210834,LU-CIX Management G.I.E.
AS210872,NATO SUPPORT AND PROCUREMENT AGENCY
AS211018,Administration Communale Luxemberg
AS211093,Zitro International SARL
AS211435,Trustteam Luxembourg S.A.
AS211719,CA Indosuez Wealth (Europe) S.A.
AS21179,Logwin AG
AS211999,LuxProvide S.A.
AS212218,Dennemeyer TechSys S.A.
AS212568,David Moes
AS212630,Societe de l'aeroport de Luxembourg SA
AS212882,dnx network sarl
AS213216,LuxChan S.A R.L.-S
AS213785,"Banque Internationale a Luxembourg, societe anonyme"
AS214004,Deloitte General Services sarl
AS214418,ITech28 S.a.r.l.
AS214587,Rulx Alexis
AS215667,Cyclop S.a r.l.
AS24611,Datacenter Luxembourg S.A.
AS25094,Centre des technologies de l'information de l'Etat
AS25273,Broadcasting Center Europe (an RTL Group Company)
AS25367,Proximus Luxembourg S.A.
AS2602,Fondation RESTENA
AS29467,LUXNETWORK S.A.
AS3347,Worldline Financial Services (Europe) S.A.
AS34655,JWE S.a r.l.
AS34683,TELKEA TELECOM SA
AS34769,Orange Communications Luxembourg S.A
AS35446,Netcompany - Intrasoft S.A.
AS41273,Antenne Collective Ettelbruck ASBL
AS41589,Lux Green Technologies Sarl
AS42848,European Commission
AS43375,EUROPEAN PARLIAMENT
AS43719,Kyndryl Luxembourg Sarl
AS44295,Lab Luxembourg S.A.
AS44708,PAUL WURTH S.A.
AS47137,CHAMP Cargosystems S.A.
AS47944,Chambre des Deputes Luxembourg
AS49813,Innova Co S.A.R.L.
AS50754,C2D System House Luxembourg SA
AS51405,Voipgate S.A.
AS51497,Innova Co S.A.R.L.
AS51966,Fondation RESTENA
AS5577,root SA
AS56665,Proximus Luxembourg S.A.
AS57205,Telkea Soft S.A.
AS57231,Innova Co S.A.R.L.
AS57644,GhiShin S.A.
AS58049,Erinix Sarl
AS60288,Eurobase GmbH
AS60391,Papa-Razzi Media Group A.s.b.l.
AS60497,Uwe Zeidler
AS60525,Innova Co S.A.R.L.
AS60725,SES ASTRA S.A.
AS60752,AOSSIA S.A.
AS61327,MTX Connect S. a r.l.
AS62285,Canal+ Luxembourg Sarl
AS6661,POST Luxembourg
AS6891,Infeurope S.A.
AS8632,Luxembourg Online S.A.
AS9008,Visual Online S.A.
