ASN,Name
AS132088,Wind Cloud Network Technology Co Ltd
AS133613,MTel telecommunication company ltd.
AS134550,Centro de Informacoes Tecnologia de Macau
AS136167,CHINA TELECOM (MACAU) COMPANY LIMITED
AS136793,MACAU COMMUNICATION NETWORKS COMPANY LIMITED
AS137538,Caldawin Software Technology Company Limited
AS138164,Macau University of Science and Technology
AS201763,U FAI CHAN
AS4609,Companhia de Telecomunicacoes de Macau SARL
AS47674,"Net Solutions - Consultoria Em Tecnologias De Informacao, Sociedade Unipessoal LDA"
AS7582,University of Macau
