ASN,Name
AS16333,Company for communications services A1 Makedonija DOOEL Skopje
AS198159,HALKBANK AD Skopje
AS199128,PET NET DOO Gevgelija
AS199969,ProCredit Bank AD Skopje
AS200412,KIBS AD Skopje
AS200899,INTERSPACE DOOEL Skopje
AS201683,DTS Corp D.o.o.e.l export-import Skopje
AS203274,BIDI IN V.I.B. DOO Skopje
AS203522,Faculty of Computer Science and Engineering - Ss. Cyril and Methodius University in Skopje
AS203571,Delta Bet D.O.O.E.L Skopje
AS204031,Komercijalna banka AD Skopje
AS205119,TELEKS DOOEL Skopje
AS205347,Information Technology Company AVENGA DOOEL Skopje
AS205623,"Adzibadem Sistina Skopje, Private Clinic Hospital"
AS206311,STOPANSKA BANKA A.D. BITOLA
AS206666,MULTIMEDIA-NET DOO SKOPJE
AS206769,Real Estate Cadastre Agency Skopje
AS207766,MTEL DOOEL Skopje
AS208730,INEL TEHNIK DOOEL
AS209152,FIVENET D.O.O. Skopje
AS209613,Gou Net DOOEL
AS209972,Government of Republic of North Macedonia
AS210179,Trend Komunikacii DOOEL Strumica
AS210865,AD MEPSO JSC
AS211172,NLB Banka AD Skopje
AS211450,SPIDER DOOEL GEVGELIJA
AS212645,GLOBALSAT DOOEL
AS213562,SETEC All from Tehnika DOO Skopje
AS213946,Signal NET d.o.o.
AS214632,STOPANSKA BANKA AD SKOPJE
AS215863,PROLINK ICT DOOEL
AS215968,DATAKOM JV DOOEL Skopje
AS34547,TELESMART TELEKOM DOO
AS34772,NEOTEL AD Skopje
AS39766,"TRD ""Net Kabel"""
AS41557,Drustvo za telekomunikaciski uslugi TELEKABEL DOOEL Stip
AS42133,EVN Electric Power Company of Macedonia AD Skopje
AS43227,Makpetrol AD Skopje
AS43452,TELENET KOM DOO
AS43494,Company for communications services A1 Makedonija DOOEL Skopje
AS43612,Company for communications services A1 Makedonija DOOEL Skopje
AS44021,Drustvo za telekomunikaciski uslugi TELEKABEL DOOEL Stip
AS44118,BalkanTel DOO
AS44224,Macedonian Academic Research Network Skopje
AS44566,KDS-Kabel Net DOO
AS44777,Insurance MAKEDONIJA s.c. Skopje Vienna Insurance Group
AS47212,Republic of Macedonia State University GOCE DELCEV Stip
AS48057,Company for interactive technologies ITV DOOEL export-import Skopje
AS49056,Inel Internacional Dooel Kavadarci
AS49914,Multimedija Netvork L DOOEL Export-Import Gostivar
AS52188,"Univerzitet ""Sv. Kiril i Metodij"""
AS5379,"Univerzitet ""Sv. Kiril i Metodij"""
AS5581,INTERSPACE DOOEL Skopje
AS56620,National Bank of the Republic of Macedonia
AS57116,Health Insurance Fund of Macedonia
AS57134,Multimedia-Net doo Skopje
AS57374,Company for communications services A1 Makedonija DOOEL Skopje
AS6821,Makedonski Telekom AD-Skopje
AS8830,UltraNet d.o.o.
AS9172,Company for Computer Services and Trade MOL KOMUNIKACII DOOEL Skopje LLC
