ASN,Name
AS327941,SIMBANET MALAWI LIMITED
AS328300,National Bank of Malawi
AS328403,Malawi Revenue Authority
AS328565,NBS BANK PLC
AS328600,BENGOL.NET LIMITED
AS328738,Youth Net and Counselling
AS328811,First Capital Bank PLC
AS328844,Afrimax Limited
AS328919,Open Connect Limited
AS329220,Department of E-Government
AS329260,Malawi Communications Regulatory Authority
AS329333,National Oil Company of Malawi Ltd
AS329335,Department of HIV & AIDS and Viral Hepatitis
AS329427,Electricity Supply Corporation of Malawi Ltd
AS329434,Datacom.mw Limited
AS36913,TELEKOM NETWORKS MALAWI LTD
AS36944,Ubuntunet Alliance For Research and Education Networking
AS36969,Malawi Telecommunications Limited
AS37098,globe internet limited
AS37187,Inq. Digital Limited
AS37215,Malawi Research and Education Network - MAREN
AS37294,TELEKOM NETWORKS MALAWI LTD
AS37440,Airtel Malawi Ltd
AS37712,National Integrated Technologies Limited
AS37713,Access Communications Ltd
