ASN,Name
AS10030,Celcom Axiata Berhad
AS10081,DiGi Telecommunications Sdn Bhd
AS10204,Arcnet NTT MSC ISP
AS131204,Universiti Islam Selangor (UIS)
AS131310,CX2 Computer Exchange
AS131330,irix
AS131332,"113-B, Jalan Aminuddin Baki,"
AS131684,Universal Connections Technologies (M) Sdn. Bhd.
AS131996,NEVIGATE GLOBAL NETWORK SDN. BHD.
AS132022,IP World Technologies Sdn. Bhd.
AS132033,"Lot 3, Jalan Teknologi 3/5, Taman Sains Selangor"
AS132035,Computer Center
AS132111,Bigband Sdn Bhd
AS132170,Exitra Sdn. Bhd.
AS132196,DANAWA RESOURCES SDN BHD
AS132198,iCore Technology Sdn Bhd
AS132241,SKSA TECHNOLOGY SDN BHD
AS132326,NexGen Global Sdn Bhd
AS132354,CELCOM TIMUR (SABAH) SDN BHD
AS132372,GB Network Solutions Sdn. Bhd.
AS132376,"BasketAsia, Sdn. Bhd."
AS132432,Bahagian Perkhidmatan Teknologi Maklumat
AS132434,MaxisNet International Internet Gateway
AS132494,Universiti Tun Hussein Onn Malaysia
AS132512,World Hub Communications (M) Sdn Bhd
AS132530,Infonal Sdn Bhd
AS132531,M EAST SDN. BHD.
AS132546,Conversant Berhad
AS132625,SDEC
AS132688,University of Malaya
AS132694,Universiti Sains Islam Malaysia
AS132720,Experian Marketing Services (Malaysia) Sdn. Bhd.
AS132841,Casbay Sdn. Bhd.
AS132850,TS Global Network Sdn. Bhd.
AS132874,Universiti Malaysia Sabah
AS132885,CET DEVELOPMENT SDN BHD
AS132890,IP Core Sdn Bhd
AS132901,Global Forway Sdn Bhd
AS133014,Universiti Teknologi Malaysia
AS133084,Jisc Services Limited
AS133113,SH WEBSERVER SOLUTIONS
AS133114,ControlVM Sdn Bhd
AS133135,TeamCloud - Malaysia
AS133169,University Malaysia Perlis
AS133408,UNIVERSITI TENAGA NASIONAL SDN BHD
AS133421,INNET SOLUTIONS SDN BHD
AS133437,MXCloud Sdn. Bhd
AS133444,Net2One Sdn Bhd
AS133457,ScopeTel Sdn Bhd
AS133609,Infinity Supercorridor Sdn Bhd
AS133755,AIA Bhd.
AS133847,Anpple Tech Enterprise
AS133874,MYNIC Berhad
AS133889,Precision Computer (Malaysia) Sdn Bhd
AS133918,Suria Data Centre Sdn. Bhd.
AS133936,X86 Network Sdn Bhd
AS134066,Lynuxtel Malaysia Sdn Bhd
AS134069,NTT MSC SDN. BHD.
AS134088,NGN Connection Sdn. Bhd.
AS134107,University Malaysia Pahang
AS134117,MING WAN ENTERPRISE
AS134152,XMT Technologies Sdn Bhd
AS134168,Conduent Business Services Malaysia Sdn. Bhd
AS134202,E-WORLD COMMUNICATION SDN BHD
AS134232,SACOFA Sdn. Bhd.
AS134237,Ericsson Expertise Center
AS134468,Tokio Marine Insurans (Malaysia) Berhad
AS134553,i-Skill Dynamics Sdn Bhd
AS134554,Starnet Communications Sdn Bhd
AS134573,Shopee Mobile Sdn Bhd
AS134698,Chr. Hansen Malaysia Sdn Bhd
AS134722,Universiti Teknikal Malaysia Melaka
AS134797,Innet Technologies Sdn Bhd
AS134809,ViewQwest Sdn. Bhd.
AS134847,REDtone Data Centre Sdn. Bhd.
AS135277,Freshtel Group SDN BHD
AS135496,UNIVERSITI KEBANGSAAN MALAYSIA
AS135542,LIGHT CLOUD TECHNOLOGY
AS135551,Malaysian Communication and Multimedia Commission
AS135553,VC Telecoms Sdn. Bhd.
AS135580,Neutral Transmission Malaysia Sdn. Bhd.
AS136412,Titan System Integration Sdn Bhd
AS136492,Experian Marketing Services (Malaysia) Sdn. Bhd.
AS136520,Myklnet Solutions
AS136533,MyISP Dot Com Sdn Bhd
AS136552,Pacific Comnet (M) Sdn. Bhd.
AS136727,Jimat Technology Solution
AS136749,KS IT SOLUTIONS SDN BHD
AS136751,Teleperformance Malaysia Sdn Bhd
AS136962,MSE DOTNET SDN BHD
AS136978,JNI SYSTEM SDN BHD
AS136983,HILTI ASIA IT SERVICES SDN. BHD.
AS137005,Universiti Malaysia Kelantan
AS137050,strateq data centre sdn bhd
AS137240,Proxus Communications Sdn Bhd
AS137397,Universiti Selangor
AS137510,JENEXUS HOLDING SDN BHD
AS137552,Terabix
AS137839,IMU Education Sdn. Bhd.
AS137845,Majubina Resources Sdn Bhd
AS137923,CiB Net Station Sdn Bhd
AS137963,MT Microtel Technology Sdn Bhd
AS138040,DNSVAULT SDN BHD
AS138148,MULTI DOMAIN RESOURCES AND SERVICES
AS138339,SMARTSEL SDN BHD
AS138359,DataKL Solutions Sdn Bhd
