ASN,Name
AS132218,Maldives Customs Service
AS133742,State Trading Organization Plc
AS136234,Media Net Pvt Ltd
AS136238,SatLink Pvt Ltd
AS137056,Tree Top Health Pvt. Ltd.
AS137477,Villa Shipping and Trading Company Pvt. Ltd.
AS137981,Bank of Maldives Plc
AS147039,Cyprea Private Limited
AS150125,Maldives internet exchange
AS216469,Ismail Fayaz trading as PIONEN
AS24016,Focus Infocom Private Limited
AS24082,DHIVEHI RAAJJEYGE GULHUN PLC
AS24184,"National Centre for Information Technology, Male', Maldives"
AS55944,Ooredoo Maldives Plc
AS7642,DHIVEHI RAAJJEYGE GULHUN PLC
