ASN,Name
AS12046,Malta Internet Foundation
AS12709,Melita Limited
AS133409,Kindred IP Limited
AS15735,GO p.l.c.
AS15892,Malta Information Technology Agency (MITA)
AS196640,ASPIDER SOLUTIONS INTERNATIONAL HOLDINGS LIMITED
AS197103,Ixaris Systems (Malta) Limited
AS200127,Smart IP (SIP) Limited
AS200295,Skoed Limited
AS200805,Melita Limited
AS200932,bet-at-home.com International Ltd.
AS201821,Betsson Services Ltd
AS203221,iGamingCloud Limited
AS204090,Blackberry Holding LTD
AS204732,Betsson Services Ltd
AS20521,Bellnet Limited
AS207406,Messaggio Ltd
AS208136,CCBill EU Limited
AS208346,KAIZEN GAMING INTERNATIONAL LIMITED
AS209485,CCBill EU Limited
AS212668,European Union Agency for Asylum
AS212769,MeDirect Tech Limited
AS212962,Quality Area Ltd.
AS213246,CCBill EU Limited
AS28763,Nobel Group Limited
AS28776,ISV TECH LIMITED
AS29387,GO p.l.c.
AS33874,Epic Communications Limited
AS34410,Vanilla Telecoms Ltd.
AS35356,GO p.l.c.
AS43439,Relax Gaming Ltd
AS43916,Interwetten Gaming Limited
AS47171,Kindred IP Limited
AS51166,Ixaris Systems (Malta) Limited
AS51840,CSL Data Centre Services Limited
AS5532,GO p.l.c.
AS56805,Global Technology & Sports Ltd
AS57150,Transactium Ltd.
AS57322,Nobel Group Limited
AS57435,APS BANK P.L.C.
AS60765,ASPIDER SOLUTIONS INTERNATIONAL HOLDINGS LIMITED
AS61355,Odeon Tourism International Malta Limited
