ASN,Name
AS17652,Mauritius Telecom Ltd
AS21280,Liquid Telecommunications Operations Limited
AS23889,Mauritius Telecom Ltd
AS30999,EMTEL LIMITED
AS327821,Mauritius Internet Exchange Point
AS327913,Millenium Outsourcing Ltd
AS327914,Millenium Outsourcing Ltd
AS327919,CANAL+ (Maurice) Ltd
AS328019,Atcomm Broadband Services Ltd
AS328623,VGR Communications Ltd
AS328699,DataKeepers Ltd
AS328701,EFT Corporation Ltd
AS328728,Outremer Telecom Digital Solutions Ltd
AS328758,R A Consulting Services (Pty) Ltd
AS329069,CIM Financial Services Limited
AS33763,Paratus Telecommunications Limited
AS33764,African Network Information Center - (AfriNIC) Ltd
AS36868,Rogers Capital Technology Services Ltd
AS36894,Mauritius Digital Promotion Agency
AS37100,SEACOM Limited
AS37177,African Network Information Center - (AfriNIC) Ltd
AS37181,African Network Information Center - (AfriNIC) Ltd
AS37301,African Network Information Center - (AfriNIC) Ltd
AS37379,Africa Online Operations (Mauritius) Limited
AS37455,Bharat Telecom Ltd
AS37622,Mahanagar Telephone (Mauritius) Ltd
AS37662,West Indian Ocean Cable Company
AS37674,Millenium Outsourcing Ltd
AS37708,African Network Information Center - (AfriNIC) Ltd
AS37722,Kaldera Ltd
AS37725,Xyberdata
AS5536,Xyberdata
