ASN,Name
AS10420,Banco de Mexico
AS10436,Instituto TecnolÃ³gico y de Estudios Superiores de Monterrey
AS10479,Instituto TecnolÃ³gico y de Estudios Superiores de Monterrey
AS10560,Instituto Tecnológico y de Estudios Superiores de Monterrey
AS10706,YUVOX S.A DE C.V
AS10847,"Podernet, S.A. de C.V."
AS11136,Instituto TecnolÃ³gico y de Estudios Superiores de Monterrey
AS11172,"Alestra, S. de R.L. de C.V."
AS11519,"Banco Mercantil del Norte S.A., Institucion de Banca Multiple, Grupo Financiero Banorte"
AS11888,"Television Internacional, S.A. de C.V."
AS13440,"Operbes, S.A. de C.V."
AS13579,INFOTEC CENTRO DE INVESTIGACION E INNOVACION EN TECNOLOGIAS DE LA INFORMACION Y COMUNICACION
AS13591,"Mexico Red de Telecomunicaciones, S. de R.L. de C.V."
AS13679,"Centros Culturales de Mexico, A.C."
AS139235,Truxgo S. R.L. de C.V.
AS13999,"Mega Cable, S.A. de C.V."
AS14178,"Megacable Comunicaciones de Mexico, S.A. de C.V."
AS14249,"Internet Engine, S.A. de C.V."
AS15107,Grupo Financiero Bancomer
AS15236,Universidad de Colima
AS16531,TOPNET SA de CV
AS16596,Universidad Autonoma del Estado de Baja California
AS16689,"TV Azteca, S.A.B. de C.V."
AS16762,"Grupo Bimbo, S.A.B. de C.V."
AS16960,"Television Internacional, S.A. de C.V."
AS17072,TOTAL PLAY TELECOMUNICACIONES SA DE CV
AS17249,"BURSATEC, S.A. DE C.V."
AS1831,"ITESO, A.C."
AS1840,Universidad de Las Americas-Puebla
AS18449,"MVS Net, S.A. de C.V."
AS18532,Secretaria de Hacienda y Credito Publico
AS18592,"Corporacion Universitaria para el Desarrollo de Internet, A.C."
AS18734,"Operbes, S.A. de C.V."
AS19038,SCOTIABANK INVERLAT SA
AS19259,Todito.com S.A. de C.V.
AS19332,"COORDINADORA DE CARRIER'S, S.A. DE C.V."
AS19373,Triara.com S.A. de C.V.
AS20173,"Televisa, S.A de C.V."
AS209245,Federico Martinez Fernandez
AS21520,Instituto Tecnologico Autonomo de Mexico(ITAM)
AS21603,"Universidad La Salle, AC"
AS21692,SecretarÃ­a de la FunciÃ³n PÃºblica
AS22011,"Sixsigma Networks Mexico, S.A. de C.V."
AS22122,UNIVERSIDAD AUTONOMA DE YUCATAN
AS22566,"IP Matrix, S.A. de C.V."
AS22882,"CEMEX Central, S.A. de C.V."
AS22884,TOTAL PLAY TELECOMUNICACIONES SA DE CV
AS22894,Network Information Center MÃ©xico
AS22908,"Sixsigma Networks Mexico, S.A. de C.V."
AS2549,Universidad de Guadalajara
AS262913,"Konecta de Mexico, S. de R.L. de C.V."
AS262914,Comision Federal de Electricidad
AS262916,"Mega Cable, S.A. de C.V."
AS262920,Comision Nacional para el Conocimiento y Uso de la
AS262925,ElectrÃ³nica Steren S.A. de C.V.
AS262926,BRADESCARD MEXICO S DE RL
AS262927,ELARA COMUNICACIONES SAPI DE CV
AS262944,"Spectro Networks Telecomunicaciones, S. de R.L. de C.V."
AS263114,Kiwi Networks S A P I de CV
AS263115,HOUSE OF FULLER S DE RL DE CV
AS263127,Redes y Comunicaciones de Michoacan S.A. de C.V.
AS263134,UNIVERSIDAD AUTONOMA DE QUERETARO
AS263138,METALSA SAPI DE CV
AS263141,"JAFRA COSMETICS INTERNATIONAL, S.A. DE C.V."
AS263149,Centro de EnseÃ±anza Tecnica Industrial
AS263150,ANTONIO FRIAS SALAZAR
AS263157,Tu Casa Inalambrica de Mexico
AS263158,"CREATIVE MULTILINGUAL STRATEGIES, S. DE R.L. DE C.V."
AS263167,COMUNICALO DE MEXICO S.A. DE C.V
AS265501,CONVERGIA DE MEXICO S.A. DE C.V.
AS265502,BOLSA INSTITUCIONAL DE VALORES
AS265503,IQCLOUD S.A. DE C.V.
AS265504,DIGITAL COMUNICATIONS DE MEXICO SA DE CV
AS265505,INTELVID S.A. DE C.V.
AS265506,ISD NETWORKS S.A DE C.V
AS265508,Comercial City Fresko S de RL de CV
AS265509,OPTOENLACES S.A. DE C.V.
AS265510,EJA TELECOMM S DE RL
AS265511,PLAMEX SA DE CV
AS265515,TELEVERA RED S. A. P. I. DE C.V.
AS265517,SMARTNETT CARRIER SA DE CV
AS265518,"DIRECTO TELECOM, S.A. DE C.V."
AS265519,INSTITUTO POTOSINO DE INVESTIGACION CIENTIFICA Y TECNOLOGICA
AS265521,Supermercados Internacionales HEB SA de CV
AS265523,Sierra Madre Internet SA de CV
AS265524,COEFICIENTE COMUNICACIONES
AS265525,TV CABLE DEL GUADIANA S.A DE C.V.
