ASN,Name
AS12450,Agentia Transcor SRL
AS1547,"INTERDNESTRKOM, Sovmestnoe Zakrytoe Aktsionernoe Obshchestvo"
AS15836,Arax-Impex s.r.l.
AS200019,ALEXHOST SRL
AS200189,Banca Nationala a Moldovei
AS200211,CLIQ STACK S.R.L
AS200640,SC Raznet SRL
AS200775,Iurie Romanov
AS201148,Lookin-link SRL
AS201670,S.C. INFOTECH-GRUP S.R.L.
AS201813,Contrust Solutions S.R.L.
AS202475,ELECHSERVICE-GRUP S.R.L
AS202822,Upnet IT SRL
AS202931,Vic Grup SRL
AS202943,S&L Panifcom SRL
AS202960,Dontu-Prim SRL
AS202965,Dontv-Prim SRL
AS202966,"Societatea cu Raspundere Limitata ""ITGROUP & SERVICES"""
AS203693,EBS INTEGRATOR SRL
AS203950,Contrust Solutions S.R.L.
AS204421,Bpay SRL
AS204467,AIRSTREAM SRL
AS204794,Contrust Solutions S.R.L.
AS204838,Serviciul National Unic Pentru Apelurile de Urgenta 112
AS204868,Contrust Solutions S.R.L.
AS204872,Contrust Solutions S.R.L.
AS205301,Contrust Solutions S.R.L.
AS205606,CB VICTORIABANK JSC
AS205745,Contrust Solutions S.R.L.
AS205884,Contrust Solutions S.R.L.
AS205997,Vlad Cojuhari
AS206127,Contrust Solutions S.R.L.
AS206750,CONTRUST SOLUTIONS S.R.L.
AS207159,HARTUM TV SRL
AS207164,PRIMANET SRL
AS207246,NETSAT_DV_SRL
AS207636,ALEXHOST S.R.L.
AS208062,PROFI-CONSTRUCT PRIM SRL
AS208299,TV RADIOSISTEM SRL
AS208343,"INTERDNESTRKOM, Sovmestnoe Zakrytoe Aktsionernoe Obshchestvo"
AS208671,Universitatea de Stat de Medicina si Farmacie Nicolae Testemitanu din Republica Moldova
AS209331,Banca Comerciala EXIMBANK SA
AS209375,Contrust Solutions S.R.L.
AS209482,FOXCLOUD COMMUNICATIONS SRL
AS209640,ZEON-TEHNO SRL
AS209883,Contrust Solutions S.R.L.
AS209896,Contrust Solutions S.R.L.
AS209908,AVISTUDIO SRL
AS209944,Contrust Solutions S.R.L.
AS210448,ITSISTEM P&V SRL
AS211180,"""OKLAKO"" SRL"
AS211279,Alianta-TV S.R.L.
AS211504,STUDIO AN-TV SRL
AS211531,ULTRA-NORDNET SRL
AS211807,BANCA DE FINANTE SI COMERT S.A.
AS212786,DIGITAL NETWORK S.R.L.
AS213400,xData Cloud SRL
AS213705,DIGITAL NETWORK S.R.L.
AS214788,Universitatea de Stat din Moldova
AS214944,Secops SRL
AS215305,Mastersoft S.R.L.
AS216137,Institutia Publica Universitatea Tehnica a Moldovei - IP UTM
AS216303,Pride System SRL
AS25129,"Scientific-Production Center ""Monitoring"", Ltd"
AS25319,Information Technology and Cyber Security Service
AS25454,ORANGE MOLDOVA S.A.
AS25455,Guardfox SRL
AS25527,Cartel-Sistem SRL
AS28990,Information Technology and Cyber Security Service
AS31204,ORANGE MOLDOVA S.A.
AS31252,StarNet Solutii SRL
AS31557,"""IGT Communications"" S.R.L"
AS34529,GLOBAL NETWORK TECHNOLOGY SRL
AS34645,"I.C.S ""BOOM-INFO"" S.R.L."
AS35346,SC ITNS.NET SRL
AS35525,DIANA-NET SRL
AS35534,"""Art-Club"" SRL"
AS39279,Information Technology and Cyber Security Service
AS39798,MivoCloud SRL
AS41221,Moldtelecom SA
AS41712,Satelit Vizual s.r.l.
AS41879,Banca Comerciala Comertbank SA
AS42424,ICS Endava SRL
AS43285,DFM SRL
AS43289,Trabia SRL
AS43456,Star Linc SRL
AS43588,IM Level 7 SRL
AS43768,OGUZSATLINK SRL
AS43783,CAGHET-PLUS SRL
AS43818,"S.C.""LOGIGRUP"" SRL"
AS43870,DANIS SRL
AS43925,MOLDCELL S.A.
AS44388,IT CONCEPT SRL
AS48232,"S.R.L. ""Cloudsoft"""
AS48331,ORANGE MOLDOVA S.A.
AS48480,S.C. AltNet C.C. S.R.L.
AS48506,Metical SRL
AS48753,AVA HOST SRL
AS49527,SRL ROXNET-COM
AS49691,Netinfo SRL
AS50084,"S.A.""Rapid Link"" S.R.L."
AS50138,Centrul Tehnic Comercial Alfa SA
AS50704,STAR TV SRL
AS50968,"Hostmaster, Ltd."
AS50976,JSC Moldova Steel Works
AS51056,Inet Tehno SRL
AS51141,BC EuroCreditBank SA
AS51246,RASV-TV SRL
AS51267,Interlink Comunicatii SRL
AS51954,Simpals SRL
AS52097,OTP Bank S.A.
AS56380,''IT FRUIT'' S.R.L.
AS56491,Andridan-Impex SRL
AS56772,"I.C.S. ""PREMIER ENERGY DISTRIBUTION"" S.A."
AS56792,Banca Comerciala Moldindconbank SA
AS57428,SD Intelect SRL
AS57713,"Societatea Comerciala ""ACER-COM"" S.R.L."
AS57776,Urscom-TV S.R.L.
AS58118,SC ADINET-Com SRL
AS58311,INTREPRINDEREA DE STAT COMPANIA AERIANA AIR MOLDOVA
AS60127,Banca Comerciala ENERGBANK SA
AS60405,Radeon Service S.R.L.
AS60514,NextGenNetwork SRL
AS60602,Inovare-Prim SRL
AS61077,NP Base SRL
AS61208,SCORTEL SRL
AS61334,Paynet Services SRL
AS62013,Societatea Comerciala Click-COM SRL
AS62071,Datahost SRL
AS62154,NOCTION S.R.L.
AS62232,Banca Comerciala MOLDOVA-AGROINDBANK SA
AS62281,VIDEOMAG SRL
AS62337,"S.C. ""TELE-LUCI"" S.R.L."
AS64453,SC LARITEX-TV SRL
AS8474,Riscom S.A.
AS8926,Moldtelecom SA
AS9199,RENAM Public Association
