ASN,Name
AS10076,ERDEMNET Mongolian National Research and Education Network
AS10109,"Topica LLC, Internet Service Provider,Ulaanbaatar, Mongolia"
AS10219,Skymedia Corporation
AS131240,Ultranet Zone LLC
AS133453,Mogul Service LLC
AS133851,Xacbank
AS134074,Golomt Bank
AS134356,"NBC Co.,Ltd"
AS135033,BodiSystems Co. Ltd
AS136936,ArigBank LLC
AS137511,Civil Aviation Authority of Mongolia
AS137982,BOW LLC
AS138907,KHAN BANK LLC
AS139089,MT Networks LLC
AS139579,Mongolsat Networks LLC
AS139650,Virtual Link LLC
AS139837,SHINE SANSAR CABLE LLC
AS141681,ONDO LLC
AS142539,Shunkhlai Group
AS151355,"Software operation, Foreign trade"
AS151637,Erdenet Mining Corporation
AS152299,Statebank of Mongolia
AS152337,National University of Mongolia
AS152692,Onlime Network LLC
AS154359,APU Company
AS17882,UNIVISION LLC
AS18172,ITSYSTEM LLC
AS24320,"Railcom - Commercial Center,"
AS24496,"GNET Co.,Ltd Internet Service Provider Mongolia"
AS24559,G-Mobile Corporation
AS38805,"STXCitinet, Leading Internet & VOIP Service Provider, Ulaanbaatar, Mongolia"
AS38818,YOKOZUNANET LLC
AS38869,Skynetworks LLC
AS45204,GEMNET LLC
AS45237,Magicnet LLC
AS45509,"BMDNET LLC, AS Content Service Provider Ulaanbaatar, Mongolia"
AS4850,Digicom LLC
AS55342,Homenet
AS55408,Univision LLC. To TTK STM1 UPSTREAM PROVIDER
AS55805,MobiCom Corporation
AS56293,Kewiko LLC
AS56301,National Data Center building
AS58439,ICNC LLC
AS58598,Mongolia
AS58625,GMobileNet LLC
AS58726,"# 203, Express tower"
AS63962,iTools JSC
AS9484,Mobinet LLC. AS Mobinet Internet Service Provider
AS9789,"Datacom Co.,Ltd"
AS9934,Mongolia Telecom
