ASN,Name
AS15397,One Crna Gora DOO
AS200276,ASP Co d.o.o
AS201649,Centralna Banka Crne Gore
AS201777,"Drustvo za telekomunikacije ""MTEL"" DOO"
AS202644,Wireless Montenegro D.O.O.
AS202799,SYSECT D.O.O.
AS203506,MINISTRY OF DEFENCE OF MONTENEGRO (MINISTARSTVO ODBRANE CRNE GORE)
AS203824,Info Sistemi d.o.o.
AS205942,Stolitomson Company DOO
AS208568,"Hipotekarna banka AD, Podgorica"
AS208856,FiberCom Ltd.
AS211211,IT-Develop DOO
AS214642,Alex Yopp
AS29453,Crnogorski Telekom a.d.Podgorica
AS40981,University of Montenegro
AS43940,"Drustvo za telekomunikacije ""MTEL"" DOO"
AS47451,"D.O.O.""Domen"" Drustvo za Proizvodnju,Promet i Usluge - Podgorica"
AS47881,One Crna Gora DOO
AS51434,MERCATOR-CG DOO Podgorica
AS51924,Adriatic Marinas d.o.o.
AS60861,D.O.O. Redcat
AS62301,IPMONT d.o.o. Podgorica
AS8585,Crnogorski Telekom a.d.Podgorica
