ASN,Name
AS25139,"TVCABO - Comunicacoes Multimedia, Lda"
AS30619,"TMCEL - Moçambique Telecom, SA"
AS31960,Eduardo Mondlane University
AS32017,SATCOM - Comunicacoes Satelite Limitada
AS327700,Mozambique Research & Education Network - MoRENet
AS327759,SGS MCNet Mocambique  Ltd
AS327951,Instituto Nacional das Comunicacoes de Mozambique
AS328187,"EDM - Electricidade de Moçambique, E.P."
AS328223,VOIPTECH LIMITADA
AS328274,"BIM - Banco Internacional de Mocambique, SA"
AS328460,"EYAZS-IMPERIUM, LDA"
AS328591,American International School of Mozambique
AS329310,Netmoz Sociedade Unipessoal Lda
AS329394,OneCloud LDA
AS329491,"Bubble Cloud Mozambique, SA"
AS329516,"Business Connexion Mozambique, LIMITADA"
AS329533,"WANDERPORT NETWORKS MOZAMBIQUE, SU, LDA"
AS329689,Iz Telecom Su Lda
AS36865,Teledata Mozambique
AS36945,"Mocambique Celular, SARL"
AS37110,Moztel LDA
AS37223,Vodacom Mocambique S.A
AS37342,"Movitel, SA"
AS37436,INTIC (National Institute of ICT)
AS37477,Mozabanco
AS37489,ABARI COMMUNICATIONS MOZAMBIQUE LDA
AS37556,Cilix Software
AS37697,"WEBMASTERS, LDA."
AS42235,INTRA DATA COMMUNICATION
