ASN,Name
AS131322,Yatanarpon Teleport Company Limited
AS132038,Royal Esprit Company Limited
AS132060,Hanthar Net
AS132100,"Myanmar Speed Net Co.,Ltd"
AS132148,HORIZON TELECOM INTERNATIONAL COMPANY LIMITED
AS132167,Nine Communications Company Limited
AS132344,SEANET
AS132537,LG
AS132686,Amara Communications
AS133384,"Global Technology Co., Ltd."
AS133385,Atom Myanmar Limited
AS133433,ZOOM PLUS COMPANY LIMITED
AS133440,ST.Net
AS133524,"Global Technology Co., Ltd."
AS134105,"Shwe Than Lwin Media Co.,Ltd."
AS134484,Ultra Net
AS134528,"MYANMAR PI TECHNOLOGY CO., LTD"
AS134714,Elite Telecom Public Company Limited
AS134736,"NTT MYANMAR CO., LTD."
AS134739,"AGB Communication Co., Ltd"
AS134840,"Myanmar Country Co., Ltd."
AS134976,Myint & Associates Telecommunications Ltd
AS135111,Asia Mega Link
AS135149,"Myanmar Technology Gateway Co., Ltd"
AS135300,"Myanmar Broadband Telecom Co., Ltd"
AS135307,Golden TMH Telecom Co. Ltd
AS135371,Fortune Broadband
AS135405,WELINK
AS135427,Myanmar Network Company Limited
AS135433,Connect Gateway Company Limited
AS135589,Internet Maekhong Network Company Limited
AS136168,Campana MYTHIC Co. Ltd.
AS136177,Yoma Bank Limited
AS136205,"LINN IT Solution Co., Ltd"
AS136210,IT Spectrum Company Limited
AS136229,"Treasure Chindwin Land Co.,Ltd"
AS136255,"Telecom International Myanmar Co., Ltd"
AS136442,"Ocean Wave Communication Co., Ltd"
AS136465,Dept. of Information Technology & Cyber Security
AS136474,Marga Global Telecom Limited
AS136480,Myanmar Unilink Communication Company Limited
AS136613,Ayeyarwady Bank
AS136617,Fortune Telecom Company Limited
AS136780,MYANMAR INFORMATION HIGHWAY LIMITED
AS136786,Information Beam Company Limited
AS136789,LOTUS MUDRA COMPANY LIMITED
AS136919,"FACE24 Co.,Ltd"
AS136975,Global Technology
AS137069,POSCO INTERNATIONAL CORPORATION (MYANMAR E&P OFFICE)
AS137259,i-Link
AS137424,"Integral Solutions Myanmar Co.,Ltd."
AS137431,ZORRO RITZ PUBLIC COMPANY LIMITED
AS137826,AST SYSTEM TECHNOLOGY COMPANY LIMITED
AS137861,Myanmar World Distribution Telecommunication Company Limited
AS137888,"Bee Connect Myanmar Co., Ltd."
AS137891,Be The First
AS137955,Myanmar Internet Exchange
AS138158,Serge Pun & Associate (Myanmar) Ltd.
AS138166,MaxxB Fiber Internet
AS138167,TrueNET
AS138168,MyanmarAPN
AS139003,Telcospeed
AS139051,AUNG GABAR COMPANY LIMITED
AS139058,TCL Net
AS139206,Pan Asia Majestic Eagle Ltd
AS139595,HTIN HTIN NETWORK COMPANY LIMITED
AS139620,MYANMAR TELECOMMUNICATION NETWORK PUBLIC COMPANY LIMITED
AS139692,CHEN GUANG COMPANY LIMITED
AS139704,"AGB Communication Co., Ltd"
AS139711,KANBAWZA BANK LIMITED
AS139719,Yar Chang Company Limited
AS139804,RED PALM COMPANY LIMITED
AS139822,GNE Company Limited
AS139849,Royal Esprit Company Limited
AS140091,SHWE MAHAR MAE KHONG INDUSTRIAL COMPANY LIMITED
AS140552,Co-operative Bank Public Company Limited
AS140617,THAN PHYO THU MINING COMPANY LIMITED
AS141015,Myanmar Link Telecommunication Ltd
AS141199,Century Link Plus
AS141216,GREAT GOLDEN HORSE COMPANY LIMITED
AS141236,Mandalay City Development Committee
AS141704,Galaxia @ Net
AS142126,SCSK Myanmar Ltd
AS142644,Link Fast Company Limited
AS149038,UNIQUE COMM GROUP COMPANY LIMITED
AS149487,MOC COMPANY LIMITED
AS149521,Fiber Life Internet
AS149660,Horizon Sources Company Limited
AS149810,AnyNet
AS149855,"AGB Communication Co., Ltd"
AS150153,A W S (MYANMAR) COMPANY LIMITED
AS150159,BRAINWAVE DATA COMPANY LIMITED
AS150285,"Long Mao Home Center Co.ltd.,"
AS150297,Golden Myanmar Business Exchange Co. Ltd
AS150309,E R S TECHNOLOGY
AS150310,Trustforce Myanmar Company Limited trading as Nationet
AS150692,Golden Dragon 2000
AS150721,ARAKHA NET
AS150797,GIGA-NET
AS150812,Myanmar Fortune Global Company Limited
AS151210,NEXGENET COMPANY LIMITED
AS151341,The Next Success
AS151342,East Boy Engineering Company Limited
AS151482,MKTN ENGINEERING GROUP COMPANY LIMITED
AS151491,Innovative Quality Internet Company Limited
AS151606,MYANMAR SHWE PYI AYE COMPANY LIMITED
AS151783,EASTERN ROYAL UNICOM (ERU) TECHNOLOGY COMPANY LIMITED
AS151802,"FIND SOLUTION AND SERVICES CO., LTD."
AS151826,Fast Speed
AS151965,Hepta Alliance Technology Group
AS152140,"YAM Success of Myanmar Co., Ltd."
AS152329,Aon Kham Network Company Limited
AS152447,My Mandalay Company Limited
AS152466,T-Link Group Company Limited
AS152634,Goal Link ISP
AS153044,"MYANMAR SKY CITY NETWORK COMMUNICATION Co.,Ltd"
AS153319,Information Beam Australia
AS153549,MUI Technology Company Limited
AS153777,Mandalar Mandalay Company Limited
AS153790,ADS Myanmar Company Limited
AS153837,Global Technology Company Limited
AS153998,Myanmar Citizens Bank Public Company Limited
AS154020,SAM MOUK MO Company Ltd
AS154481,Tachileik Jade Dragon Company Limited
AS18399,Yatanarpon Teleport Company Limited
AS45558,MYANMA POSTS AND TELECOMMUNICATIONS
AS58952,Frontiir Co. Ltd
AS63852,Myanmar Net
AS63998,Kinetic Myanmar Technology
AS9988,Myanma Posts and Telecommunications
