ASN,Name
AS20459,Telecom Namibia
AS22735,Government of the Republic of Namibia
AS327694,NamPower
AS328506,Radio Electronic (Proprietary) Limited
AS329067,Click Cloud Hosting Services CC
AS329395,Rocketnet Internet Namibia Pty Ltd
AS329400,Loc Eight Mobile (Pty) Ltd
AS329626,Oryx Fibre Infrastructure (Pty) Ltd
AS329665,NamPower
AS36877,Africa Online (Africa) (Pty) Ltd
AS36996,Telecom Namibia
AS36999,Telecom Namibia
AS37009,"MTC - Mobile Telecommunications, Ltd."
AS37026,Salt Essential Information Technology
AS37201,Bank Windhoek
AS37513,Namibia University of Science and Technology
