ASN,Name
AS131266,Udaya Cable Network Pvt. Ltd.
AS131341,"Department of Information Technology, Government of Nepal"
AS132210,Ashwins Medical College and Hospitals Pvt. Ltd.
AS132270,Nabil Bank Limited
AS132407,Verisk Nepal Pvt. Ltd.
AS132799,DISH MEDIA NETWORK PUBLIC LIMITED
AS132856,Kathmandu University
AS132877,Kalash Services Pvt Ltd
AS133092,F-1 Soft International Pvt Ltd
AS133128,Machhapuchchhre Bank Limited
AS133149,Konnect Nepal Networks Pvt Ltd
AS133179,Syntegrate
AS133190,eSewa Private Limited
AS133923,Kantipur Publications Limited
AS133925,Global IME Bank Limited
AS134467,Syangja Media
AS134504,Everest Link Pvt. Ltd
AS134951,"Ministry of Finance, Government of Nepal"
AS134995,I. ZONE PVT. LTD
AS135043,Chitrawan Unique Net Private Limited
AS135044,Bihunkot Internet Private limited
AS135303,N.I.T.V Streamz Pvt. Ltd
AS135327,Asianet
AS135334,Umrao Datacenter Pvt Ltd
AS135335,Max Net Solutions Pvt Ltd
AS135337,Cloud Himalaya Pvt Ltd
AS136047,Info Developers Pvt. Ltd.
AS136219,PRABHU BANK LIMITED
AS136380,Web Networks Pvt. Ltd.
AS136461,Virtual Network Pvt.Ltd
AS136477,P.D.S. Server Network Pvt. Ltd.
AS136530,Ultranet Communications
AS136776,Classic Tech Transit
AS136794,Agricultural Development Bank Ltd
AS136905,Eastlink Technology Pvt Ltd
AS136908,Sky Broadband Pvt. Ltd
AS136979,SANIMA BANK LIMITED
AS137080,Firstlink Communications Pvt. Ltd.
AS137187,WorldLink Communications
AS137209,Oasis Broadband Internet Pvt. Ltd.
AS137521,Kath Codex Pvt. Ltd.
AS137580,Everest Wireless Network pvt. ltd
AS137880,Prime Network Pvt.ltd
AS137978,CDS and Clearing Ltd
AS138350,PRABHU DIGITAL PUBLIC LIMITED
AS138388,Pokhara Internet Pvt. Ltd.
AS138495,Alisha Communication Link Pvt.Ltd
AS138500,FIBERTEL FIBERNET PVT. LTD
AS138546,Ncell Pty. Ltd.
AS138605,NIC ASIA Bank
AS138933,Fiber Net Communication Pvt. Ltd.
AS138964,Barahi Internet Technologies Pvt. Ltd.
AS139022,NEPAL RASTRA BANK
AS139224,Limpid ICT Solution Pvt. Ltd
AS139237,Nepal Police
AS139256,National Information Technology Center
AS139261,Metrolink Business Group Pvt Ltd
AS139701,Plasma Technologist Pvt Ltd
AS139741,World Fiber Net Pvt. Ltd.
AS139902,SURKHET CABLE NET T.V. PVT. LTD.
AS139922,DISH MEDIA NETWORK PUBLIC LIMITED
AS140050,Next Geekers Pvt. Ltd.
AS140072,Fiberworld Communication Pvt.ltd
AS140324,Airlink Communication Service Provider Pvt. Ltd.
AS140840,L.D Infinity Pvt Ltd
AS140948,Neo Link Pvt. Ltd.
AS140989,Broad Band Nepal Pvt. Ltd.
AS141024,Big Marshyangdi Net Pvt. Ltd.
AS141032,Nepalink Communication Pvt. Ltd.
AS141047,Nepal Digital Service Pvt. Ltd.
AS141177,VIA NET COMMUNICATION LTD
AS141189,Meta Link Private Limited
AS141240,Nepal Investment Bank Limited
AS141410,Airson Internet Pvt Ltd
AS141691,Waling Internet Pvt. Ltd.
AS141732,Aone Network Pvt. Ltd
AS141767,C G Communications Pvt. Ltd
AS142008,Nepal Digital Payments Company Limited
AS142053,Infonet Communication Private Limited
AS142065,Wifi Nepal Private Limited
AS142297,Smart Link Network Pvt Ltd
AS142606,Shangrila Informatics Private Limited
AS142621,Nepal Payment Solution Pvt. Ltd.
AS146947,Nimble Network Pvt Ltd
AS147184,Lumbini Max
AS148979,Fiberworld Communication Pvt. Ltd.
AS149034,Unite Networks
AS149037,Mavorion Systems
AS149631,IOE Pashchimanchal Campus
AS149652,Nepal Bank Limited
AS149817,Cloud Eight International Pvt. Ltd.
AS149866,Super Sitapaila Cable Net Pvt. Ltd
AS150131,D.G. Link Network Pvt Ltd
AS150133,Made Infotech Pvt Ltd
AS150138,Nepal Electricity Authority
AS150331,Beni Communication Private Limited
AS150424,Janaki Net Link
AS150691,Prime Commercial Bank Ltd
AS150780,Kumari Bank Limited
AS151207,Khalti Private Limited
AS151393,Nepal Network Information Center Pvt. Ltd.
AS151396,Sajilo Net Pvt Ltd
AS151480,Dataspace Pvt. Ltd.
AS151663,Islington College Pvt. Ltd.
AS151798,SmartLink Telecommunications Private Limited
AS152178,Sahaj Network Pvt. Ltd.
AS152307,DataWorld
AS152448,Global Trading And IT Solution Pvt. Ltd.
AS152677,GRS Link
AS152691,Civil Aviation Authority of Nepal
AS152736,Sinko IT Engineering Pvt. LTD
AS153566,Rem Work Technologies Private Limited
AS153694,Silverlining Private Limited
AS153765,Nepal Net Private Limited
AS153861,NMB Bank Ltd.
AS153885,Interweb Network Pvt.Ltd.
AS154038,Shikhar Net Pvt. Ltd.
AS154096,eSewa Private Limited
AS154237,Swift Technology Pvt. Ltd.
AS154259,Workalaya R. And D. Private Limited
AS154274,Digital Network Solution Pvt. Ltd.
AS154541,Fonepay Payment Service Limited
AS17412,Internet Exchange Nepal
AS17501,WorldLink Communications Pvt Ltd
AS18222,Data Hub Pvt. Ltd.
AS23647,Communications & Communicate Nepal Pvt Ltd
AS23672,IBSS Nepal Internet
AS23752,"Nepal Telecommunications Corporation, Internet Services,"
AS24474,Nepal Internet Exchange NP Anycast
AS24504,Computer Land Communications Global AS
AS24550,Websurfer Nepal Internet Service Provider
AS38565,Ncell Pvt. Ltd.
AS4007,"Subisu Cablenet (Pvt) Ltd, Baluwatar, Kathmandu, Nepal"
AS45157,Mercantile International Transit Services
AS45170,Nepal Research and Education Network
AS45274,WorldLink International Transit Services
AS45353,NITC: IT Agency of Government of Nepal
AS45424,Network Pool Allocated for HONS Network
AS45494,NREN ASN for Misc. Root Servers and Community
AS45650,VIA NET COMMUNICATION LTD.
AS45845,NEPAL INTERNATIONAL INTERNET GATEWAY
AS4613,Mercantile Office Systems
AS55427,Broadlink Nepal
AS55915,Classic Tech Pvt. Ltd.
AS58433,Himalayan Bank Ltd.
AS58456,"Institute of Engineering, Pulchowk Campus"
AS58504,TECHMINDS NETWORKS PVT. LTD.
AS59370,Access World Tech Pvt. Ltd.
AS63991,Arrownet Pvt.Ltd
