ASN,Name
AS1101,SURF B.V.
AS1102,SURF B.V.
AS1103,SURF B.V.
AS1104,Stichting Nederlandse Wetenschappelijk Onderzoek Instituten
AS1124,Universiteit van Amsterdam
AS1126,Vancis Advanced ICT Services
AS1128,SURF B.V.
AS1133,SURF B.V.
AS1136,KPN B.V.
AS1140,Stichting Internet Domeinregistratie Nederland
AS1145,SURF B.V.
AS1147,SURF B.V.
AS1149,SURF B.V.
AS1152,SURF B.V.
AS1161,SURF B.V.
AS1199,SURF B.V.
AS1200,Amsterdam Internet Exchange B.V.
AS12315,Quality Service Provider BV
AS12414,Solcon Internetdiensten B.V.
AS12459,NETOPS B.V.
AS12595,Onworx BV
AS12654,Reseaux IP Europeens Network Coordination Centre (RIPE NCC)
AS12666,InterXion Headquarters B.V.
AS12859,BIT BV
AS12871,KPN B.V.
AS12902,Ekco B.V.
AS12945,Gamepoint B.V.
AS12967,AT&T Global Network Services Nederland B.V.
AS12980,AT&T Global Network Services Nederland B.V.
AS13127,Odido Netherlands B.V.
AS13136,Interstroom Informatietechnologie BV
AS13169,ABN AMRO Bank N.V.
AS13266,Havenbedrijf Rotterdam n.v.
AS136175,Serverhosh Internet Service
AS137509,Kersip Operations LLC / Samuel SSH Network
AS142289,Roxonic Systems
AS142592,Greenhost BV
AS142597,Don Pablo
AS152460,Greenhost BV
AS15435,DELTA Fiber Nederland B.V.
AS15447,CM.com N.V.
AS15466,Commando Materieel en IT
AS15535,Virtual Access Internet BV
AS15562,Job Snijders
AS15625,ING Bank N.V.
AS15670,Odido Netherlands B.V.
AS15693,Today Concepts B.V.
AS15695,Expereo International BV
AS15703,TrueFullstaq B.V.
AS15791,Ram Mobile Data (Netherlands) B.V.
AS15830,Equinix (EMEA) Acquisition Enterprises B.V.
AS15840,AT&T Global Network Services Nederland B.V.
AS15879,Vancis IP B.V.
AS15916,ABN AMRO Bank N.V.
AS15966,Emango Internet Services B.V.
AS16074,Capgemini Nederland B.V.
AS16089,iPublications Holding B.V.
AS16147,Politie Nederland
AS16177,equensWorldline SE
AS16243,Virtu Secure Webservices B.V.
AS16265,LeaseWeb Network B.V.
AS16266,Canon Europa N.V.
AS16278,Accenture B. V.
AS16281,Utelisys Communications B.V.
AS16289,ING Bank N.V.
AS16298,Lubbers Box Telematica BV
AS16350,Root Holding B.V.
AS18607,Gustav Caplan
