ASN,Name
AS10022,Internet access for Datacom Systems Auckland
AS10110,Manukau Institute of Technology
AS131168,Windcave Limited
AS131174,Two Degrees Mobile Limited
AS131187,Teritary Education Commission
AS131196,Enable Networks
AS131198,Mediatribe Limited
AS131202,Gravity Internet Ltd
AS131239,Auckland Council
AS131254,Northpower Ltd
AS131261,Lizrd 2015 Limited
AS131272,Open Polytechnic
AS131287,Yonder.Co.Nz Limited
AS131291,LANWorx Limited
AS131296,REXNETWORKS LIMITED
AS131318,Wialus Solutions Limited
AS131323,Honda New Zealand Ltd
AS131583,WIZwireless Limited
AS132003,Network Research Lab
AS132027,Hastings District Council
AS132040,Vital Data Ltd
AS132042,Manux Networks Ltd
AS132058,VIAN Limited
AS132083,FOUNDATION CLOUD SERVICES LIMITED
AS132125,Braintrust Ltd
AS132130,TRIKO SECURITY LIMITED
AS132143,Harbour City Security Limited
AS132161,vGRID Limited
AS132174,Matrix Security Group Limited
AS132231,Network For Learning Limited
AS132238,Array Health
AS132240,Plan-b Ltd
AS132255,PrimoWireless Ltd
AS132264,Callaghan Innovation
AS132268,Velocity Net Limited
AS132284,Radio New Zealand
AS132347,MikiPro Ltd
AS132409,Museum of New Zealand Te Papa Tongarewa
AS132449,Wireless Nation
AS132450,New Era IT Ltd
AS132509,Solarix Networks Limited
AS132534,Healthlink Limited
AS132583,ASI Solutions Limited
AS132588,Yrless Ltd
AS132692,GlobiCom Limited
AS132695,Optimation New Zealand Limited
AS132697,Accelero Limited
AS132712,Daifuku Oceania
AS132722,Intellium Technology Limited
AS132723,Tararua District Council
AS132727,Strata Networks Ltd
AS132744,The Virus Centre Ltd
AS132745,Blast Internet Ltd
AS132815,Evolution Wireless Ltd
AS132822,Fidelity Life Assurance Company Limited
AS132840,Neos Systems Limited
AS132857,FULL FLAVOUR LIMITED
AS132875,National Pacs Limited
AS132881,OmniNet Ltd
AS132887,Counties Energy Limited
AS132898,CHORUS NEW ZEALAND LIMITED
AS133043,Enhanced Solutions Ltd
AS133075,Telesmart Limited
AS133090,Fusion Networks
AS133096,MOTHERSHIP
AS133108,Wanganui District Council
AS133124,Spark Ventures
AS133154,Gisborne District Council
AS133187,Ashnet Limited
AS133188,MWH Sydney POP
AS133192,Ultimate Mobile limited
AS133214,Justinternet Limited
AS133218,Network Edge NZ Limited
AS133370,TODD ENERGY LIMITED
AS133393,Naki Host Limited
AS133396,TEAMnetwork Systems Ltd
AS133399,HI-TECH SOLUTIONS LIMITED
AS133451,PC Soft Limited
AS133455,SKYCITY Entertainment Group Limited
AS133499,HostRoyale Technologies Pvt Ltd
AS133532,ASN for .nz InternetNZ Registry Content
AS133537,Downer New Zealand Limited
AS133578,DOERS NETWORKS LIMITED
AS133604,MidCentral District Health Board
AS133608,Liverton Security Limited
AS133636,Fisheye Limited
AS133729,Equinox Limited
AS133741,Waka Kotahi NZ Transport Agency
AS133745,InternetNZ
AS133785,KeepItSafe New Zealand Limited
AS133857,Callaghan Innovation
AS133870,Brand Developers Limited
AS133878,UNICOM NEW ZEALAND LIMITED
