ASN,Name
AS18840,EQUIPOS Y SISTEMAS S.A.
AS19447,ALFANUMERIC
AS214969,Servicios Aplicaciones Moviles SA
AS25607,IBW Communications
AS262185,"BANCO LAFISE BANCENTRO, S.A"
AS262243,"Ufinet Nicaragua, S.A."
AS263177,METRONET S.A.
AS263201,AIRPAK INTERNACIONAL NICARAGUA S.A
AS263751,"CASAVISION, S.A."
AS263760,"Cóndor Comunicaciones, S.A."
AS263765,"XINWEI INTELCOM.NIC, S.A."
AS264609,TECOMUNICA NICARAGUA
AS267797,EMPRESA NACIONAL DE TRANSMISIÃN ELÃCTRICA (ENATREL)
AS271938,Gavarrete Guadamuz y CompaÃ±Ã­a Limitada
AS274013,SERVICIOS DE INTERNET Y TELECOMUNICACIONES SOCIEDAD ANONIMA
AS27742,Amnet Telecomunicaciones S.A.
AS27761,Cablenet S.A
AS27811,Banco Avanz S.A.
AS27905,Banco de Finanzas
AS27999,"Banco de la ProducciÃ³n, S.A."
AS28036,Telefonia Celular de Nicaragua SA.
AS52242,Yota De Nicaragua
AS52298,"SINRIESGOS, S.A."
AS52501,Telefonia Celular de Nicaragua SA.
AS61513,BANCO DE FOMENTO A LA PRODUCCION
