ASN,Name
AS16284,Inq. Digital Nigeria
AS214354,SiteHUB Agency Ltd
AS215340,Huize Telecom Limited
AS25163,21st Century Technologies Limited
AS29091,ipNX Nigeria Limited
AS29465,MTN NIGERIA Communication limited
AS30984,Mainone Cable Company
AS30988,IS InternetSolutions Limited
AS30998,Netcom Africa Limited
AS327705,"Federal University of Technology, Akure(FUTA)"
AS327721,Interswitch Limited
AS327729,Babcock University
AS327763,BOWEN UNIVERSITY
AS327784,Fidelity Bank PLC
AS327803,Coscharis Technologies
AS327891,Nanocom International Ltd
AS327895,Megafast Networks LTD
AS327898,CBC EMEA LTD
AS327924,EXCELSIMO NETWORKS LIMITED
AS327942,LANDMARK UNIVERSITY OMU-ARAN
AS327953,ABUJA ELECTRICITY DISTRIBUTION PLC
AS327981,Ekovolt Telco Limited
AS327985,IDS Africa Limited
AS327986,GUTTI GLOBAL NETWORKS
AS328027,Sahara Group Limited
AS328035,Zeta-web Nigeria Limited
AS328053,Sterling Bank Plc
AS328081,HollaTags Limited
AS328128,Tehilah Base Digital LTD
AS328131,Webb Fontaine Nigeria Limited
AS328160,Dotmac Technologies Limited
AS328171,TREFOIL NETWORKS LTD
AS328175,Xpress Payment Solutions Limited
AS328183,Nigerian Ports Authority
AS328188,Covenant University
AS328189,ECOBANK NIGERIA LIMITED
AS328203,Platinum Index Data Communications Ltd
AS328221,CORALPAY TECHNOLOGY (NIGERIA) LIMITED
AS328240,DANGOTE INDUSTRIES LIMITED
AS328256,Skymax Integrated Network Ltd
AS328305,Yappingo Nigeria Limited
AS328324,Federal University of Agriculture
AS328332,First Exploration and Petroleum Development Company Limited
AS328357,Castlenet Consulting Limited
AS328376,ALFA O AND O VENTURES LTD
AS328387,COZ Internet Ltd
AS328401,Soft Alliance and Resources Limited
AS328419,Bayero University
AS328447,EKO Electricity Distribution PLC
AS328451,IP Express Ltd
AS328457,Brainshare Technologies and Services Nigeria Limited
AS328496,CyberSOC Africa Limited
AS328497,Ibadan Electricity Distribution Company Plc
AS328503,Living Faith Church WorldWide
AS328516,Premium Pension Limited
AS328527,PDS Networks Nigeria Limited
AS328528,NetIT Solutions LTD
AS328555,Timeless Network Services Ltd
AS328556,SYSCODES COMMUNICATIONS LIMITED
AS328580,O'Play Digital Services Limited
AS328585,MegaMore Wireless Broadband Limited
AS328609,Axa Mansard Insurance PLC
AS328613,Trakatel Limited
