ASN,Name
AS12996,Domeneshop AS
AS13243,TIETOEVRY NORWAY AS
AS15659,NextGenTel AS
AS15765,Tafjord Connect AS
AS15932,TELENOR LINX AS
AS16065,Bryhni.com AS
AS16175,Signal Bredband AS
AS16185,MODUM KABEL-TV AS
AS16186,IP Group AS
AS1770,Ringstad Consulting ENK
AS197212,Ardalsnett AS
AS197475,Petabit AS
AS197519,ADVANIA NORGE AS
AS197943,Telenor Norge AS
AS198186,Sondre Hoslemo
AS198204,Samlerhuset Norge AS
AS198309,Telia Norge AS
AS198368,EPROVIDER AS
AS198931,ADVANIA NORGE AS
AS198992,Opera Software International AS
AS199169,SECTOR ALARM TECH AS
AS199339,Bulk Infrastructure Holding AS
AS199632,Nikolai Stensen
AS199672,Eidsiva Energi AS
AS199791,Embriq AS
AS199821,ITsjefen AS
AS199852,Joachim Tingvold
AS199900,Bedriftssystemer AS
AS199990,LOCALHOST AS
AS200037,Otrobanda AS
AS200139,Statens Vegvesen
AS200163,Move AS
AS200168,Telenor Norge AS
AS200665,Hammerfest Energi Bredbaand AS
AS200693,Kongsberg Satellite Services AS
AS200781,Tampnet AS
AS200782,Yinson Production AS
AS200915,More og Romsdal fylkeskommune
AS201098,IKT NORDFJORD
AS201419,Buypass AS
AS201454,Upheads AS
AS201577,Monsternett AS
AS201596,3NET AS
AS201627,DNB BANK ASA
AS201656,Helgeland Kraft AS
AS201822,Buypass AS
AS201888,Cegal AS
AS202008,DATEK INSTALLASJON AS
AS202039,Bjorn Ludvig Langaas Johansen
AS202057,Moelven Modus AS
AS202060,viddy Networks - Marius Eikenes
AS202128,ITEAM 10 AS
AS202174,FLOW RETAIL AS
AS202204,Trollfjord Bredband AS
AS202230,Norsk Tipping AS
AS202311,Noki Eiendom AS
AS203238,Viken Fiber AS
AS203343,StormGeo AS
AS203415,Jorgen Sovik
AS203424,TUSSA IKT AS
AS203580,NORDLAND FYLKESKOMMUNE
AS203650,ITEAM 1 AS
AS203659,Provendo AS
AS203673,Alesund Kommune
AS203733,BINERO TROMSO AS
AS203779,NORDFIBER AS
AS203823,ITEAM 10 AS
AS203995,Lyse Tele AS
AS204027,Registerenheten i Bronnoysund
AS204224,Heimnett AS
AS204228,Jan Egil Vestbo
AS204503,INFRANORD SA
AS204511,Upheads AS
AS204712,Duett AS
AS204734,Hvaler kommune
AS204785,Raul Ghita trading as 'Ghita Telekom'
AS204901,Christoffer Aasum Unes
AS204996,Telemix AS
AS205043,Andreas Martin Steiro
AS205101,STAVANGER KOMMUNE
AS205190,AKSA HJEM AS
AS205238,TIMEIT AS
AS205851,Inventum Ost AS
AS205945,BASIS.NO AS
AS205976,Arribatec Cloud AS
AS206133,Circle K AS
AS206145,Sunndal kommune
AS206260,Svorka AS
AS206557,Eltele AS
AS206667,JOTTA GROUP AS
AS206725,LOTTERI OG STIFTELSESTILSYNET
AS206897,SOPRA STERIA AS
AS206993,A ENERGI AS
AS207189,SANDEFJORD LUFTHAVN DRIFT AS
AS207346,Dustin Norway AS
AS20741,Administrator Systems AS
AS207441,NORSK HYDRO ASA
AS207464,Varanger KraftFiber AS
AS207659,Cegal AS
AS207674,STO AS
AS207788,YOLO COLO AS
AS207824,KNUT PETTER OLBERG
AS207851,Fara AS
AS208042,Netsolution Vestfold og Telemark AS
AS208045,Domeneshop AS
AS208086,Digitaliseringsdirektoratet
AS208202,Fiberverket AS
AS208263,Harstad Kommune
AS208512,RF Nett AS
AS208686,Nordic Servers AS
AS208692,Kripos
AS208835,InfraNord Fiber AS
AS208869,sharptech DA
AS208966,Sortland Elektro AS
AS209293,AKER BP ASA
AS209404,Cyberon Security AS
AS209512,Alex Thomassen
AS209568,F24 NORDICS AS
AS209861,Christoffer Aasum Unes
AS209903,Conscia Norge AS
AS209965,MULTINETT AS
AS209980,Marlink AS
AS210150,Voss Fiber AS
AS210152,Jon Vanvik trading as Vanvik Internet
AS210307,NAGRAVISION AS
AS210314,Marlink AS
AS210475,Jon Vanvik trading as Vanvik Internet
AS210615,Alta kommune
AS210942,SECTOR ALARM TECH AS
AS211119,Rignet AS
AS21119,iteam Braathe AS
AS211309,Obos Nett AS
AS211474,Safey AS
AS2116,GLOBALCONNECT AS
AS21171,Vend Marketplaces ASA
AS211753,IMC AS
AS2119,Telenor Norge AS
AS212064,Tolletaten ORGL
AS212252,VIDAR TESSEM trading as VT KONSULENT TESSEM
AS212449,Erate AS
AS212500,Surfnett AS
AS212514,SpanningNetworks AS
AS212642,Runnane Jon Tungland
AS212665,Sandefjord Fiber AS
AS212765,Obos Nett AS
AS21293,Norsk Rikskringkasting AS
AS213043,Asyncronous Transfer Mode Communication AS
AS213148,Harbour Energy Norge AS
AS213158,Nittedal Kommune
AS21331,"Oslo kommune, Utviklings- og kompetanseetaten"
AS213469,Asker Kommune
AS213715,Oris Dental Holding AS
AS213839,RIPE NCC ASN block
AS213957,LILLESTROM KOMMUNE ORGANISASJON OG NYSKAPING
AS213998,Piotr R. Antos trading as EQUITIA
AS214486,Jo Christian Skrede Buvarp
AS214615,TECHHEDGE LABS ANS
AS214639,Raul Ghita trading as 'Ghita Telekom'
AS214645,Bjarne Nilsson
AS214659,Nscale Glomfjord AS
AS214667,IXT AS
AS214710,nLogic AS
AS214761,Foreach AS
AS214909,Sverre Sognnaes
AS214917,Zeroize
AS215295,Skyfritt AS
AS215336,Hovedkvarteret IT AS
AS215382,Rokas Pettersen
AS215542,NOVA SPEKTRUM AS
AS215574,Kjetil Pettersen
AS215682,Nscale Glomfjord AS
AS215769,Eigil Obrestad
AS216091,eth0 AS
AS216374,Hardanger Breiband AS
AS216448,Bane NOR SF
AS224,SIKT - KUNNSKAPSSEKTORENS TJENESTELEVERANDOR
AS24039,Marlink AS
AS25016,Utenriksdepartementet
AS25148,Orange Business Digital Norway AS
AS25225,CGI Norge AS
AS25400,Telia Norge AS
AS28795,ELKEM AS
AS28824,EMP SECURE AS
AS29300,BAHNHOF AS
AS29479,Transdata AS
AS29492,EIDSIVA DIGITAL AS
AS29607,Henning Solberg
AS29695,Lyse Tele AS
AS30737,Safety Computing AS
AS30950,Eviny Fiber AS
AS31096,Bandit Holding AS
AS31169,Sognenett AS
AS31264,ADVANIA NORGE AS
AS31726,Telefiber AS
AS33976,Schibsted Media AS
AS34087,NTE TELEKOM AS
AS34100,Stortinget
AS34822,NEP Norway AS
AS34989,ServeTheWorld AS
AS35094,GLOBALCONNECT AS
AS35120,WORKING GROUP TWO AS
AS35132,Enivest AS
AS35157,TELECOM HOLDING 3 AS
AS35703,TV 2 AS
AS35754,IMC AS
AS38990,Agnitio AS
AS39029,Redpill Linpro AS
AS39236,Nedre Romerike vann- og avlopsselskap IKS
AS39783,Webhuset AS
AS39787,TV 2 AS
AS39832,Opera Norway AS
AS41049,Xait AS
AS41164,Telia Norge AS
AS41729,Atea AS
AS41869,Blix Group AS
AS41949,VIEW Groupe ITC AS.
AS42029,SECTOR ALARM TECH AS
AS42175,Equinor ASA
AS43200,TUSSA IKT AS
AS43516,Felleskjopet Agri SA
AS43568,VEV Romerike AS
AS43905,SPACE NORWAY SATCOM AS
AS44381,ITsjefen AS
AS44457,Lovenskiold Handel AS
AS44511,PE SLAEN SYGARD
AS44654,VIXLY AS
AS44763,NATIONAL OILWELL NORWAY AS
AS44764,Bitpro
AS44933,Marlink AS
AS47405,NASJONAL SIKKERHETSMYNDIGHET
AS47753,ONIT AS
AS48144,Network Technology Harald Firing Karlsen
AS48335,Thales Norway AS
AS48469,mnemonic AS
AS48680,Netpower IT Solutions AS
AS48863,NEAS ENERGI TELEKOM AS
AS48908,Steinar H. Gunderson
AS49082,ZONES AS
AS49193,Unifon AS
AS49214,MIDT ENERGI AS
AS49278,IKT-KAPASITETER
AS49409,IVER NORGE AS
AS49455,Telia Norge AS
AS49574,ECIT SOLUTIONS AS
AS49586,Intility AS
AS49788,Nexthop AS
AS49952,Bluestone AS
AS50213,Underworld
AS50217,Vestland Fylkeskommune
AS50229,Rignet AS
AS50270,Nasjonal kommunikasjonsmyndighet
AS50272,AVUR AS
AS50304,Blix Solutions AS
AS50531,ABAX as
AS50562,IT PAYS AS
AS50582,Bent Oystein Bostad
AS51850,NAME UNIT LIMITED
AS52157,NEAS ENERGI TELEKOM AS
AS5377,Marlink AS
AS5485,SMARTHELP AS
AS55784,MARLINK AU-SYD
AS5619,Tietoevry Norway AS
AS56538,Blix Group AS
AS56655,Gigahost AS
AS56828,Norsk Helsenett SF
AS57280,Lindbak IT AS
AS57381,Daniel Husand
AS57423,Sigterm AS
AS57506,POLITIETS IT-ENHET
AS57660,Com4 AS
AS57829,IVER NORGE AS
AS58005,F24 NORDICS AS
AS58264,Austevoll Kraftlag BA
AS58298,Cisco Systems Norway AS
AS58302,Studentersamfundet i Trondhjem
AS59438,Increo AS
AS59562,Sensio AS
AS59720,Bofiber AS
AS59767,Netnordic Group AS
AS59863,Norsk Regnesentral
AS59978,Hafslund Kraft AS
AS60052,Forsvarsdepartementet
AS60130,Nexthop AS
AS60163,KEKLOLWTF AS
AS60270,Justis- og beredskapsdepartementet
AS60278,Helse Vest IKT AS
AS60586,Securitas AS
AS60717,Nexthop AS
AS60848,mnemonic AS
AS60908,Sucom AS
AS61006,Bredbandsfylket AS
AS61213,Visma Software International AS
AS61227,Nexthop AS
AS61275,NEAS ENERGI TELEKOM AS
AS61292,Blix Group AS
AS62002,Rissa Kraftlag SA
AS62186,Gjovik Kommune
AS62225,Viken Fiber AS
AS64401,Rignet AS
AS64424,NETSECURITY AS
AS64440,Kongsberg Aviation Maintenance Services AS
AS6829,Vestland Fylkeskommune
AS8264,Marlink AS
AS8478,GIG Networks AS
AS8542,Eviny Fiber AS
AS8841,Marlink AS
AS8896,GLOBALCONNECT AS
AS9207,Marlink AS
