ASN,Name
AS15679,"Ministry of Transport, Communication, and Information Technology"
AS201684,Oman Data Park SAOC
AS202655,Ministry of Education (MOE)
AS204170,Awaser Oman LLC
AS204974,Petroleum Development Oman LLC
AS205171,The Cloud Data Center LLC
AS206350,Oman Research and education Network (OMREN)
AS207865,Social Protection Fund
AS209576,Duqm Data Centre SAOC
AS210962,Business Integrated Operating Systems SPC
AS211889,Alizz Islamic Bank SAOC
AS212661,Oman Future Telecommunications Company SAOC
AS214982,Awaser Oman LLC
AS216397,Golden Dragon LLC
AS28885,Oman Telecommunications Company (S.A.O.G)
AS50010,Omani Qatari Telecommunication Company SAOC
AS60680,Telecommunications Regulatory Authority (TRA)
