ASN,Name
AS10112,THE VALUE HOSTED (PVT.) LIMITED
AS131220,FINCA Microfinance Bank Limited
AS131275,Logon Broadband Pvt. Limited
AS131471,Login.Me (Pvt) Ltd
AS132103,Bytenests Pvt Ltd
AS132165,Connect Communications
AS132386,Usman Internet Service Provider Private Limited
AS132741,National Communications Services (SMC-Private) Limited
AS132788,MOBILINK IT AS
AS132872,Data Check Limited
AS132891,SARFRAZ TEXTILE MILLS (PRIVATE) LIMITED
AS133369,Netpoint IT & Communications Pvt. Ltd
AS133495,Vision telecom Private limited
AS133502,Linkdotnet Telecom Limited
AS133551,OriginNet
AS133932,Chapal (Pvt.) Limited
AS133933,NetSat Private Limited
AS134231,Elite Communication Private Limited
AS134357,Fauji Fertilizer Company Limited
AS134489,S. B Link Network
AS134596,WICLOUD PVT LTD.
AS134663,I-WEB
AS134737,Net-Cloud Telecom Private Limited
AS135003,Multan Cable & Internet Services (Pvt) Ltd
AS135046,TAIZTEL (PRIVATE) LIMITED
AS135115,OCEAN FIBERS AND BROADBAND PRIVATE LIMITED
AS135123,Samba Bank Limited
AS135384,Khyber Internet Services Provider Pvt. Ltd.
AS135407,Trans World Enterprise Services (Private) Limited
AS135523,Multinet Broadband
AS135567,AirMax Private Limited
AS135632,Cactus Network Solutions (CNS) Pvt Ltd
AS135660,ROUTE 1 DIGITAL (PVT.) LIMITED
AS135661,Superior Connections private limited
AS136012,Telenor Microfinance Bank Limited
AS136030,Redtone Telecommunications Pakistan (Private) Limited
AS136142,Enigma Fiber Pvt Ltd
AS136174,The Professional Communications Pvt Ltd
AS136184,Y LINX (PVT.) LIMITED
AS136225,Smart Telecom
AS136259,FAYSAL BANK LIMITED
AS136384,Optix Pakistan (Pvt.) Limited
AS136427,MCB-ARIF HABIB SAVINGS AND INVESTMENTS LIMITED
AS136525,Wancom (Pvt) Ltd.
AS136602,Bank Al Habib Limited
AS136610,WideBand Communications(Pvt)Ltd
AS136730,INTERMARKET SECURITIES LIMITED
AS136969,KK Networks (Pvt) Ltd.
AS136974,Technology Communications & Supplies (Private) Limited
AS137014,Interwood Mobel Pvt Ltd
AS137047,TELECOMMUNICATION AND TECHNOLOGY MASTERS (PVT.) LIMITED
AS137258,Shirazi Investments Pvt Ltd.
AS137265,MCB Islamic Bank
AS137273,X1 NETWORKS (PRIVATE) LIMITED
AS137430,loomnet private limited
AS137461,The Bank of Punjab
AS137481,M3 Technologies Pakistan Pvt. Ltd
AS137513,HBL Bank Pvt Ltd.
AS137517,FLAMEHOSTING INC
AS137561,WAYLINK
AS137910,Wavecomm (Private) Limited
AS138019,Punjab Safe City Authority
AS138039,Broadband Business Ideas (PVT.) Limited
