ASN,Name
AS12754,Coolnet New Communication Provider
AS12975,Palestine Telecommunications Company (PALTEL)
AS15975,Hadara Technologies Private Shareholding Company
AS197350,AL Zaytona Company For Communication Ltd.
AS197708,PalPay For Electronic Payment System Company
AS199046,JetNet for Information Technology and Telecommunications Limited Liability Company
AS199895,Arab American University
AS199979,Palestine Islamic Bank Public shareholding company
AS200957,Zyad Al-Astal Trading as WaveLink Trading
AS203479,Al-Aqsa University
AS204626,Modern University College
AS205205,Badawi information systems Ltd
AS20719,Birzeit University
AS207951,Palestine Investment Bank
AS208031,MazayaNET Communication Services Co.
AS208071,Injazat Technologies LTD
AS208473,Furrera For Telecommunication & Internet Services Co. Private Shareholding Company
AS210476,Moon net for Information Technology LLC
AS210974,AjyalFi Company for Information and Communication Technology LLC
AS211057,Astra for Telecommunication and IT Services
AS211466,Ministry of Telecommunication & Digital Economy
AS213207,TechHub company for trading investment and technology
AS214920,Northern Electricity Distribution Company (NEDCO)
AS215886,The Zainco Company for Internet Services and Information Technology JSC
AS29310,JAWWAL
AS35385,Al Quds Open University
AS42013,Together Communication LTD
AS42314,Fusion Internet Services Company LLC
AS42506,Palestine Polytechnic University (PPU)
AS44213,Thaer A. T. Abuyousef trading as Abuyousef Co & Partners For General Trade
AS47154,HUSAM A. H. HIJAZI
AS47253,BCI Telecommunication & Advanced Technology Company
AS47546,Asad Tom trading as AsadNet
AS48270,iNET Solutions for computer Co.
AS48966,Wataniya Palestine Mobile Telecommunication Company PLC
AS50330,Bank of Palestine
AS51336,Gemzo information technology Private Joint-Stock company
AS51407,Mada Al-Arab General Services Company
AS51737,Super Link Communications Co. Ltd
AS52145,ZONE Technologies Ltd
AS57704,SpeedClick for Information Technology and Communication Ltd
AS59394,The National Bank PLC
AS61417,Palestine Internet Exchange Point
