ASN,Name
AS132786,Bank of Papua New Guinea
AS133137,Telikom PNG Limited
AS134151,Steamships Ltd
AS134605,Comserv PNG Ltd
AS136239,CLICK PACIFIC LTD
AS136587,PNG DATACO LIMITED
AS136802,LBP Holdings Limited
AS136940,ComSat Ltd
AS137054,OFC
AS138506,PNG Nambawan Trophy Ltd
AS138902,Emstret Holdings Ltd
AS139778,DALTRON
AS139898,Digitec Communications Limited
AS140665,KINECT LIMITED
AS142269,KINA BANK
AS146949,National Superannuation Fund Ltd.
AS147024,bikpla.net
AS151398,Credit Corporation (PNG) Limited
AS151647,Rural Tech Development
AS152477,LOTIC Bige Limited
AS152655,Digicel (PNG) Ltd
AS153621,GIT LIMITED
AS153781,Wintop Investment Limited
AS17828,PNG DATACO LTD
AS38009,Telikom PNG Satellite Tier 1 AS Internet Service
AS45924,Global Technologies Limited
AS55792,Datec-PNG
AS58460,Digicel (PNG) Ltd
AS63945,Digitec PNG Limited
