ASN,Name
AS199566,Artem Lomakin
AS23201,Telecel S.A.
AS262183,MULTI LINK S.A.
AS262250,Direccion Nacional de Contrataciones Publicas
AS263169,Vision Banco
AS263228,PLANET S.A.
AS263717,SOL TELECOMUNICACIONES S.A.
AS263727,SubsecretarÃ­a de Estado de TributaciÃ³n
AS263732,PANDA CONECT S.A.
AS263750,Douglas Back Pavan (SI NET)
AS263813,iNet - Banda Ancha
AS264631,RED PARAGUAYA DE TELECOMUNICACIONES SA
AS264633,BANCO GNB PARAGUAY SOCIEDAD ANONIMA EMISORA DE CAPITAL ABIERTO
AS264705,Secretaria Nacional de Tecnologias de la InformaciÃ³n y Comunicaciones
AS264733,CHACO COMUNICACIONES S.A.
AS264756,Cable Television Satelital SRL
AS264770,Leonir Remussi (KDMNET)
AS264807,Datapar SA
AS265728,FLYNET SRL
AS265759,VIVE TELECOM S.A.
AS265864,LINK Telecom S.A.
AS266673,FLYTEC TELECOM SOCIEDAD ANONIMA
AS266677,FILA-NET
AS266694,FULL TELECOMUNICACIONES S.A
AS266814,Masternet Telecomunicaciones
AS266831,MONGELOS ARCE MARCIAL(DELTA NETWORKS)
AS266876,DOUGLAS BIONDO BOSCHETTI(TECNOPAGE)
AS267702,SANCHEZ ANIBAL RAMON (ARSOFT INTERNET)
AS267704,SAMISTRARO BAMBERG DANGELO DANIEL
AS267723,SOLAR BANCO S.A.E.
AS267795,PRIETO TELLES ALEXANDRE(F1NET TELECOM PY)
AS267837,Vicente Sosa Peralta
AS267883,RODRIGUEZ PAEZ HUGO HERNAN (TELNET PARAGUAY)
AS267885,MSW S.A.
AS267905,PERES RAMOS WILLIAN (GIGABIT INTERNET)
AS267914,TVH S.A
AS267920,Saldivar Sosa Rodrigo Agustin (RAYNET)
AS269725,ACAS TECNOLOGAS S.A.
AS269731,Liz Carolina Zavala Martinez (Link Telecomunicaciones)
AS269763,JOSE MARIA DELPINO(TELMIIX)
AS269783,WIND NET S.A.
AS269794,GRUPO SPEED NET SOCIEDAD ANONIMA
AS269878,HINET E.A.S. UNIPERSONAL
AS269887,FRANCISCO VILLALBA SANTACRUZ (PLUS.NET)
AS269905,COOPERATIVA COLONIZADORA MULTIACTIVA FERNHEIM LTDA
AS269914,FRANCISCO DARIO DAVID GARCIA AYALA (NETCON)
AS269930,CAMPOS FARIAS GUILHERME
AS269976,TV MAX CABLE S.A.
AS270029,MEGANET S.R.L.
AS270052,STARTELECOM S.A.
AS270096,"MACHADO BAEZ, NERY JAVIER (LOCAL NET PARAGUAY)"
AS271775,ARLINDO PORATH (NETN@R NARANJITO)
AS271969,SIMON ALBERTO KONARREUSKI MLOT
AS272021,ITAIPU BINACIONAL
AS272026,HERNAN GALEANO KIM (HERKIM - SOLUCIONES TECNOLOGICAS)
AS272062,TV 2 S.A.
AS272065,PUNTO DOC SOCIEDAD ANONIMA
AS272099,WIRSCHKE MONGES RICARDO DANIEL
AS272154,DIRECCION NACIONAL DE ADUANAS
AS272961,JANZEN WIENS RALF DONALD
AS272970,LOPEZ FLORENTIN FREDDY HERNAN
AS273023,ITATEC SOCIEDAD ANONIMA
AS273063,DAHMER MARIANO ROBERTO ADRIANO
AS273077,GONZALEZ BERTRAND ANIBAL JOSE MARIA (OVEVE NET)
AS273095,CABALLERO JACQUET RODRIGO RAMON (NORTENET PARAGUAY)
AS273126,MAS GROUP E.A.S.
AS273165,IX CDE SOCIEDAD ANÃNIMA
AS273828,DAMOA SA
AS273847,PEDRO ABRAHAM AMARILLA PAREDES (P.A. NETWORKS)
AS273876,FRETES SEGOVIA FRANCISCO JAVIER
AS273918,Future E.A.S
AS273991,FIBRACOL E.A.S. UNIPERSONAL
AS274041,INTERCABLE COMERCIAL Y SERVICIOS S.R.L.
AS274082,ASOCIACION PARAGUAYA DE PROVEEDORES DE INTERNET Y TELECOMUNICACIONES
AS274161,OSCAR ALBERTO YEGROS (ColNet Telecom)
AS274166,GONZALEZ GAMARRA ARLIS JAVIER (SOLUCIONES MAX)
AS274173,WILOHOSTING E.A.S. UNIPERSONAL
AS274306,TECYTEL SA
AS27669,E-life Paraguay S.A.
AS27727,Consultronic S.A.E.C.A.
AS27733,Centro Nacional de Computacion
AS27768,COMPAÃIA PARAGUAYA DE COMUNICACIONES S.A. (COPACO S.A.)
AS27795,Netvision S.A.
AS27866,COMPAÃIA PARAGUAYA DE COMUNICACIONES S.A. (COPACO S.A.)
AS27895,NÃºcleo S.A.
AS28008,Telecel S.A.
AS28033,Banco Familiar SAECA
AS28103,TECNOLOGIA EN ELECTRONICA E INFORMATICA SOCIEDAD ANONIMA (T.E.I.S.A)
AS52227,Banco Itau Paraguay S.A.
AS52418,NETEL S.A.
AS52445,FINANCIERA PARAGUAYO JAPONESA S.A.
AS52455,TEMPUS GROUP S.A.
AS61512,GIG@NET SOCIEDAD ANONIMA
AS64165,EXTRA S.A.
