ASN,Name
AS12252,America Movil Peru S.A.C.
AS19180,AMERICATEL PERU S.A.
AS21575,ENTEL PERU S.A.
AS22411,GTD PERÚ S.A
AS262168,COLINANET S.A.
AS262182,TELEFONICA GLOBAL SOLUTIONS PERU S.A.C.
AS262210,VIETTEL PERÃ S.A.C.
AS262253,ECONOCABLE MEDIA SAC
AS263185,MEDIA COMMERCE PERÃ S.A.C
AS263189,GLG PERU SAC
AS263224,EMPRESA DE TELECOMUNICACIONES MULTIMEDIA ALFA
AS263229,NAP Peru
AS263681,IPTP NETWORKS S.A.C.
AS263692,DIRECNET S.A.C
AS264684,Telefonica del Peru S.A.A.
AS264783,RED INTERCABLE PERU SAC
AS265691,WI-NET TELECOM S.A.C.
AS265785,SERVICIOS BANCARIOS COMPARTIDOS S.A. (UNIBANCA)
AS265794,ARTIC TELECOM E.I.R.L
AS265869,INGENIERiA EN GESTION DE NEGOCIOS Y OPORTUNIDADES S.A.C. (INGENYO S.A.C.)
AS266716,CABLE VIDEO PERU SAC
AS266722,AMITEL PERU TELECOMUNICACIONES SAC
AS266732,FIBERTEL PERU S.A.
AS266757,SATELITAL TELECOMUNICACIONES S.A.C
AS266823,DOLPHIN TELECOM DEL PERU S.A.C.
AS266859,ANDRESYSTEM NET S.A.C. (ASYSNET)
AS267742,LIBERTY NETWORKS PERÚ S.A.C.
AS267743,GILAT NETWORKS PERU S.A.
AS267747,Andesat Peru SAC
AS267749,INVERSIONES TELCOTEL SAC
AS267800,TE.SA.M. PERU S.A
AS267815,SERVI CABLE S.A.C
AS267831,INVERSIONES EN TELECOMUNICACIONES DIGITALES S.A.C
AS267871,P&P BUSINESS GROUP SAC
AS267898,BANCO DE CRDITO DEL PER S.A
AS267904,TELEVISORA DEL SUR SAC
AS269751,INTERMAX S.A.C.
AS269772,NEO FIBER SAC
AS269803,INVENTA TELECOMUNICACIONES EIRL
AS269811,IMPORTACIONES Y EXPORTACIONES C.L.K. S.A.C
AS269826,MEGA ANDINA TV E.I.R.L.
AS269843,BANTEL SAC
AS269857,FIBER DIGITAL S.R.L
AS269862,M & B Soluciones Peru S.A.C. (FASTNET)
AS269894,CABLE ANDINA S.A.C
AS269898,SOFTBUTTERFLY SAC
AS269913,CABLE SELVA CENTRAL S.A.C.
AS269938,ADN TELECOM S.A.C.
AS269975,CORPORACION CONEXTELECOM S.A.C
AS269981,COMPUNETWORK S.A.C.
AS270006,INTEL COMUNICACIONES PER SAC
AS270007,MORENO YANOC NEMIAS BERNARDO
AS270010,AIRWIZ PERU E.I.R.L
AS270012,EDDAS HOLDING GROUP SOCIEDAD ANONIMA CERRADA
AS270019,RCT VISION S.A.C
AS270023,TELECOM BOLIVIA S.A.C
AS270037,COMWIFI TELECOMUNICACIONES E.I.R.L
AS270068,DESARROLLO DE INFRAESTRUCTURA DE TELECOMUNICACIONES PERU S.A.C. (INFRATEL)
AS270069,TECNO PROYECTOS GLOBALES S.A.C. - TECNOGLO S.A.C.
AS270076,EXA NETWORKS S.A.C.
AS270081,VEMAX S.A.C
AS270082,IWAY TELECOM SOCIEDAD ANONIMA CERRADA
AS270086,FIRTEL S.A.C.
AS271805,BMC TECHNOLOGIES SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA
AS271814,NEXTNET SAC
AS271835,P Y D TELECOM S.R.L.
AS271838,INTEGRA NETWORK DEL PERU E.I.R.L.
AS271842,M & B Soluciones Peru S.A.C. (FASTNET)
AS271857,TELECOMUNICACIONES MAFRI S.A.C.
AS271860,NOVACLOUD S.A.C
AS271861,MOVILMAX TELECOM S.A.
AS271862,FIBER LINE SAC
AS271866,ANURA PERU SAC
AS271868,GPON NETWORKS S.A.C.
AS271876,LANINVERSAT E.I.R.L.
AS271900,INTERNET SOLUTIONS NETWORK PERU SAC
AS271962,CABLE MASTER COMUNICACIONES SAC
AS271976,WORLDÂ´S TV SAC
AS272002,PLANET CABLE S.A.C.
