ASN,Name
AS10096,"Easycall Communications Phils., Inc."
AS10139,"Smart Broadband, Inc."
AS10141,DFNN Group of Companies
AS131171,Techne Fiber
AS131245,University of the Philippines
AS131253,De La Salle-Lipa
AS131276,Mega Speed ICT Solutions Inc.
AS131281,"University of the Philippines, Visayas Cebu Campus"
AS131303,4/F Podium RCBC Plaza Tower I
AS131306,CITI Cableworld Inc.
AS131465,"Marbel Telephone System, Inc."
AS131891,Cebu Air Inc.
AS132021,Kalibo Cable Television Network Inc
AS132046,Sunbridge worldwide LTD
AS132054,Rising Star Cable TV Services
AS132059,"762 Quirino Highway, San Bartolome"
AS132141,Penthouse
AS132193,Social Security System
AS132199,Globe Telecom Inc.
AS132209,VITRO INC.
AS132212,IGT-INTERGLOBE TECHNOLOGIES PHILIPPINES INC.
AS132229,8F Tower 2 The Rockwell Business Center
AS132233,Fourleaf Consulting Network and Data Solution
AS132313,Calauag Cat V System
AS132400,COMMUNITY CABLE VISION CORPORATION
AS132454,"Philippine Telegraph and Telephone Corporation,"
AS132464,Barbaza Multi-Purpose Cooperative
AS132505,Concentrix Daksh Services Philippines Corporation
AS132554,Ateneo de Manila University
AS132595,Solutions Experts and Enablers Inc.
AS132615,Pipol Broadband
AS132714,Airfiber's Internet Shop
AS132716,"1 Solaire Boulevard,"
AS132721,Gartech Network and Data Solution
AS132792,"University of the Philippines Visayas, Miagao"
AS132793,"University of the Philippines Visayas, Tacloban"
AS132794,University of the Philippines Mindanao Campus
AS132795,"University of the Philippines Visayas, Iloilo Campus"
AS132796,University of the Philippines Baguio Campus
AS132843,Digital Advantage Corp.
AS132844,Ateneo de Manila University
AS132905,AS number of Ateneo de Davao University
AS133064,SLMC INFRASTRUCTURE
AS133068,China Online Innovations Inc
AS133098,Metropolitan Bank and Trust Company
AS133131,NEW VISION SATELLITE NETWORK INC.
AS133150,GGS Technical Information Services Inc.
AS133195,PERFETTI VAN MELLE ASIA PACIFIC PTE LTD - ROHQ
AS133198,"iOne Resources, Inc."
AS133334,DCTV Cable Network Broadband Services Inc
AS133377,"IBM Business Services, Inc"
AS133436,"KONTAK ONE MANAGEMENT EXCHANGE, INC."
AS133464,RTDS Network ICT Solutions Inc.
AS133498,De La Salle University
AS133585,Bee Information Technology PH Inc.
AS133623,Planet Cable Inc.
AS133778,GY Consultancy Group Inc.
AS133922,Robcom Networks Inc.
AS134084,TOSLINK INC.
AS134140,Philippine Long Distance Telephone Co.
AS134154,Sitel Philippines Corporation
AS134171,"Newbuy, Inc."
AS134182,Pacificweb Internet Services Inc.
AS134213,Netify Communications Corp.
AS134216,GLERCIMOR NETWORK AND DATA SOLUTION
AS134241,M7 Telecommunications Corporation
AS134346,Gainlot International Co. Ltd
AS134414,De La Salle-Greenhills
AS134415,De La Salle - College of Saint Benilde
AS134416,De La Salle-Zobel
AS134431,News and Entertainment Network Corp
AS134497,Cine Cebu
AS134564,NETFACTORY
AS134672,Aquoz Solutions Inc
AS134707,RoyalCable Flash
AS134716,Savant Technologies Inc.
AS134788,"Parasat Cable TV, Inc"
AS134802,Naic Cable TV Corp.
AS134966,Southern CableVision Inc.
AS134974,Oakleigh Networks
AS134996,"BSITC PHILS., INC."
AS135025,"Nexlogic Telecommunications Network, Inc."
AS135028,GEMSTAR CABLE TV
AS135122,MILLAWAVE
AS135132,Dreamscape Networks Inc.
AS135162,eUP-University of the Philippines System
AS135283,Makilala Cable TV
AS135325,EWS DS Networks Inc
AS135345,NewMountainView Satellite Corporation
AS135366,Zafra Cable TV Network Inc.
AS135423,Total Information Management Corporation
AS135495,Independent Telephone Company Inc.
AS135499,"Tiger Resort Leisure & Entertainment, Inc. (TRLEI)"
AS135549,"NEW WORLD CATV, INC."
AS135556,MULTIFACTORS SALES
AS135582,Galaxy Cable Corp.
AS135592,Solaire Resort & Casino
AS135594,Kabayan Cable Tv Systems Inc.
AS135607,Infinivan Incorporated
AS135643,Automated Technologies Inc
AS135645,"Sureste Properties, Inc."
AS136216,Channel Information Technology Support and Leasing Services Inc.
AS136244,Panay Broadband / Buenavista Cable TV Inc.
AS136260,IPOINTEAST INC.
AS136404,BICOLANDIA CABLE TV INCORPORATED
AS136433,Medrozo IT Solutions
AS136503,"Personal Collection Direct Selling, Inc."
AS136513,Corporate Technologies Incorporated
AS136515,"Dasca Cable Services, Inc."
AS136773,BDO Unibank Inc
AS136777,247 Customer Philippiness inc
AS136803,TELMARC CORPORATION
AS136929,"Meridian Cable TV, INC"
AS136955,Shang Hai Mu Ji Shang Wu Zi Xun You Xian Gong Si
