ASN,Name
AS12324,Maria Curie-Sklodowska University
AS12328,"""Alan Systems"" Sp. z o. o."
AS12346,Maria Curie-Sklodowska University
AS12423,Nicolaus Copernicus University in Torun
AS12464,Politechnika Warszawska
AS12580,Euvic Solutions S.A.
AS12618,Politechnika Bydgoska im. Jana i Jedrzeja Sniadeckich
AS12642,Leon Sp. z o.o.
AS12741,Netia SA
AS12743,Orange Polska Spolka Akcyjna
AS12774,Wydawnictwo Naukowe PWN SA
AS12824,home.pl sp. z o.o.
AS12827,Wirtualna Polska Media S.A.
AS12831,"Technical University of Gdansk, Academic Computer Center TASK"
AS12887,Netia SA
AS12912,T-Mobile Polska S.A.
AS12966,"Polskie Linie Lotnicze ""LOT"" S.A."
AS12985,TVK WSM - Wielunska Spoldzielnia Mieszkaniowa w Wieluniu
AS12990,Ringier Axel Springer Polska Sp. z o.o.
AS12992,Proszynski Media sp. z o.o.
AS13000,Leon Sp. z o.o.
AS13065,Uniwersytet Zielonogorski
AS13110,INEA sp. z o.o.
AS13119,"Zachodniopomorski Uniwersytet Technologiczny w Szczecinie, Akademickie Centrum Informatyki"
AS13274,MBANK S.A.
AS13293,"Institute of Bioorganic Chemistry Polish Academy of Science, Poznan Supercomputing and Networking Ce"
AS15373,Politechnika Czestochowska
AS15391,Sysclay Sp. z o. o.
AS15396,University of Warsaw
AS15443,Gremi Media SA
AS15470,AverTech Sp. z o.o.
AS15507,P4 Sp. z o.o.
AS15541,Marcin Bochenek trading as CETI s.c.
AS15606,NAUKOWA I AKADEMICKA SIEC KOMPUTEROWA - PANSTWOWY INSTYTUT BADAWCZY
AS15618,TEVA OPERATIONS POLAND Sp. z o.o.
AS15624,OKITECH Krzysztof Kusnierczyk
AS15665,Instytut Geofizyki PAN
AS15694,Atman Sp. z o.o.
AS15728,Radio Muzyka Fakty Sp. z o.o.
AS15744,"Silesian University of Technology, Computer Centre"
AS15787,Powszechna Agencja Informacyjna S.A.
AS15798,"University of Warmia and Mazury in Olsztyn, Poland"
AS15851,Wroclaw Centre of Networking and Supercomputing
AS15874,INTERKAM sp. z o.o.
AS15902,maque maciej grzeszczuk
AS15967,Nazwa.pl Sp.z.o.o.
AS15969,Systemia.pl Sp. z o.o.
AS15993,BNP Paribas Bank Polska S.A.
AS15997,Intelligent Technologies S.A.
AS16110,Podkarpacki.net Rafal Czarny
AS16138,Interia.pl Sp z.o.o.
AS16167,MBANK S.A.
AS16182,Santander Bank Polska S.A.
AS16263,Uniwersytet Radomski im. Kazimierza Pulaskiego
