ASN,Name
AS12305,"G9, S.A."
AS12353,Vodafone Portugal - Communicacoes Pessoais S.A.
AS12527,Millennium BCP-Prestacao de Servicos ACE
AS12833,"Fundacao para a Ciencia e a Tecnologia, I.P."
AS12926,"AR TELECOM - Acessos e Redes de Telecomunicacoes, S.A."
AS13134,"Instituto de Informatica, IP - Ministerio da Solidariedade e Seguranca Social"
AS13156,"NOWO COMMUNICATIONS, S.A."
AS13200,Banco BPI SA
AS15457,"NOS Madeira Comunicacoes, S.A."
AS15525,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.
AS1897,"NOS COMUNICACOES, S.A."
AS1930,"Fundacao para a Ciencia e a Tecnologia, I.P."
AS197802,Secretaria-Geral Ministerio da Administracao Interna
AS199016,"VISUALFORMA TECNOLOGIAS DE INFORMACAO, SA"
AS199130,"4Spiro - Sociedade de Consultoria, LDA"
AS199155,Direcao Geral de Estatisticas da Educacao e Ciencia
AS199993,Associacao DNS.PT
AS200454,Tomas Oliveira Valente Leite de Castro
AS200706,"AXIANSEU - DIGITAL SOLUTIONS, S.A."
AS200859,"IDON Digital Solutions, Unipessoal LDA"
AS200942,"ATEP - Amkor Technology Portugal, S.A."
AS201170,"ANA - Aeroportos de Portugal, SA"
AS201238,Antonio Carlos Correia da Silva
AS201449,"Digital Absolut Business - Servidor, Virtualizacao, Cluster, Datacenters e Telecomunicacoes, Lda"
AS201523,EDP S.A.
AS201782,Make It Simple Consultoria Informatica Lda
AS201879,VISUALFORMA - Tecnologias de Informacao S.A.
AS202170,"DSTELECOM, S.A."
AS202277,Secretaria-Geral do Governo
AS202341,"MY CLOUD, UNIPESSOAL LDA"
AS202904,Softman S.A.
AS202981,TOTALMOBRAND SA
AS203482,Policia Judiciaria
AS203491,"Estoril Sol Digital, Online Gaming Products And Services, S.A."
AS203529,"GETUPLINK - SYSTEM AND NETWORK SOLUTIONS, LDA"
AS204094,"I4W - Web Solutions, Lda"
AS205378,"Yellow Dinosaur, Unip Lda"
AS205558,Autoridade Nacional de Comunicacoes (Anacom)
AS207112,"REN - Rede Energeticas Nacionais, S.A."
AS207118,Diogo Castro
AS207731,"DIAMWALL, LDA"
AS207969,"Fundacao para a Ciencia e a Tecnologia, I.P."
AS208277,"CiberConceito Informatica e Servicos Unipessoal, Lda"
AS208457,CLOUD Telecom Lda
AS209357,Tiago Antunes Afonso Dias
