ASN,Name
AS10396,"DATACOM CARIBE, INC."
AS10524,GOYA DE PUERTO RICO
AS11367,"WorldNet Telecommunications, LLC"
AS11653,Puerto Rico Webmasters
AS11992,Liberty Mobile Puerto Rico Inc.
AS12206,DNP Networks
AS14534,UNONET CORP
AS14920,Evertec
AS14957,Puerto Rico Electric Power Authority
AS14974,Virtual Inc.
AS14979,Aeronet Wireless
AS15261,Zellius Telecommunications Inc.
AS16649,Interamerican University of Puerto Rico
AS18895,Nustream Communications
AS19163,CONEX
AS20372,Office of Management and Budget
AS21559,OSNET
AS21944,VelocityNet PR
AS22555,"Smart Networks,LLC"
AS22888,Sistema Universitario Ana G. Mendez
AS23114,Critical Hub Networks
AS23379,"Blackburn Technologies II, LLC"
AS23534,Puerto Rico Medical Services Administration
AS26027,Big Dog Internet
AS27213,PRC Internet Corp
AS29857,UGSWORLD
AS30294,Familynet Inc.
AS30440,Xapiens Corporation
AS30526,"Neptuno Media, Inc."
AS33315,First BanCorp
AS35892,DREYFOUS & ASSOCIATES
AS36064,Vamos
AS36435,M.S. Wifi Zone Inc.
AS3838,Ubinet Wireless
AS393573,Fuse Telecom LLC
AS393678,XDAR Wireless LLC
AS393937,"Medical Card System, Inc."
AS394590,SkyTech
AS394743,Gigifi
AS394963,Multinational Life Insurance Company
AS395471,"Data@ccess Communication, Inc."
AS395902,"TRIPLE - S SALUD,INC"
AS396055,FiberX
AS396082,COSOTNET INC
AS396899,Natural G.C. Inc.
AS397072,InNet Connections
AS397359,InfinityNet Wireless LLC
AS397399,Veloz Wireless Corp
AS397470,Antoniol Electronic
AS397566,Urban Wifi Networks LLC
AS397598,OSNET
AS397674,Skynet Wireless
AS397920,"Everyday Data, Inc."
AS397939,BBR IT Synergy LLC
AS398317,FIREFI LLC
AS398326,IM Internet LLC
AS399126,I COMM NETWORKS LLC
AS399291,Puerto Rico Fiber Network Inc
AS399294,"4NET, INC"
AS399412,KsXpress.Net
AS399444,DWireless & More Inc.
AS399599,G&B Networks Solutions
AS39963,"IP SOLUTIONS, INC."
AS399826,Webiffi LLC
AS399831,REAL LINK NETWORK LLC
AS400154,Thundernet Wireless
AS400266,Wind Net
AS400333,JR Network PR
AS400354,ALPHANET CORP
AS400443,NOVANET
AS400939,Cooperativa de Telecomunicaciones de Puerto Rico (CTPR COOP)
AS401013,BNET
AS401022,PR FIBER
AS401421,Yireh Networks Services
AS401436,Dimelo Network
AS401831,VuvaNet LLC
AS401866,Master IT Support
AS40414,"Optivon, Inc."
AS40880,NAICOM CORPORATION
AS46793,ReallyMe LLC
AS46868,VPNET INC
AS46869,AWV Communications Inc.
AS46941,Xairnet
AS46962,HRCOM
AS53764,DM Wireless LLC
AS54123,COSVI'S-ASSET MANAGEMENT CORP.
AS54835,SafeNet Corporation
AS54848,Universidad Central del Caribe
AS55068,SMARTNET LLC
AS5786,University of Puerto Rico
AS6208,FiberX
AS62627,"WorldNet Telecommunications, LLC"
AS62913,SpeedyNet
AS62931,"Plaza Las Americas, Inc."
AS63308,Pharmpix
AS63393,BOOM NET
