ASN,Name
AS198464,Ministry of Education and Higher Education
AS198499,Qatar University
AS204806,Ministry of Interior - Telecommunication Department
AS208506,Sidra Medicine
AS208542,Mannai Trading Company LLC
AS208944,Qatar General Electricty and Water Corporation
AS211559,Vodafone Qatar P.Q.S.C
AS213680,Ministry of Foreign Affairs
AS214178,Qatar Airways Group (Q.C.S.C) PJSC
AS215624,QatarEnergy LNG PQSC
AS28821,University of Doha for Science and Technology
AS29384,"Qatar Foundation for Education, Science and Community Development"
AS34945,"Qatar Foundation for Education, Science and Community Development"
AS42298,Ooredoo Q.S.C.
AS42415,Aljazeera Media Network Corporation
AS47901,MEEZA QSTP-LLC
AS48728,Vodafone Qatar P.Q.S.C
AS60185,QatarEnergy
AS8781,Ooredoo Q.S.C.
