ASN,Name
AS12302,Vodafone Romania S.A.
AS12310,iNES GROUP SRL
AS12325,Internet Resources Management SRL
AS12356,UNIVERSITATEA ROMANO-AMERICANA
AS12439,Impromex S.R.L.
AS12442,PRO TV S.A.
AS12446,SES SERVICES ROMANIA S.R.L.
AS12592,Trans Tel Services SRL
AS12672,Ringier Romania SRL
AS12675,Alexandru Ioan Cuza University
AS12804,Adisam Telecom S.A.
AS12842,Internet Oltenia SRL
AS13011,RA Monitorul Oficial
AS13059,Extreme Solutions SRL
AS13209,Atom Hosting SRL
AS13210,ACADEMIA DE STUDII ECONOMICE
AS15471,S.N. Radiocomunicatii S.A.
AS15520,TeleEst SRL
AS15730,I-Services Provider SRL
AS15856,Lasting System SRL
AS15873,Ogilvy & Mather Advertising S.R.L.
AS16026,OMV PETROM SA
AS16120,"Universitatea de Medicina si Farmacie ""Victor Babes"" Timisoara"
AS16157,STARNETIS S.R.L.
AS16192,Rom Electronic Company SRL
AS16199,SC Megadata SRL
AS16220,Civil Engineering University of Bucharest
AS17818,LNK SYSTEMS MUNTENIA SRL
AS197065,SC Smartree Romania SRL
AS197134,Societatea de Transfer de Fonduri si Decontari TRANSFOND SA
AS197357,Chrominance SRL
AS197432,HOSTEAZA S.R.L.
AS197476,RoSite Equipment SRL
AS198099,S.C. Asseco See SRL
AS198173,Paragon Customer Communications Romania S.R.L.
AS198364,BANATSYNC SRL
AS198447,Mercury Lighting SRL
AS198540,Rasirom RA
AS198574,AVIROMS RENT-A-CAR S.R.L.
AS198879,Stan Alexandra
AS198914,WIND POWER ENERGY SRL
AS199189,CHAMBER OF COMMERCE AND INDUSTRY OF ROMANIA
AS199412,
AS199429,PFA Dinu Laurentiu Viorel
AS199498,Adrem Invest SRL
AS199513,Universitatea de Vest din Timisoara
AS199914,TEHNOLOGIC NETWORKING INGENUITY S.R.L
AS200269,TRANSAVIA SA
AS200298,Bipnet Computer SRL
AS200492,Danube Shipping & Trading S.R.L.
