ASN,Name
AS12332,PJSC Rostelecom
AS12335,Tario Communications LLC
AS12341,Ural State Polzunov College
AS12380,PJSC Rostelecom
AS12389,PJSC Rostelecom
AS12396,PJSC MegaFon
AS12403,Telecommunication company FEONET+ LLC
AS12418,Quantum CJSC
AS12456,KL Group LLC
AS12484,Boris Ltd.
AS12494,"OOO ""Post ltd"""
AS12500,TransLinkPlus LLC
AS12507,Swift Trace ltd.
AS12543,"PJSC ""Vimpelcom"""
AS12555,Data-center IMAQLIQ Ltd.
AS12616,Citytelecom LLC
AS12668,"LLC ""KomTehCentr"""
AS12679,Sokolov Dmitry Nikolaevich
AS12683,PJSC Rostelecom
AS12685,PJSC Rostelecom
AS12686,"""TBANK"" JSC"
AS12688,Joint Stock Company TransTeleCom
AS12690,"JSC ""ER-Telecom Holding"""
AS12695,LLC Digital Network
AS12714,PJSC MegaFon
AS12722,RECONN LLC
AS12724,"Prokhorov General Physics Institute, Russian Academy of Sciences, RAS (GPI)"
AS12730,PJSC Rostelecom
AS12737,"KrasPromStroy, LLC"
AS12739,JSC Netline
AS12768,"JSC ""ER-Telecom Holding"""
AS12770,"Federal State Budgetary Educational Institution of Higher Education ""Pacific State University"""
AS12772,"JSC ""ER-Telecom Holding"""
AS12790,MSN Telecom LLC
AS12828,"Federal State Budgetary Scientific Institution ""Federal Research Center ""Krasnoyarsk Scientific Cent"
AS12836,TELECOM-2 LLC
AS12841,Veltrade LLC
AS12846,PJSC Rostelecom
AS12879,"JSC ""Oil Transportation and Production Telecommunications"""
AS12925,Federal State Budgetary Educational Institution of Higher Education Lomonosov Moscow State Universit
AS12938,Shemyakin-Ovchinnikov Institute of Bioorganic Chemistry of the Russian Academy of Sciences
AS12958,T2 Mobile LLC
AS12976,CITIC Telecom CPC Rus LLC
AS12979,JSC Transinfoset
AS12999,"Federal State Autonomous Educational Institution of Higher Education ""Far Eastern Federal University"
AS13016,Teleline Ltd.
AS13029,"Autonomous institution Center of Information Technologies of Ministry of Digital Development, Inform"
AS13055,MTS PJSC
AS13056,PJSC Rostelecom
AS13075,PJSC MegaFon
AS13077,"Federal State Autonomous Educational Institution of Higher Education ""North-Caucasian Federal Univer"
AS13079,Zond Holding JSC
AS13094,"JSC ""ER-Telecom Holding"""
AS13095,"PJSC ""Vimpelcom"""
AS13105,INFORM LLC
AS13118,PJSC Rostelecom
AS13155,MTS PJSC
AS13161,"LTD ""Technocom"""
AS13165,Siberian Internet Company LLC
AS13174,MTS PJSC
AS13178,"LLC ""Real-net"""
AS13185,"FSBE Institution of HE ""I.S. TURGENEV Orlovsky STATE UNIVERSITY"""
AS13215,"JSC Telecommunication company ""Convey Plus"""
AS13227,Kraft-S LLC
AS13238,YANDEX LLC
AS13257,"PJSC ""Vimpelcom"""
AS13259,Delta Telesystems Ltd.
AS13296,INNOR Ltd.
AS13302,Linkey Ltd
AS141171,APNIC ASN block
AS15370,Citadel LLC
AS15378,T2 Mobile LLC
AS15428,DagNet Ltd.
AS15449,"""Ohrana Telecom"" LLC"
AS15454,ARBUZ Co.Ltd
AS15468,PJSC Rostelecom
AS15493,"""Russian company"" LLC"
AS15508,Novosoft razvitie Ltd.
AS15552,"LLC ""Real-net"""
AS15556,"City Solutions, LLC"
AS15559,PJSC Renaissance Insurance Group
AS15582,JSC Comcor
AS15599,JSC Avantel
AS15632,"JSC ""Alfa-Bank"""
AS15638,Octopusnet LTD
AS15640,MTS PJSC
AS15672,OOO Telecom TZ
AS15673,Teleseti Plus Ltd.
AS15682,ITERANET LLC
AS15707,Open Joint Stock Company INGOSSTRAKH Insurance Company
AS15741,Expiline Ltd.
AS15754,OOO Taxtelecom
AS15756,JSC Avantel
AS15757,Joint Stock Company Gazprom Space Systems
AS15759,PJSC Rostelecom
AS15774,"Limited Liability Company ""TTK-Svyaz"""
