ASN,Name
AS22690,Axiom Networks Ltd
AS327707,Airtel Rwanda Ltd
AS327708,Airtel Rwanda Ltd
AS327899,Broadband Systems Corporation
AS328014,Rwanda Internet Exchange Point (RINEX) c/o RICTA
AS328180,Bank of Kigali Ltd
AS328385,Rwanda Revenue Authority (RRA)
AS328864,DEVELOPMENT BANK OF RWANDA (B.R.D) Plc
AS328922,National Bank Of Rwanda
AS329104,AOS LTD
AS329146,EQUITY BANK RWANDA PLC
AS329406,RWANDA SOCIAL SECURITY BOARD (RSSB)
AS329721,STRETTCH  CLOUD Limited
AS36890,MTN Rwandacell
AS37006,Liquid Telecommunication Rwanda Limited
AS37010,National University of Rwanda
AS37124,Airtel Rwanda Ltd
AS37228,KT RWANDA NETWORK Ltd
AS37619,Broadband Systems Corporation
AS37654,Rwanda Ministry of Education
