ASN,Name
AS12529,Channels By Saudi Telecom Company (STC) LLC
AS15505,King Abdulaziz University (KAU) - Deanship of Information Technology
AS196848,Zamil Industrial Investment Co
AS197247,International Systems Engineering Co. Limited Liability
AS197858,Almustaqbal Company For Artificial Intelligence JSC
AS197989,Saudi Electronic Info Exchange Company (Tabadul) JSC
AS197994,"Al Jazirah Corporation for Press, Printing, and Publishing"
AS198406,TASNEE National Company LTD
AS198795,NIC (National Information Center)- SDAIA ( Saudi Data and Artificial Intelligence Authority )
AS200025,Saudi Arabian Mining Company (Ma'aden) JSC
AS200366,Saudi Business Machines Ltd - Sole Shareholder Company
AS200852,Gulf Digital Media Model LLC
AS201484,Saudi Public Transport Company JSC
AS201628,Cloud Connect Co LLC
AS201768,ARABIAN INTERNET & COMMUNICATIONS SERVICES CO.LTD
AS201769,ARABIAN INTERNET & COMMUNICATIONS SERVICES CO.LTD
AS201771,ARABIAN INTERNET & COMMUNICATIONS SERVICES CO.LTD
AS202105,Al wafai International For Communication and Information Technology LLC
AS202392,Dawiyat Telecommunication Co.
AS202982,Al-Rajhi Banking and Investment Corporation
AS203116,NESMA HOLDING CO LLC
AS203268,Digital Technology Co.Ltd.
AS203378,General Authority of ZAKAT & TAX
AS203893,International Maritime Industries Mixed Limited Liability Company
AS204011,Saudi Aramco Total Refining and Petrochemical Co.
AS204255,Salem Alsaiari
AS205251,Sadara Chemical Company LLC
AS205695,Maximum Solutions for Communications and Information Technology LLC
AS206694,Amazenet Information Technology Co Ltd
AS206878,Johns Hopkins Aramco Healthcare LLC
AS206942,Saudia Aerospace Engineering Industries SJSC
AS207443,Nova Set Trading Company CJSC
AS207544,FAST DATA COMPANY FOR TELECOMMUNICATIONS AND INFORMATION TECHNOLOGY LIMITED LIABILITY
AS207661,"Safe Decision Information Technology Company, JSC"
AS208140,Elm Company PJS
AS208472,Social Development Bank
AS208520,King Abdul Aziz City for Science and Technology
AS209197,Data Security for Cyber Security LLC
AS209308,Public Telecommunications Company Limited Liability Company
AS209342,NIC (National Information Center)- SDAIA ( Saudi Data and Artificial Intelligence Authority )
AS209349,Sami Mohamed Ahmed Ali
AS209464,King Saud bin Abdulaziz University For Health Sciences
AS209497,Saudi Red Crescent Authority
AS21002,Ministry of Finance of Saudi Arabia
AS210248,NORTHERN BORDER UNIVERSITY
AS210275,Saudi Information Technology Company CJSC
AS211050,STC Bank CJSC
