ASN,Name
AS133772,New Eagle Ltd
AS198738,Smarttelecom LTD
AS199834,IP Solus Inc
AS199835,UTEAM LTD
AS200195,"Verasel, Inc."
AS201118,Intelcom Group Ltd
AS201162,Bizmark Enterprises Ltd
AS201744,ByteFlare LTD
AS201936,REDSTART GROUP HOLDING LTD
AS202412,Omegatech LTD
AS202425,IP Volume inc
AS202492,SILVERHILL GROUP HOLDING LTD
AS202959,Lushu Limited
AS203429,Zeal Capital Market (Seychelles) Limited
AS203802,Nexmont Services Ltd
AS204615,IP Fiber Inc
AS206264,Amarutu Technology Ltd
AS206317,Aphrodite Group Ltd
AS207557,BeetleNetwork Ltd.
AS207616,Altrosky Technology Ltd.
AS208220,Offerhost Solutions Inc
AS208273,SecuNET INC
AS209101,IP Vendetta Inc.
AS209132,Alviva Holding Limited
AS209272,Alviva Holding Limited
AS210334,Synertech Network Inc.
AS210530,IP Connect Inc
AS210848,Telkom Internet LTD
AS211238,Dedicated Cyber Limited
AS211632,Internet Solutions & Innovations LTD.
AS211720,"Datashield, Inc."
AS211922,IP Connect Inc
AS213373,IP Connect Inc
AS213438,ColocaTel Inc.
AS216206,Aphrodite Group Ltd
AS216213,Lexistar Alliance Ltd.
AS327861,Department of ICT Government of Seychelles
AS328383,xTom Limited
AS328543,Sun Network Company Limited
AS328703,Seven Network Inc.
AS329225,Lexistar Alliance Ltd.
AS34046,"ShieldTelecom, Ltd."
AS36867,Kokonet Ltd
AS36902,Intelvision Ltd
AS36958,Cable & Wireless (Seychelles) Ltd
AS37343,Telecom Seychelles Limited
AS37518,Fiber Grid INC
AS37707,SEYCHELLES INTERNET EXCHANGE POINT ASSOCIATION
AS37740,IPTP Inc
AS42375,iNet Ltd
AS42745,Safe Value Limited
AS43180,Trunk Networks LTD
AS44372,Dainsleif Ltd
AS44893,iNet Ltd
AS46805,Angelnet Limited
AS47464,Address Management Inc.
AS49111,iNet Ltd
AS51711,iNet Ltd
AS51837,iNet Ltd
AS57858,Angelnet Limited
AS57972,Angelnet Limited
AS59406,Aphrodite Group Ltd
AS60039,Geotelco Limited
AS60326,0xDEADBEEF LTD
AS60485,Angelnet Limited
AS61336,Island Servers LTD
AS63119,Angelnet Limited
