ASN,Name
AS10024,LGA International
AS10031,"WEBSATMEDIA PTE LTD, Satellite Over IP, Singapore"
AS10074,iBasis Singapore ICO
AS10082,Morgan Stanley Management Service (Singapore) Pte. Ltd
AS10102,1Asia Communication Pte Ltd
AS10122,NETSTAR (SG) PTE. LTD.
AS10146,Ford Motor Company
AS10230,internet content provider
AS131195,SIM Headquarters
AS131217,8 Kallang Sector
AS131219,Indosat Singapore Pte. Ltd.
AS131236,Genworx Pte Ltd
AS131244,Invisalign Singapore Pte. Ltd.
AS131259,QOXY PTE LTD
AS131444,Huawei IT Data Center in AP
AS131475,Singapore Institute of Technology
AS131582,QUAPE PTE LTD
AS132016,IRESS Market Technology Ltd
AS132053,Qualcomm Inc
AS132132,MyRepublic Ltd.
AS132200,Exabytes Network (Singapore) Pte. Ltd.
AS132204,CORETEL NETWORKS (INTERNATIONAL) PTE LTD
AS132236,NEC ASIA PACIFIC PTE LTD
AS132242,Hogarth Worldwide Pte
AS132253,79 Robinson Road
AS132265,Singapore Airlines Limited
AS132277,105 Tampines Road # 03-06/07
AS132281,China Unicom (Singapore) Operations Pte Ltd
AS132337,Axclusive
AS132356,Changi Airport Group (Singapore) Pte Ltd
AS132398,Science and Engineering Institutes
AS132399,SITA Cloud APAC
AS132472,70 Bendemeer Road
AS132690,Network For Electronic Transfers (Singapore) Pte Ltd
AS132696,SGIX Services
AS132699,Siemens Pte Ltd.
AS132708,VNG Singapore PTE. LTD.
AS132739,Scaffnet Pte Ltd
AS132804,Singapore Telecommunications Limited
AS132805,Singapore Telecommunications Limited
AS132816,SimplerCloud Pte Ltd
AS132824,Beyotta Network LLP
AS132829,Nevigate Communications (S) Pte Ltd
AS132915,M1 Limited/ Next Generation Broadband Network
AS133013,"AbbVie, Inc."
AS133025,InMobi Pte. Ltd.
AS133134,AION TECHNOLOGIES PTE LTD
AS133136,MyRepublic Ltd.
AS133151,Garena Online Pte Ltd
AS133210,EN Technologies Pte Ltd
AS133327,Flextronics International Ltd.
AS133387,GOVERNMENT TECHNOLOGY AGENCY
AS133391,SYSNETPRO SOLUTION PTE LTD
AS133422,Aviva Asia Pte Ltd
AS133426,Northtelecom PTE LTD
AS133449,VASTSPACE PTE. LTD.
AS133456,ALAGAS NETWORK PTE. LTD.
AS133462,"Texas Instruments, Inc."
AS133466,Robert Bosch GmbH
AS133470,SYNAPXE PTE. LTD.
AS133471,SYNAPXE PTE. LTD.
AS133535,PRIMABANANEN PTE. LTD.
AS133541,SIPPE-SG
AS133587,Bain and Company
AS133600,ESSEC
AS133622,Bottomline Technologies Pte. Ltd.
AS133728,Chubb Asia Pacific Pte Ltd
AS133735,McKinsey & Company
AS133748,CORETEL NETWORKS (INTERNATIONAL) PTE LTD
AS133757,Telecom Italia Sparkle Singapore Pte Ltd
AS133794,ABN Amro Clearing Sydney Pty Ltd
AS133891,Fidessa ltd
AS133912,MediaCorp Pte Ltd
AS134078,NETPLUZ HOLDINGS PRIVATE LIMITED
AS134148,SingAREN
AS134190,IPDC SOLUTIONS PTE LTD
AS134193,SkyLab Holding Pte. Ltd.
AS134206,"DRW Singapore Pte, Ltd"
AS134349,Panduit Singapore Pte Ltd
AS134363,EZIT Solutions Pte Ltd
AS134407,MediaCorp Pte Ltd
AS134457,BMC Software Asia Pacific Pte Ltd
AS134469,Digital Singapore 2 Pte Ltd
AS134474,Micro Cloud Technology Pte. Ltd.
AS134534,ATT NBE Equinix Singapore
AS134546,Maybank Singapore Limited
AS134594,AVNET ASIA PTE LTD
AS134677,Dromatics Systems Pte Ltd
AS134789,OPTICALHASH COMMUNICATIONS PTE LTD
AS134842,PGAS TELECOMMUNICATIONS INTERNATIONAL PTE. LTD
AS134963,Alibaba Cloud (Singapore) Private Limited
AS134981,UBER SINGAPORE TECHNOLOGY PTE. LTD
AS134998,Green Packet Global Pte. Ltd.
AS135008,GOVERNMENT TECHNOLOGY AGENCY
AS135048,Singapore Pools (Private) Limited
AS135066,Schroders Investment Management (Singapore) Limited
AS135074,DREAM CLOUD INNOVATION PTE. LTD.
AS135102,ZOHO CORPORATION PTE. LTD.
AS135103,Alex Neo
AS135134,Soon Keat Neo
AS135354,NAVER BUSINESS PLATFORM ASIA PACIFIC PTE. LTD.
AS135409,Kacific Broadband Satellites Pte Ltd
AS135411,Red Grapes Pte Ltd
AS135418,Computer Analysts And Recovery Experts Pte. Ltd.
AS135437,HostSG
AS135525,"Exoduspoint Capital Management Singapore, Pte. Ltd."
AS135530,Acronis Asia Pte. Ltd
AS135531,Global Integrated Communications Pte Ltd
AS135577,SAP
AS135600,Whiz Communications Pte Ltd
AS136041,"Singapore Telecom, ConnectPlus"
AS136149,MediaCorp Pte Ltd
AS136169,DBS Bank Ltd
AS136202,Freepoint Commodities Singapore Pte. Ltd.
AS136261,VERTIV (SINGAPORE) PTE. LTD.
AS136439,Defence Science Technology Agency
AS136459,F12 DATA PTE LTD
AS136464,Pacific Internet Pte Ltd
AS136468,IBM Singapore Pte Ltd
AS136511,Toku Pte.Ltd
AS136537,SQUAREPOINT OPERATIONS PRIVATE LIMITED
AS136553,3i Network Pte Ltd
AS136599,IEC Telecom Singapore Pte Ltd
AS136733,Racks Central Pte Ltd
AS136736,NEOLINK TECHNOLOGY PTE. LTD.
AS136785,TOFFS TECHNOLOGIES PTE LTD
AS136968,SingAREN
AS137003,INSEAD
AS137061,Flex Ltd.
AS137182,BLUE WIRELESS PTE LTD
AS137190,STRAITDEER PTE. LTD.
AS137269,Novartis Singapore Pte Ltd
AS137272,PSiDEO (Singapore) Pte Ltd
AS137456,"BHP, MBFC Tower 2, Singapore"
AS137476,Cargill Asia Pacific Holdings Pte Ltd
AS137535,JT TELECOM INTERNATIONAL PTE.LTD.
AS137563,Flow Traders Asia Pte. Ltd.
AS137567,Campana Group Pte. Ltd.
AS137825,UniCredit Business Integrated Solutions S.C.P.A Singapore Branch
AS137831,SEA IX
AS137870,"IHNetworks, LLC"
AS137904,Black & Veatch (SEA) PTE LTD
AS137932,IPDC SOLUTIONS PTE LTD
AS137948,Diebold Nixdorf Singapore PTE. LTD.
AS137962,GREYPANEL PTE LTD
AS137991,Lifeway Singapore Pte. Ltd.
AS138030,IWAN TECHNOLOGY PTE. LTD.
AS138199,Transatel
AS138341,SHOPEE SINGAPORE PRIVATE LIMITED
AS138345,StarHub Ltd
AS138419,Pico (Singapore) Pte. Ltd.
AS138433,GMO GlobalSign Pte Ltd
AS138458,NEC ASIA PACIFIC PTE LTD
AS138459,NEC ASIA PACIFIC PTE LTD
AS138463,Interactive Brokers Singapore Pte. Ltd
AS138481,Lear Corporation
AS138539,Jewel Changi Airport Trustee Pte. Ltd.
AS138552,RTB HOUSE PTE. LTD.
AS138588,Diebold Nixdorf Singapore PTE. LTD.
AS138593,Diebold Nixdorf Singapore PTE. LTD.
AS138606,Suga Pte. Ltd
AS138608,Cloud Host Pte Ltd
AS138610,SAP SE
AS138626,AVALOQ SOURCING ASIA PACIFIC (SINGAPORE) PTE. LTD.
AS138699,TIKTOK PTE. LTD.
AS139028,Singapore Technologies Engineering Ltd
AS139057,Edgenext Legend Dynasty Pte. Ltd.
AS139062,Synamedia Asia Private Ltd
AS139070,Google Asia Pacific Pte. Ltd.
AS139190,Google Asia Pacific Pte. Ltd.
AS139225,Whatbox Inc.
AS139264,Zhongfu Li
AS139291,INFINITIUM HOLDINGS PTE. LTD.
AS139341,ACE
AS139349,Diebold Nixdorf Singapore PTE. LTD.
AS139601,Krixe Pte. Ltd.
AS139617,ISEAS Yusof Ishak Institute
AS139690,DBS Bank Ltd
AS139739,Hsin Yi Pte Ltd
AS139746,FlexTrade Systems Pte Ltd
AS139829,RigNet Pte Ltd
AS139883,SPTEL PTE. LTD.
AS139895,Air Liquide Industrial Services Pte Ltd
AS139896,Kim Chuan Telecommunications Complex
AS140052,Behenobe Trade Services Pte. Ltd.
AS140362,DIGISIGMA PTE. LTD.
AS140577,Ahrefs Pte Ltd
AS140578,BNP Paribas India Solutions Pvt. Ltd
AS140592,GOVERNMENT TECHNOLOGY AGENCY
AS140605,ShareInvestor Pte Ltd
AS140610,Bayer (South East Asia) Pte Ltd
AS140629,Antarex Cyber Pte. Ltd.
AS140661,PSA Corporation Ltd
AS140666,ANY DIGITAL PTE. LTD.
AS140719,201309973N
AS140845,Threadneedle Investments Singapore (pte.) limited
AS140899,"Agora Lab, Inc."
AS140920,HICLOUDS (SINGAPORE) PTE.LTD.
AS140928,T20025
AS140929,T20025
AS140939,Tenpage Pte Ltd
AS140982,DCS1 Pte. Ltd.
AS141042,DECATHLON SINGAPORE PTE. LTD.
AS141180,HUAWEI INTERNATIONAL PTE. LTD.
AS141190,Jindun Technology PTE. Ltd.
AS141205,Maybank Securities Pte Ltd
AS141235,PrimeXM Networks (Singapore) PTE. LTD
AS141364,Bayer (South East Asia) Pte Ltd
AS141367,Bayer (South East Asia) Pte Ltd
AS141384,Internet Society Asia Limited
AS141387,Berkat Ltd
AS141389,GOIP Telecom (Asia Pacific) Pte. Ltd.
AS141409,3K33 sp. z o.o.
AS141469,Cargill Asia Pacific Holdings Pte Ltd
AS141678,Private Limited Company
AS141697,CrimsonLogic Pte Ltd
AS141753,CBC TECH INTERNATIONAL LTD.
AS141760,Mercedes-Benz Singapore Pte. Ltd.
AS141995,Contabo Asia Private Limited
AS142002,Scloud Pte Ltd
AS142036,Hosteons Pte. Ltd.
AS142066,Northern Point Technology Private Limited
AS142110,Northern Point Technology Private Limited
AS142119,NEX CORPORATEIT PTE LTD
AS142146,SANDHILL SOLUTION PTE. LTD.
AS142160,JOYO TECHNOLOGY PTE. LTD.
AS142250,Oversea-Chinese Banking Corporation Limited
AS142275,INCUBATEC Srl
AS142292,NOVA TECHNOLOGY DEVELOPMENT (HONG KONG) LIMITED (SINGAPORE BRANCH)
AS142565,Bangmod Cloud Pte. Ltd.
AS142636,SynOption Pte. Ltd.
AS146962,GATEWAY TECHNOLOGY DEVELOPMENT PTE. LTD.
AS147003,ALLIANCE INTELLIGENT TECHNOLOGIES PTE. LTD.
AS147188,Rocket Network Pte. Ltd.
AS149020,WebHorizon Internet Services
AS149290,Cloud Telecommunications (S) PTE. LTD.
AS149493,HRT SG PTE. LTD.
AS149981,Edgenext Legend Dynasty Pte. Ltd.
AS150003,RETN PTE. LTD.
AS150157,Cartrack
AS150171,DIGISIGMA PTE. LTD.
AS150183,Infineon Technologies Asia Pacific Pte Ltd
AS150288,METAGE TECHNOLOGY PTE. LTD.
AS150347,Planisware Singapore Pte. Ltd
AS150378,THE ADVENTUS CONSULTANTS PTE LTD
AS150423,Server Galactic Private Limited
AS150436,Byteplus Pte. Ltd.
AS151059,Etiqa Insurance Pte. Ltd
AS151190,Duke Host Pte. Ltd.
AS151326,DCConnect Communication Pte. Ltd.
AS151334,Land Transport Authority
AS151358,Finovy Pte. Ltd.
