ASN,Name
AS12426,Slovanet a.s.
AS12508,Rainside s.r.o.
AS12905,ACS spol. s r. o.
AS12917,GlobalLogic Slovakia s.r.o.
AS15497,1 Cloud Lab s.r.o.
AS15962,Orange Slovensko a.s.
AS16006,RUPKKI s.r.o.
AS16142,"ING Bank N.V., pobocka zahranicnej banky"
AS16354,TIMES NETWORKS s.r.o.
AS16367,"SALAMON INTERNET, s.r.o."
AS1902,Deutsche Telekom Cloud Services s.r.o.
AS1922,The Slovak Internet eXchange Services
AS196900,"Axalnet, s.r.o."
AS196944,"bonet.systems, s. r. o."
AS197398,TES Media s.r.o.
AS197642,"Slovak Telekom, a.s."
AS198113,"VODOTIKA, a.s."
AS198543,MAC TV s.r.o.
AS199639,Matej Vallo
AS200222,Sama Tech s.r.o.
AS200355,CadcaNet plus s. r. o.
AS200771,"Elfa, s.r.o"
AS200860,Narodne Centrum Zdravotnickych Informacii (National Health Information Centre)
AS201603,AIRNET s.r.o.
AS201702,skHosting.eu s.r.o.
AS201841,"Petit Press, a.s."
AS201890,"EHS, s.r.o."
AS201924,ENAHOST s.r.o.
AS201997,MCOM-NET s.r.o.
AS202564,ITcity s.r.o.
AS202819,DATASYS - edoma.net s.r.o.
AS202876,BBNW s.r.o.
AS203933,DataCentrum
AS204017,Laura Fuchs
AS204058,"Fibris, s.r.o."
AS204365,ARTOS a.s.
AS204690,PLAYMAX s.r.o.
AS204691,PLAYMAX s.r.o.
AS204716,PLAYMAX s.r.o.
AS204749,MARTICO s.r.o.
AS205055,Geetoo Technology SK s. r. o.
AS205164,AIR-Optic Solutions s.r.o.
AS205168,MAXNETWORK s.r.o.
AS205428,DALNet s.r.o.
AS20581,Ing. Jan Mindzak - Maximal Net
AS206110,1 Cloud Lab s.r.o.
AS206194,Dobry internet s. r. o.
AS206198,"ELVISDK, s.r.o."
AS206759,"Sytra, s.r.o."
AS206909,News and Media Holding a.s.
AS207084,Slavconet s.r.o.
AS207437,CHOICE s.r.o.
AS207981,ENERGOTEL a.s.
AS208429,"Platon Technologies, s.r.o."
AS208667,"pc3100Plus, s.r.o."
AS208668,NetSpace s.r.o.
AS208670,BitComp s.r.o.
AS208882,"Automation & Business, s.r.o."
AS209100,TP NET Plus s.r.o
AS209250,GlobalLogic Slovakia s.r.o.
AS209251,GlobalLogic Slovakia s.r.o.
AS209429,Max Telekom s.r.o.
AS209531,OSTV s.r.o.
AS209816,"M.S.Profi, s.r.o."
AS209998,"ActiveNet, s.r.o."
AS210117,OravaSK s.r.o.
AS21019,S.A. spol. s r.o.
AS211689,"HMZ RADIOKOMUNIKACIE, spol. s r.o."
AS212473,"Gaya, s.r.o."
AS212537,Kia Slovakia s. r. o.
AS212974,TomaNet s.r.o.
AS213247,JUKO s.r.o. Presov
AS213906,Samuel Trnka
AS214072,Hlavne mesto Slovenskej republiky Bratislava
AS214087,EXO TECHNOLOGIES spol. s r.o.
AS214396,Sudolio a.s.
AS214446,LiveNET services s. r. o.
AS21460,MOVYS a.s.
AS214851,All2U services s.r.o.
AS215695,PrimaTEL s.r.o.
AS216083,"Prva internetova, s.r.o"
AS24727,"Slovensky plynarensky priemysel, a.s."
AS24744,SiNET Telecom s.r.o.
AS24791,"Direct Development, s.r.o."
AS25373,National Agency for Network and Electronic Services
AS25496,ZSR - ZT Bratislava
AS2607,Zdruzenie pouzivatelov Slovenskej akademickej datovej siete SANET
AS28952,"O2 Business Services, a.s"
AS29148,SURANY.NET s.r.o.
AS29405,VNET a.s.
AS29531,"VM Telecom, s.r.o."
AS30898,DataCentrum
AS30929,GOLEM TECH s.r.o.
AS31117,ENERGOTEL a.s.
AS31127,SATRO s.r.o.
AS31230,Slovak University of Technology in Bratislava
AS31679,Slovanet a.s.
AS34443,365.bank a. s.
AS34462,"DITEC, a.s."
AS34521,Atos Slovakia s.r.o.
AS34633,Tiramix s.r.o.
AS34791,Slovenska televizia a rozhlas
AS34820,DELTA ONLINE spol. s r.o.
AS35328,"DSI DATA, a. s."
AS35476,"Porsche Inter Auto Slovakia, spol. s r.o."
AS35493,"Belnet Snina, s.r.o."
AS38949,"Trestel SK, a.s."
AS39456,Llarik s.r.o.
AS39574,Minet Slovakia s.r.o.
AS39774,"PIXEL FEDERATION, s.r.o."
AS39854,6COM s.r.o.
AS41318,First Data Slovakia s.r.o.
AS41591,EuroServer.sk s.r.o.
AS41899,"Slovenske elektrarne, a.s."
AS42005,LightStorm Services s.r.o.
AS42244,eServer s.r.o.
AS42826,Axians Slovakia s.r.o.
AS42841,ANTIK Telecom s.r.o
AS43248,"ISPER, s.r.o."
AS43451,Slovanet a.s.
AS43653,"PEGO Slovakia, s.r.o."
AS44001,Antaree Solutions plus s.r.o
AS44185,"bonet.systems, s. r. o."
AS44234,"Gaya, s.r.o."
AS44452,netIQ s.r.o.
AS44631,"Condornet, s.r.o."
AS47483,"GIRO, s.r.o."
AS47867,"Stredoslovenska energetika Holding, a. s."
AS48133,"SWAN, a.s."
AS48304,Digmia s.r.o.
AS48326,DataNetworks s.r.o.
AS48473,Towercom a.s.
AS48907,Norttel s.r.o.
AS49044,"DIGI SLOVAKIA, s.r.o."
AS49115,E-MAX INTERNET & IT s.r.o.
AS49117,DTnet Detva s.r.o.
AS49460,Filleck s.r.o.
AS49659,"SkyToll, a. s."
AS49798,BBX s.r.o.
AS50128,"CNC, a.s."
AS50242,"LEVONET, s.r.o."
AS50881,"ESET, spol. s r.o."
AS50925,Gemernet s.r.o.
AS50953,David Kondicz trading as KONFER networks
AS51013,WebSupport s.r.o.
AS51558,StormWall s.r.o.
AS51653,PRESNET s.r.o.
AS51876,COMCRAFT s. r. o.
AS51947,GeCom s.r.o.
AS52139,Slovanet a.s.
AS5578,"SWAN, a.s."
AS56349,IP-Net s.r.o.
AS56356,Andrex s.r.o.
AS56572,JUPO spol. s r.o.
AS56656,Detronics s.r.o.
AS56747,"Nelson Services, s.r.o."
AS56800,LAST MILE spol. s r.o.
AS56926,"KOMNET, s.r.o."
