ASN,Name
AS1018,Coneris d.o.o.
AS12778,"MEGA M, d.o.o."
AS12785,ZVD Zavod za varstvo pri delu d.d.
AS15664,Business Solutions d.o.o.
AS15822,AGENCIJA ZA ENERGIJO
AS15889,SRC sistemske integracije d.o.o.
AS15946,Banka Intesa Sanpaolo d.d.
AS16104,"SKB banka d.d., Ljubljana"
AS16184,"LUKA KOPER, pristaniski in logisticni sistem, delniska druzba"
AS196772,Nuklearna Elektrarna Krsko d.o.o.
AS196837,ISTRABENZ TURIZEM d.d.
AS196846,"A1 Slovenija telekomunikacijske storitve,d.d."
AS196895,Uprava Republike Slovenije za javna placila
AS197209,STN STORITVE d.o.o.
AS197266,A-SOFT d.o.o.
AS197326,"TRIMO, arhitekturne resitve, d.o.o."
AS197391,Tobacna Ljubljana d.o.o.
AS197416,"Talpas, d.o.o."
AS197441,RETIP Informacijske Storitve d.o.o.
AS197470,TELE-TV d.o.o.
AS197514,Nova Ljubljanska Banka d.d.
AS197536,Kovintrade d.d. Celje
AS197579,"BASS d.o.o., Celje"
AS197635,ETI Elektroelement d.d.
AS197655,GEN-I d.o.o.
AS197663,"POLANS, telekomunikacijske storitve d.o.o."
AS197679,Kolektor Group d.o.o.
AS197796,Termoelektrarna Brestanica d.o.o.
AS197843,"Alcad podjetje za projektiranje, trgovino in storitve d.o.o."
AS197864,Infonet Media d.o.o.
AS197877,ASSISTANCE CORIS d.o.o. Ljubljana
AS197881,KRONTRON d.o.o.
AS197907,"AKSON, poslovno in informacijsko svetovanje, d.o.o."
AS197944,Virtua IT d.o.o.
AS198061,Valicon d.o.o.
AS198213,FREENET internet d.o.o.
AS198245,Monolit d.o.o.
AS198298,Imovation d.o.o.
AS198307,TPV AUTOMOTIVE d.o.o.
AS198470,RLS merilna tehnika d.o.o.
AS198524,iLOL d.o.o.
AS198572,"Ika, trgovsko podjetje, Ziri, d.o.o."
AS198827,"Elektro Gorenjska, podjetje za distribucijo elektricne energije, d.d."
AS198841,Repro-PRINT d.o.o.
AS199249,Genis d.o.o.
AS199268,LANCOM inzeniring racunalniskig sistemov d.o.o.
AS199612,Dun & Bradstreet d.o.o.
AS199638,Rudis D.o.o.
AS199951,"K-NET, kabelski sistemi, d.o.o."
AS199971,Ixtlan Team d.o.o.
AS200325,"BUNNYWAY, informacijske storitve d.o.o."
AS201395,IT-TIM d.o.o.
AS201444,Orange dog d.o.o.
AS201522,UB330.net d.o.o.
AS201905,Dspot d.o.o.
AS201985,RETIP Informacijske Storitve d.o.o.
AS202137,Ministrstvo za obrambo
AS202442,Westcon Group Balkans d.o.o.
AS202456,"SILIKO PROIZVODNO PODJETJE, STORITVE IN TRGOVINA, D.O.O."
AS202547,"Hranilnica LON d.d., Kranj"
AS202840,ELMITEL d.o.o.
AS202988,Ziga Kralj
AS203330,Incom Group d.o.o.
AS203466,INTROSERV d.o.o
AS203618,UB330.net d.o.o.
AS203671,Talum d.d. Kidricevo
AS203830,"PREMOGOVNIK VELENJE, d.o.o."
AS203970,WEILER Abrasives d.o.o.
AS204177,"CVS Mobile, informacijske resitve, d.d."
AS204500,Arcont d.d.
AS204501,LTH Castings d.o.o.
AS204771,Sinergise d.o.o.
AS204984,AJPES
AS205211,Tilen Barbiric
AS20526,Intereuropa d.d.
AS205379,"Salonit Anhovo, d.d."
AS205403,ELRAD INTERNATIONAL d.o.o.
AS205404,Arhides d.o.o.
AS205405,Kemofarmacija d.d.
AS205509,"Elektro Primorska, podjetje za distribucijo elektricne energije, d.d."
AS205962,Orange dog d.o.o.
AS20691,General Logistics Systems logisticne storitve d.o.o.
AS207318,"NGEN, energetske resitve d.o.o."
AS207746,"A1 Slovenija telekomunikacijske storitve,d.d."
AS207774,INNET SOLUTIONS d.o.o.
AS208243,HSI doo
AS20892,Nexi Slovenija d.o.o.
AS209411,"D1, informacijske tehnologije, d.o.o."
AS209996,Adacta d.o.o.
AS210197,ROK TAJZEL
AS2107,ARNES
AS210715,Nik Rozman
AS210719,"ADRIA MOBIL, d.o.o. Novo mesto"
AS211256,ELTA TELEKOMUNIKACIJE d.o.o.
AS211606,"UNIJA ETL IT d.o.o., Ljubljana"
AS211776,Anze Jensterle
AS211884,"CALCIT, proizvodnja kalcitnih polnil d.o.o."
AS212170,"Rok Potocnik, s.p."
AS212405,Kristjan Komlosi
AS212548,Petrol d.d. Ljubljana
AS212563,Mesta Obcina Celje
AS21283,"A1 Slovenija telekomunikacijske storitve,d.d."
AS212979,AP LJUBLJANA d.d.
AS213115,MMITECH d.o.o.
AS21401,Borzen d.o.o.
AS214167,Inel d.o.o.
AS21441,LJUBLJANSKA BORZA d.d. Ljubljana
AS214499,"BASS d.o.o., Celje"
AS214850,Ales List
AS215472,Jan Ferme
AS215844,Primoz Pokerznik
AS24629,NIL Data Communications Ltd.
AS24728,REDOX d.o.o. Portoroz
AS25059,Nova Ljubljanska Banka d.d.
AS25066,Nova KBM d.d.
AS25149,Atlantic Droga Kolinska d.o.o.
AS25173,"ISKRA, d.o.o."
AS25303,KDD d.d.
AS25467,Akton d.o.o.
AS25499,Zavarovalnica Triglav d.d.
AS25541,"MERKUR TRGOVINA, D.O.O."
AS28682,Posta Slovenije d.o.o.
AS28850,Zavod za zdravstveno zavarovanje Slovenije
AS28933,"University of Ljubljana, Faculty of Electrical Engineering"
AS28951,"PANTEON GROUP, Svetovanje in inzeniring d.o.o."
AS28984,Dezelna Banka Slovenije d.d.
AS28985,HOLDING SLOVENSKE ELEKTRARNE d.o.o.
AS29015,"KRKA, d.d.Novo mesto"
AS29051,"ELES, d.o.o."
AS29121,"Cankarjev dom, kulturni in kongresni center"
AS29273,LEXPERA d.o.o.
AS29276,"Telekom Slovenije, d.d."
AS29374,GENERALI zavarovalnica d.d.
AS31060,DOBA Fakulteta
AS31134,AMZS d.o.o.
AS31545,GENERALI zavarovalnica d.d.
AS31687,Perutnina Ptuj d.d.
AS31711,Addiko Bank d.d.
AS3212,Telemach Slovenija d.o.o.
AS33850,"UNIOR Kovaska industrija d.d., Zrece"
AS33918,"PRIMORSKE NOVICE, d.o.o. Koper,s.r.l. Capodistria"
AS34024,Infohit Computers d.o.o. Ljubljana
AS34367,Banka Slovenije
AS34488,UNICREDIT BANKA SLOVENIJA d.d.
AS34717,"SID Bank,d.d., Ljubljana"
AS34779,"T-2, d.o.o."
AS35023,"GORENJSKA BANKA D.D., KRANJ"
AS35099,Porsche Slovenija d.o.o.
AS35186,DONET d.o.o.
AS35343,Generali Investments d.o.o.
AS35471,"D1, informacijske tehnologije, d.o.o."
AS39187,Trinet Informatika d.o.o.
AS39320,ACTUAL I.T. d.d.
AS39387,DELO Casopisno Zaloznisko Podjetje d.o.o.
AS39497,"Titus Lama, proizvodnja in prodaja pohistvenega okovja, d.o.o."
AS39727,ZZI d.o.o.
AS39872,"ELES, d.o.o."
AS41104,"PODRAVKA trgovsko podjetje, d.o.o. Ljubljana"
AS41182,"Mladinska knjiga Zalozba, d.d"
AS41427,Datacenter d.o.o.
AS41505,Delavska hranilnica d.d. Ljubljana
AS41543,Salomon d.o.o.
AS41582,"Fraport Slovenija, d.o.o."
AS41630,"Helios Domzale, d.o.o."
AS41640,Halcom d.o.o.
AS41716,Ministry of foreign affairs of Republic of Slovenia
AS41828,Telemach Slovenija d.o.o.
AS41916,Poslovni sistem Mercator d.d.
AS41970,Zavod za pokojninsko in invalidsko zavarovanje Slovenije - ZPIZ
AS42207,Agencija za komunikacijska omrezja in storitve republike Slovenije
AS42273,Sava d.d.
AS42681,"Telekom Slovenije, d.d."
AS42700,Realis Informacijske tehnologije d.o.o.
AS42757,Banka Sparkasse d.d.
AS42791,Loterija Slovenije
AS42948,Sportna loterija d.d.
AS43034,Cimos d.d. Avtomobilska Industrija
AS43061,Stelkom d.o.o.
AS43128,"Webtasy, d.o.o."
AS43164,Mikrocop d.o.o.
AS43351,"Gorenje, d.o.o."
AS43427,Medis Intago d.o.o.
AS43462,Smart Com d.o.o.
AS43663,"Maksim trgovsko in storitveno podjetje, d.o.o."
AS43854,Studio Moderna d.o.o.
AS44073,Zdravstveni Dom Ljubljana
AS44085,DARS d.d.
AS44463,Dinit d.o.o.
AS44524,ADK d.o.o.
AS44549,"MEGA M, d.o.o."
AS44615,"PRO PLUS, d.o.o."
AS44632,KRONTRON d.o.o.
AS44667,Coneris d.o.o.
AS44730,Vzajemna zdravstvena zavarovalnica d.d.
AS44744,FLINT-SI d.o.o.
AS44823,Engrotus d.d.
AS44968,IPROM d.o.o
AS44993,Mobik d.o.o.
AS45002,"JAVNI HOLDING Ljubljana, d.o.o."
AS47336,Soske Elektrarne Nova Gorica d.o.o.
AS47360,"Casnik Finance, d.o.o."
AS47676,Vancas Hotel d.o.o.
AS47903,JUB d.o.o.
AS47904,ARCTUR d.o.o.
AS47917,RTV Slovenija
AS47993,Bankart procesiranje placilnih instrumentov d.o.o. Ljubljana
AS48016,Novatel druzba za informacijske tehnologije d.o.o.
AS48222,"ZAVAROVALNICA TRIGLAV, d.d."
AS48388,Splosna Bolnisnica Izola
AS48398,DINIT d.o.o.
AS48419,"SALUS, Ljubljana, d.d."
AS48573,PHAETON PLUS d.o.o
AS48609,"KPMG SLOVENIJA, podjetje za revidiranje, d.o.o"
AS48653,"Slovenske zeleznice, d.o.o."
AS48772,GLOBUS MARINE INTERNATIONAL d.o.o.
AS48774,Gen energija d.o.o.
AS48894,Optimus IT d.o.o.
AS49015,SAVSKE-ELEKTRARNE-LJUBLJANA-DOO
AS49402,Comtrade nepremicnine d.o.o.
AS49590,TRENDNET d.o.o.
AS49593,ALPINA d.o.o.
AS49618,ERA d.o.o.
AS49636,Ljubljanski urbanisticni zavod d.d.
AS49754,Sfera IT d.o.o.
AS49853,"CETRTAPOT, avtomatska identifikacija, racunalnistvo in informatika, d.o.o."
AS49896,Japet d.o.o.
AS49927,Mikrografija Trgovina d.o.o.
AS50093,Epilog d.o.o.
AS50195,Univerza v Mariboru
AS50344,"CDE IT, informacijske resitve d.o.o."
AS50592,Javni Zavod Lekrana Ljubljana
AS50815,TELPROM Informacijske tehnologije d.o.o.
AS51143,Informatika d.o.o.
AS51509,NEO IT d.o.o.
AS51565,HC CENTER druzba za informacijske tehnologije d.o.o.
AS51573,XLAB razvoj programske opreme in svetovanje d.o.o.
AS51615,Zavod Kabelska televizija Nova gorica
AS51644,Datalab Tehnologije d.d.
AS51735,"Pernod Ricard Slovenija, Trgovina in storitve, d.o.o."
AS51790,"SIEL, d.o.o."
AS51816,PRO.ASTEC d.o.o.
AS51988,ARNES
AS52035,"D1, informacijske tehnologije, d.o.o."
AS5435,Velcom d.o.o
AS5603,"Telekom Slovenije, d.d."
AS56481,MLINOTEST zivilska industrija d.d.
AS56513,Optisis d.o.o.
AS56635,"XENYA inzeniring, proizvodnja in trgovina, d.o.o. Ljubljana"
AS56651,Javno podjetje uradni list Republike Slovenije d.o.o.
AS56695,"RRC Racunalniske storitve, d.o.o."
AS56993,"KONTROLA ZRACNEGA PROMETA SLOVENIJE, d.o.o."
AS57291,AJM okna-vrata-sencila d.o.o.
AS57517,Ministrstvo za notranje zadeve
AS57532,Kabelska televizija Ravne d.o.o.
AS57554,"Zavarovalnica Sava, d.d."
AS57623,AGENDA komunikacijski in informacijski inzeniring d.o.o.
AS57854,ACTUAL I.T. d.d.
AS58046,The Ministry of Digital Transformation
AS58056,siaIT d.o.o.
AS58213,"TOTTER MIDI podjetje za proizvodnjo in raziskave, razvoj in trgovino, d.o.o., Menges"
AS59449,Mitja Herbaj
AS59834,Hitrost.com Internet Storitve d.o.o.
AS60114,"SIEL, d.o.o."
AS60215,Projekt IP d.o.o.
AS60435,Humanfrog d.o.o.
AS60973,ZUPO D.O.O.
AS62255,BiMajLink d.o.o.
AS64465,Comtron d.o.o.
AS6764,"PERFTECH, podjetje za proizvodnjo in uvajanje novih tehnologij, d.o.o."
AS8558,HTTPool d.o.o.
AS8727,BE-terna d.o.o.
AS9119,SOFTNET d.o.o.
