ASN,Name
AS327732,Dalkom Somalia
AS327742,Somali Wireless Network
AS327747,Sahal Telecom Somalia
AS327764,Somali Research & Education Network(SomaliREN)
AS327768,Somcast Networks LLC
AS327828,Somali Optical Networks
AS328250,Golis Telecom Somalia
AS328319,AMTEL LTD
AS328435,Economic & Strategic Research Center
AS328469,Somtel Somalia LTD
AS328590,Somlink Wireless Network
AS328953,TAYOCOM
AS328954,Bluecom Ltd
AS328959,SO! Limited
AS37326,Global Internet Company
AS37371,Hormuud Telecom Somalia INC
AS37425,SomCable
AS37473,Telesom
AS37563,SOMTEL INTERNATIONAL Ltd
AS37644,"Ministry of Posts, Telecommunications and Technology"
