ASN,Name
AS10474,Dimension Data
AS10540,InfoDOOR Pty Ltd
AS10798,The Standard Bank of South Africa (Proprietary) Limited
AS11157,Electronic laboratory Services Pty Ltd
AS11744,Investec Bank Ltd
AS11845,Vox Telecom Ltd
AS12091,MTN SA
AS13854,The Johannesburg Stock Exchange (JSE Limited)
AS14115,ABSA (Amalgamated Banks of South Africa)
AS14516,Investec Bank Ltd
AS15022,Adept Internet (Pty) Ltd CT
AS16637,MTN SA
AS16800,Nedbank Limited
AS17148,First Rand Bank Limited
AS18931,SEACOM KZN (Pty) Ltd
AS20011,Dimension Data
AS2018,TENET (The UNINET Project)
AS204300,D2CLOUD NETWORK SERVICES (PTY) LTD
AS209167,TERACOM COMMUNICATIONS (PTY) LTD
AS209425,KOI CLOUD SERVICES (Pty) Ltd
AS210555,D2CLOUD NETWORK SERVICES (PTY) LTD
AS211869,Nicholis du Toit
AS213481,Hevis Co Systems PTY LTD
AS213975,Warwick Ward-Cox
AS214209,Internet Magnate (Pty) Ltd
AS214564,Bruce Moriarty
AS216409,ENDGAME RESEARCH (PTY) LTD
AS21739,MAJUBA TECHNOLOGIES(PTY) Limited t/a T-SOL
AS22355,Frogfoot Networks
AS22386,South Africa Reserve Bank
AS22572,Sentech SOC Ltd
AS22750,BCS Group (BCSNet)
AS23058,Discovery Health
AS25818,cmcnetworks
AS29918,"Imperial IT , a division of Imperial Group Ltd"
AS29975,Vodacom
AS3067,Gijima Holdings (PTY) Limited
AS3068,Gijima Holdings (PTY) Limited
AS32437,Webdev CC T/A Cybertek
AS32653,eNetworks cc
AS327688,Screamer Telecommunications
AS327693,Echotel Pty Ltd
AS327698,Broadband Infraco
AS327701,Sabinet  Gateway
AS327726,New telco South Africa Pty Ltd.
AS327733,Saicom Voice Services
AS327737,Custom Solutions Business Trust
AS327745,WiFibre Pty Ltd
AS327749,Digital Outsource Services Ltd
AS327750,JENNY INTERNET (PTY) LTD
AS327751,LanDynamix
AS327754,RMS Powertronics CC
AS327761,Oxygn ISP (PTY) LTD
AS327767,Ultimate Linux Solutions (Pty) Ltd
AS327772,Fulloutput 1086 cc
AS327782,Metrofibre Networx
AS327787,Ampath
AS327791,Centracom
AS327794,Clear Access (Pty) Ltd
AS327804,Municipal Network Services
AS327805,Bundu NetworX
AS327808,TESUCO TELECOMMUNICATIONS (PTY) LTD
AS327812,Metacom (Pty) Limited
AS327813,Host Africa (Pty) Ltd
AS327817,Ladysmith Wireless Solutions
AS327822,Airpark Beaufort West CC
AS327824,Converged Telecoms
AS327832,Safcor Freight (Pty) Ltd
AS327839,Woolworths(Proprietary) Ltd
AS327840,RAIN GROUP HOLDINGS (PTY) LTD
AS327849,DIRECTEL COMMUNICATIONS (PTY) LTD
AS327850,NEC XON SYSTEMS (PTY) LTD
AS327851,Prepaid Utilities World CC
AS327872,IBITS Internet (pty) Ltd
AS327889,Watchtower Bible and Tract Society of South Africa
AS327892,BETHNET cc
AS327893,Legends Connect Pty Ltd
AS327894,Desktop Network Solutions
AS327896,BIZVOIP
AS327897,ATEC Systems and Technologies PTY LTD
AS327901,Level 7 Wireless (Pty) Ltd
AS327907,Session Telecoms(PTY) Ltd
AS327908,ECOTECH Converge PTY Ltd
AS327909,iONLINE INTERNET SERVICE PROVIDER
AS327910,Tarsus On Demand (Pty) Ltd
AS327922,Perlcom CC T/A iSPOT
AS327923,South African Bankers Services Company Limited
AS327926,Technolutions Pty Ltd
AS327935,iSPACE (PTY) LTD
AS327936,Kibo Connect
AS327943,Mezobyte (Pty) LTD
AS327946,Mesh Telecom Pty Ltd
AS327949,Hollard Insurance
AS327950,Izwi Technology Group (Pty) Ltd
AS327960,PC Maniacs (Pty) Ltd
AS327961,Speer Management Services (PTY)LTD
AS327962,Magnalec (Pty) Ltd t/a PacketSky
AS327966,FJ Wiese CC
AS327979,DIAMATRIX C.C
AS327980,FASTHOSTING (PTY) LTD
AS327982,Sithabile Technology Services (Py) Ltd
AS327983,Interworks Wireless Solutions
AS327984,The Ribeiro Group
AS327987,Webstorm (Pty) LTD
AS327988,CAPITEC BANK LIMITED
AS327991,Megasurf Wireless Internet CC
AS327996,Accelerit Technologies PTY LTD
AS328001,Satsoft cc
AS328006,Ekurhuleni Metropolitan Municipality
AS328016,Netdirect Wireless Technology (Pty) Ltd
AS328020,Gardale Solutions
AS328024,JACQCO MANAGEMENT CC
AS328029,Web Telecom Services (PTY) Ltd
AS328030,THREE6FIVE NETWORK TECHNOLOGIES (PTY) LTD
AS328032,Routed Hosting (PTY) LTD
AS328036,Wifi-Resources (Pty) Ltd
AS328037,Optify Systems (Pty) Ltd
AS328039,JSDAAV ZA Telecoms (Pty) Ltd
AS328041,Hollywood Sportsbook Holdings (PTY) Ltd
AS328043,Clickatell PTY(LTD)
AS328045,Multichoice Support Services (Pty) Ltd
AS328049,Haupt Online (Pty) Ltd
AS328051,Go Communications Network (Pty) LTD
AS328068,Beginning 2 End Technologies
AS328074,KLIQ (Pty) Ltd
AS328106,UNIWISP
AS328109,City of Cape Town
AS328112,Linux Based Systems Design SA (Pty) Ltd
AS328113,Ocular Technologies (PTY) Ltd
AS328114,Comsol Networks (PTY) Ltd
AS328119,BUI Medical & Technology Suppliers  (pty) Ltd
AS328120,SMS Cellular Services
AS328122,Business Connexion (PTY) LTD
AS328125,Forbtech
AS328135,AVBOB Mutual Assurance Society
AS328137,Web Squad Connect (Pty) Ltd
AS328146,SAINT ICT CONSULTANTS (PTY) LTD
AS328155,Blue Sky Satellite Communications CC
AS328156,Korbitec (PTY) LTD
AS328157,VirtualComms (Pty) Ltd
AS328161,PayCorp Group (Pty) Ltd
AS328163,A 2 X (Pty) Ltd
AS328164,PYROCA 3cc T/A Net Hog Internet Solutions
AS328167,TWK Communications
AS328170,DataKeepers (Pty) Ltd
AS328172,Jasper Consultants Pty Ltd
AS328173,Weltel
AS328174,HomeFind24 (Pty) Ltd t/a Property24
AS328176,ITTX Telecoms (Pty) Ltd
AS328178,The Computer Hut cc
AS328179,Singa Tel
AS328186,NEWSHELF 1315 (PTY) LTD
AS328199,Voimar (Pty) Ltd
AS328206,Johannesburg Area Wireless User Group (JAWUG)
AS328209,Velocity Trade Financial Services (Pty) Ltd
AS328210,TENACIT SOLUTIONS (PTY) LTD
AS328214,Bioniq (Pty) Ltd
AS328216,Firestream (PTY) LTD
AS328218,Wireless Associate Service Providers CC
AS328220,Sentiv (Pty) Ltd
AS328222,NETLAYER (PTY) LTD
AS328227,TELECLOUD (PTY) LTD
AS328237,Mega Max Distributors
AS328241,EXMILE TECHNOLOGIES (PTY) LTD
AS328242,IP Labs Communications (Pty) Ltd
AS328246,Foschini Retail Group (Pty) Ltd
AS328257,ASK Internet Technologies CC
AS328260,Sportpesa [PTY] LTD
AS328262,Internet Uncapped
AS328266,Atomic (Pty) Ltd
AS328270,WTTX Communications (PTY) LTD
AS328275,BDC Wireless Solutions CC
AS328278,WiberSolutions (Pty) Ltd
AS328285,EDELNET CC
AS328287,ALICOM (PTY) LTD
AS328288,Belanet cc
AS328306,Avanti Communications South Africa (Pty) Ltd
AS328312,Deloitte & Touche South Africa
AS328313,GVSC Communications (SA) (Pty) Ltd
AS328314,SMS Cellular Services
AS328315,Crisp Fibre (Pty) Ltd
AS328317,AEROCOM BROADBAND SERVICES
AS328320,Kurlec Wireless (PTY) Ltd
AS328323,Brilliant Telecommunications (Pty) Ltd
AS328327,ASAP Internet (Pty) LTD
AS328333,Fixed Mobile Telecommunications (Pty) LTD
AS328334,The Phoenix Quest II cc
AS328335,Harmony Gold Mining Company Limited
AS328336,Rosewill Trading 324
AS328337,Viva Telecoms cc
AS328339,WANT THE FIBRE INTERNET
AS328341,Capricom Networks
AS328346,Airtelecom
AS328347,No Barrier Communications
AS328349,Nuwcom Wireless
AS328350,Network & Computing Consultants (Pty) Ltd
