ASN,Name
AS327786,4G Telecom
AS328491,Super NET Limited
AS328535,JUBA NETWORK CO. LTD
AS328546,Trinity Technologies Ltd
AS328586,HORIZON IT SOLUTIONS LTD
AS328605,MUYA FIBRE CONSTRUCTION LTD
AS328610,DELTANET FIBER
AS328614,Eden Technologies Company Limited
AS328697,Smart Network Limited
AS328708,DishNet Africa Limited
AS328755,Digitel Holdings Limited
AS329020,ATX NET Limited
AS329168,EXPERT COMMUNICATIONS LTD
AS329446,BOMA RURAL CONNECT LTD
AS36892,IPTEC Limited
AS37376,Zain South Sudan
AS37406,RCS-Communication
AS37584,Fast Network Ltd
AS37594,MTN South Sudan
