ASN,Name
AS12319,Informatika Zerbitzuen Foru Elkartea Sociedad Foral de Servicios Informaticos SA
AS12321,XTRA TELECOM S.A.
AS12334,"R Cable y Telecable Telecomunicaciones, S.A.U."
AS12338,Euskaltel S.A.
AS12357,VODAFONE ESPANA S.A.U.
AS12430,VODAFONE ESPANA S.A.U.
AS12462,Evolutio Cloud Enabler S.A. Unipersonal
AS12479,Orange Espagne SA
AS12521,Nova Internet S.L.
AS12540,IdecNet S.A.
AS12541,LYNTIA NETWORKS S.A.
AS12569,"Instrumentacion y Componentes, SA"
AS12715,Orange Espagne SA
AS12924,"Gamma UCaaS Comercializadora, S.L.U."
AS12946,"R Cable y Telecable Telecomunicaciones, S.A.U."
AS12956,TELEFONICA GLOBAL SOLUTIONS SL
AS13041,Consorci de Serveis Universitaris de Catalunya
AS13137,AGENCIA EFE SA
AS13186,Evolutio Cloud Enabler S.A. Unipersonal
AS13195,"Ingenieria y Economia del Transporte, S.A"
AS13287,FALBOX S.L. trading as NIXVAL
AS15364,Tecavicas S.L.
AS15450,Alhambra Systems SA
AS15488,Universidad del Pais Vasco - Euskal Herriko Unibertsitatea
AS15548,"Cajamar Caja Rural, Sociedad Cooperativa de Credito"
AS15608,Banco Inversis S.A.
AS15630,Universidad Nacional de Educacion a Distancia - UNED
AS15633,Universitat Oberta de Catalunya
AS15699,"Adam EcoTech, S.A"
AS15704,XTRA TELECOM S.A.
AS15711,Iberdrola S.A.
AS15810,"Banco Bilbao Vizcaya Argentaria, S.A."
AS15919,Servicios de Hosting en Internet S.A.
AS15937,ADIF
AS15954,"Tecnocratica Centro de Datos, S.L."
AS16003,Fornex Hosting S.L.
AS16030,"FIBRACAT Telecom, S.L.U."
AS16039,"Knet Comunicaciones, S.L."
AS16085,Bolsas y Mercados Espanoles Inntech SA
AS16091,SISTEMAS AVANZADOS DE TECNOLOGIA SA
AS16153,Servei Catala de la Salut
AS16168,GENETSIS PARTNERS SL
AS16203,NCG Banco SA
AS16299,XFERA Moviles S.A.
AS16338,"VODAFONE ONO, S.A."
AS16371,"acens Technologies, S.L."
