ASN,Name
AS131218,Innodata Lanka Pvt Ltd
AS132124,Information and Communication Technology Agency of Sri Lanka
AS132447,"234, Galle Road, Colombo 4"
AS133051,COMMERCIAL BANK OF CEYLON PLC
AS134824,Tekki Pvt Ltd
AS136934,Bank Of Ceylon
AS138984,Sri Lanka Telecom Ltd
AS139032,Nations Trust Banks Plc
AS139731,Hatton National Bank PLC
AS151197,OREL I T Private Limited
AS151485,CEYLON ELECTRICITY BOARD
AS152325,LankaPay Pvt Ltd
AS153563,OREL I T Private Limited
AS17470,Hutchison Telecommunications Lanka (Private) Limited
AS17904,Sri Lankan Airlines
AS18001,Dialog Axiata PLC.
AS204307,Rishikeshan Lavakumar
AS38229,"Lanka Education & Research Network, NREN"
AS45356,Mobitel Pvt Ltd
AS45489,"Sri Lanka Telecom PLC, GLobal Peering"
AS5087,Lanka Communication Services
AS9329,Sri Lanka Telecom Internet
