ASN,Name
AS12381,Resilans AB
AS12384,Swedish University of Agricultural Sciences
AS12501,"UMDAC, Umea University"
AS12552,GlobalConnect AB
AS1257,Tele2 Sverige AB
AS12597,Gotalandsnatet AB
AS12740,Nasdaq Technology AB
AS12782,Uppsala Lans Landsting
AS12935,QD Sverige AB
AS12939,Hanse Holding AB
AS1299,Arelion Sweden AB
AS13063,SKF Sverige AB
AS13116,Tele2 Sverige AB
AS13189,Liden Data Internetwork AB
AS13214,Hans Fredrik Lennart Neij
AS13308,Peter Olsson
AS134784,NasdaqOMX Bangalore
AS135270,NasdaqOMX
AS15519,Oracle Svenska AB
AS15912,InfraCom Connect AB
AS15980,Uppsala University
AS15991,Swedish Tax Agency
AS16037,AB Tetra Pak
AS16115,Nasdaq Technology AB
AS16117,Gavle Energi AB
AS16251,Hogskolan i Gavle
AS16253,Primlight AB
AS16312,Internet Vikings International AB
AS1653,Vetenskapsradet / SUNET
AS1729,Telia Company AB
AS1755,"Svensk Teleutveckling & Produktinnovation, STUPI AB"
AS1878,"Svensk Teleutveckling & Produktinnovation, STUPI AB"
AS1880,"Svensk Teleutveckling & Produktinnovation, STUPI AB"
AS1881,FMV
AS1882,"Svensk Teleutveckling & Produktinnovation, STUPI AB"
AS1883,"Svensk Teleutveckling & Produktinnovation, STUPI AB"
AS196967,N.Henulin
AS197308,Telia Cygate AB
AS197332,Vitec Software Group AB
AS197425,Saab AB
AS197430,AxByte Internet Services AB
AS197436,ClearOn AB
AS197557,RUN Communications AB
AS197564,Stiftelsen for Internetinfrastruktur
AS197581,Conect networks and Information Technology i Jonkoping AB
AS197603,Transtema Network Services AB
AS197617,Scalability AB
AS197623,Kopings Kabel-TV AB
AS197670,
AS197775,OCTN Networks AB
AS197784,Gibon Ljungby AB
AS197799,Molndals kommun
AS197854,Eisenia AB
AS197942,Forsakringskassan
AS198008,Regeringskansliet
AS198054,Nordlo Syd AB
AS198093,Foreningen for digitala fri- och rattigheter
AS198217,Nibe AB
AS198302,Aphelion Consulting AB
AS198347,Game-Hosting GH AB
AS198463,On 1 Call Support AB
AS198476,Lansstyrelsen i Vastra Gotalands lan
AS198549,ECIT Solutions AB
AS198568,ATEA Sverige AB
AS198581,EVRY Card Services AB
AS198612,Wekudata AB
AS198739,Gardio AB
AS198837,Region Vastmanland
AS198848,Nynas AB
AS198860,Wiktor Eriksson
AS198866,Crossnet AB
AS198911,Scheibling Consulting AB trading as Cloudyne Systems
AS198965,itm8 Sverige AB
AS199215,Ellos AB
AS199345,Peter Persson
AS199355,Landstinget Dalarna
AS199386,
AS199443,HCL Technologies Sweden AB
AS199470,Orebro Lans Landsting
AS199520,Dustin Aktiebolag
AS199543,TicMate AB
AS199544,Remote24 AB
AS199564,Medical Products Agency
AS199656,Zyner
AS199768,Karlstads Kommun
AS199780,Binero AB
AS199902,Lantmateriet
AS199950,HJELM ENTERPRISES AB
AS199973,Migrationsverket
AS199977,Fifty5Blue Sweden AB
AS200018,Jonkopings lans landsting
AS200060,Sjofartsverket
AS200090,Securitas Sverige AB
AS200144,Kungsbacka Kommun
AS200150,Ember AB
AS200550,Fagerhult Group AB
AS200559,Botkyrka Kommun
AS200591,Addmobile AB
AS200606,Viatel Sweden Aktiebolag
AS200701,Lyssna & Njut Fibernet AB
AS200712,Outpost 24 AB
AS200719,Miss Hosting AB
AS200765,Orange Cyberdefense Sweden AB
AS200795,HellsingeControl AB
AS200820,Benifex Sweden AB
AS200834,Floatel International AB
AS200881,Norrkopings Kommun
AS201013,Micro Tec i Laholm AB
AS201023,VMAR IT AB
AS201087,Suzuki Garphyttan AB
AS201146,lopnet AB
AS201154,IKEA IT AB
AS201171,Forward Nine AB
AS201216,Lolo Company AB
AS201317,Nordlo Jonkoping AB
AS201456,Avesta Kommun
AS201633,Perfect Sense AB
AS201641,Sveriges Television Aktiebolag
AS201816,Region Kalmar Lan
AS201869,Statens Fastighetsverk
AS201983,Ansluten Hosting i Sverige AB
AS202064,Vargarda Kommun
AS202093,Viaplay Group Sweden AB
AS202111,Transtema Network Services AB
AS202116,Scania CV AB
AS202188,Timra Kommun
AS202218,Stiftelsen for Internetinfrastruktur
AS202296,MicroGroup Europe AB
AS202395,Fiberaccessbolaget i Sverige AB
AS202646,Luossavaara-Kiirunavaara AB
AS202671,AID Solutions Vast AB
AS202687,Mainloop AB
AS202780,Advania Sverige AB
AS202812,Iver Accelerate AB
AS202837,Finansiell ID-Teknik BID AB
AS202891,AddSecure AB
AS202910,Internet Vikings International AB
AS202922,Internet Vikings International AB
AS202967,Kjell & Co Elektronik AB
AS203052,Centcom Sverige AB
AS203092,Flightradar24 AB
AS203158,Herrljunga Kommun
AS203191,Internet Vikings International AB
AS203192,Internet Vikings International AB
AS203193,Internet Vikings International AB
AS203194,Internet Vikings International AB
AS203213,Internet Vikings International AB
AS203240,Internet Vikings International AB
AS203241,Internet Vikings International AB
AS203295,Internet Vikings International AB
AS203297,Internet Vikings International AB
AS203298,Internet Vikings International AB
AS203300,Internet Vikings International AB
AS203383,Stena Rederi AB
AS203426,Statens Skolverk
AS203428,IT4U Sweden AB
AS203471,MicroData Skandinavien AB
AS203552,Internet Vikings International AB
AS203605,Synotio AB
AS203610,Internet Vikings International AB
AS203625,Internet Vikings International AB
AS203736,Afa Forsakring tjanstepensionsaktiebolag
AS203788,Telnect AB
AS203800,Internet Vikings International AB
AS203814,Internet Vikings International AB
AS203839,Internet Vikings International AB
AS203909,Christian Svensson
AS203949,Husqvarna AB
AS204068,SIEF - Skanes Internetknutpunkts Ekonomiska Forening
AS204074,Nordisk Media Utveckling AB
AS204075,Sinch Operator Software AB
AS204101,Rely IT Norrtelje AB
AS204123,Cuebid AB
AS204164,Consulta Hosting Services AB
AS204179,Lars Erik Reuterborg Larsson
AS204302,Monitor ERP System AB
AS204334,Vassbacks Fibernat ek. for.
AS204398,Lysekils Kommun
AS204468,Aixia AB
AS204475,TMcIT i Sverige AB
AS204521,Geus Gruppen AB
AS204538,Kareby Hosting AB
AS204847,Borgholms Kommun
AS204850,Sodertalje Kommun
AS204863,Coromatic AB
AS204896,Vaxjo Kommun
AS205016,HERN Labs AB
AS205078,VA SYD
AS20513,A.M.S. Carlzon
AS20514,Axians AB
AS205151,Fibra AB
AS205166,Mobile Links Europe AB
AS205180,Elon Group AB
AS205198,Dustin Sverige AB
AS205199,Bredbandig IT Communication i Goteborg AB
AS205332,Broadridge Trading and Connectivity Solutions AB
AS205339,Steve Reinhold
AS205574,Boras Kommun
AS205664,Vattenfall AB
AS20574,Knowit Connectivity AB
AS205834,evolvit Solutions AB
AS205841,Infracom Connect AB
AS205875,Sinch AB
AS205916,Freja eID Group AB
AS205966,Clearminds AB
AS206013,Pingday AB
AS206040,Expisoft AB
AS206114,Gavle Energi AB
AS206117,Toxi Tech AB
AS206170,Yelles AB
AS20625,Bollnas energi AB
AS206258,Avoki Services AB
AS20626,Sandviken Energi AB
AS206279,Aleksander Studzinski trading as Biruang IT KB
AS206288,Vimmerby kommun
AS206296,Berget AI AB
AS206312,Netmore Group AB
AS206320,Oversite AB
AS206377,Kommunalforbundet ITSAM
AS206387,Region Blekinge
AS206532,Active IT Sweden AB
AS206593,Profitbyte AB
AS206627,Nasdaq Technology AB
AS206774,Internetnord AB
AS206799,Nordlo Advance AB
AS206884,Finansinspektionen
AS206889,ICA Gruppen AB
AS207074,Rockan Data Center AB
AS207099,Rickard Andrinsson
AS207152,Gardio AB
AS207166,Systemair AB
AS207322,Ornskoldsviks Kommun
AS207448,Pema Kommunikationer AB
AS207470,The Production Office in Stockholm AB
AS207494,Jamtkraft AB
AS207538,Roxtec International AB
AS207683,Jonas Emilsson
AS207804,DSS AB
AS207825,Datarymden Internet AB
AS207919,Molnstruktur IT Sverige AB
AS207932,NetNordic Sweden AB
AS207947,Karl Unlimited AB
AS208001,Nordlo Vaxjo & Ljungby AB
AS208201,Alleima EMEA AB
AS208282,Egonet AB
AS208298,Region Halland
AS208373,Sodertorns Brandforsvarsforbund
AS208453,Johan Karlsson trading as SweHosting
AS208471,
AS208478,Karabro AB
AS208514,Ascom (Sweden) AB
AS208583,Baffin Bay Networks AB
AS20861,Fujitsu Sweden AB
AS208639,Bonnier News AB
AS208662,Kivra AB
AS208721,COMCENTER I JKPG AB
AS208760,Fortlax AB
AS208822,Eitech AB
AS208933,4C Group AB
AS209041,CoreIT AB
AS209075,Klara Modin
AS209236,HCL Technologies Sweden AB
AS209256,Straznet AB
AS209266,Tekniska verken i Linkoping AB
AS209315,Trollhattan Energi AB
AS20943,Netnod AB
AS209437,Baffin Bay Networks AB
AS209454,The North Alliance Sverige AB
AS209508,BoreNet AB
AS209570,Norrmejerier Ekonomisk Forening
AS209578,Svea Internet AB
AS209659,GetGeek AB
AS209705,PayEx Sverige AB
AS209797,Mangold Fondkommision AB
AS209840,YMER Managed Services AB
AS209960,Fast Fiber Connection i Sverige AB
AS210089,Cynthia Maja Revstrom
AS210140,GAVLEBORGS LANS LANDSTING
AS210317,Municipality of Borlange
AS210409,Skylite AB
AS210422,West Digital Management AB
AS210466,Andreas Bofjall
AS210483,Netcoil AB
AS210564,Svante Bengtson trading as Swantzter
AS210614,Addici Security AB
AS210648,Verkligen Data AB
AS210679,Varmdo kommun
AS210802,Tekniska verken i Linkoping AB
AS210901,AB Piteenergi
AS210905,Hallefors Kommun
AS211227,atNorth HPC AB
AS211231,Matteus Westman trading as Tolfix
AS211353,Mjoback Overlida Fiber Ekonomisk forening
AS211453,Riksgaldskontoret
AS211502,Region Kronoberg
AS211551,Kodmyran AB
AS211564,TeamNorr IT-Partner AB
AS211899,Svea Bank AB
AS211927,Artilect AB
AS21195,Iver Sverige AB
AS212021,Bonnier News Local AB
AS212079,Sweroam AB
AS212220,Kepler Technologies AB
AS21227,OLiKA Networks
AS212287,Svenska Kraftnat
AS212515,Blocka AB
AS212632,Alfa Laval Technologies AB
AS212662,Bonnier News Local AB
AS212725,Ovanakers kommun
AS212804,Open Infra ISP Production International AB
AS213015,Daniel Neri
AS213072,Mr. Jonas Henrik Alexandersson
AS213113,Kamel Networks Association
AS213170,Alexander Hjelm
AS213188,Nora Kommun
AS213195,Teracom AB
AS213366,Albin Hakanson
AS213540,UXStream AB
AS213593,Nordic Fighter AB
AS213688,Expressen AB
AS213701,IT Kommuner i Skane AB
AS213723,Transfer Networks Sweden AB
AS213923,Ragn-Sells Recycling AB
AS213976,Hufvudstaden AB
AS214180,Liero AB
AS214202,Hassleholms kommun
AS214251,Ellevio Sverige AB
AS214256,Valvea AB
AS214302,Loomis AB
AS214365,Hypefox AB
AS214387,LONNERBRO Anton
AS214503,QuxLabs AB
AS214640,Hostup AB
AS214686,FMV
AS214701,Herman Andgart
AS214752,Millistream Market Data AB
AS214813,31173 Services AB
AS21485,IP Excess AB
AS215063,Kungalv Energi AB
AS215138,Kristianstads Kommun
AS215273,Hexabyte AB
AS215331,Vaddo Media Information IS AB
AS215335,Sydantenn och Tele Aktiebolag
AS215393,UC AB
AS215395,Hogia Infrastructure Services AB
AS215399,Intility AB
AS215403,Finansiell ID-Teknik BID AB
AS215449,Avionero AB
AS215586,Addsec AB
AS215616,Volvo Personvagnar AB
AS215783,Scandinavian Hosting AB
AS215836,Loopia AB
AS215855,Tomas Jonsson
AS216025,Mullvad VPN AB
AS216347,Bikupa Datacenter AB
AS216350,Fortnox Aktiebolag
AS216415,AMIRMOHAMMAD FATEH
AS24605,Fassberg Holding AB
AS24668,BinaryGrid Industries Sweden AB
AS24809,If Skadeforsakring AB
AS24819,Nordnet Bank AB
AS25072,Institutet for Rymdfysik
AS25146,Advania Sverige AB
AS25176,AC-Net AB
AS25223,InfraCom Managed Services AB
AS25252,Volvo Information Technology AB
AS25387,Goteborg Kommun
AS25417,Ljusnet AB
AS25466,Liden Data Internetwork AB
AS25545,Avanza Bank AB
AS2799,Polismyndigheten
AS2831,Lulea Tekniska Universitet
AS2832,Vetenskapsradet / SUNET
AS2833,Umea University
AS2834,Uppsala University
AS2836,Bengt Arne Gorden
AS2837,Karolinska Institutet
AS2838,Stockholm University
AS2839,Kungliga Tekniska Hogskolan
AS2840,Stiftelsen Goteborgs Studentbostader
AS2841,Chalmers University of Technology
AS2842,Goteborgs universitet
AS2843,Linkopings universitet
AS2844,Vetenskapsradet / SUNET
AS2846,Lund University
AS2859,Resilans AB
AS2863,Centor AB
AS28680,IKEA IT AB
AS28847,Soderhamn NARA AB
AS28854,SavMAN AB
AS28931,TriOptima AB
AS28954,Fiberstaden AB
AS29024,Hostek AB
AS29216,Netnod AB
AS29217,CGI Sverige AB
AS29468,InfraCom Managed Services AB
AS29518,Bredband2 AB
AS29602,Infracom Managed Services AB
AS29672,S:t Erik Kommunikation AB
AS30795,BRS Networks AB
AS30811,Optimizely AB
AS30821,H & M Hennes & Mauritz GBC AB
AS30880,SpaceDump IT AB
AS30893,No ACK Group Holding AB
AS31337,ELEET Networks
AS31507,Servanet AB
AS31568,Alvsbyns Kommun
AS31574,Bankgirocentralen BGC AB
AS31634,Servanet AB
AS31642,Varnamo Energi AB
